time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,83.66,83.78,83.22,83.74,497,200,0
2023-11-03 12:00:00,83.74,83.76,83.28,83.36,365,200,0
2023-11-03 13:00:00,83.34,83.48,83.06,83.22,371,200,0
2023-11-03 14:00:00,83.22,83.28,82.96,83.02,227,200,0
2023-11-03 15:00:00,82.98,83.46,82.92,83.2,263,200,0
2023-11-03 16:00:00,83.16,83.46,82.52,82.6,386,200,0
2023-11-03 17:00:00,82.58,82.92,82.1,82.38,464,200,0
2023-11-03 18:00:00,82.36,82.78,82.36,82.46,426,200,0
2023-11-03 19:00:00,82.5,82.54,82.34,82.52,147,200,0
2023-11-06 10:00:00,83.58,83.9,82.92,83.1,479,200,0
2023-11-06 11:00:00,83.08,83.14,82.92,82.96,280,200,0
2023-11-06 12:00:00,82.96,83.16,82.92,83.0,289,200,0
2023-11-06 13:00:00,83.02,83.08,82.96,82.96,159,200,0
2023-11-06 14:00:00,82.94,83.12,82.82,83.06,188,200,0
2023-11-06 15:00:00,83.06,83.24,82.92,83.18,238,200,0
2023-11-06 16:00:00,83.18,83.28,83.04,83.28,346,200,0
2023-11-06 17:00:00,83.3,83.5,83.12,83.26,371,200,0
2023-11-06 18:00:00,83.24,83.4,83.1,83.18,142,200,0
2023-11-07 10:00:00,82.98,83.64,82.98,83.52,482,200,0
2023-11-07 11:00:00,83.56,83.78,83.44,83.52,355,200,0
2023-11-07 12:00:00,83.56,83.8,83.48,83.76,329,200,0
2023-11-07 13:00:00,83.74,84.26,83.68,84.16,343,200,0
2023-11-07 14:00:00,84.12,84.54,83.98,84.38,361,200,0
2023-11-07 15:00:00,84.4,84.64,84.3,84.5,439,200,0
2023-11-07 16:00:00,84.5,84.62,84.32,84.5,491,200,0
2023-11-07 17:00:00,84.5,84.68,84.34,84.58,442,200,0
2023-11-07 18:00:00,84.58,84.6,84.32,84.4,167,200,0
2023-11-08 10:00:00,84.2,84.4,83.92,84.18,435,200,0
2023-11-08 11:00:00,84.16,84.28,83.86,84.12,332,200,0
2023-11-08 12:00:00,84.28,84.44,84.08,84.32,294,200,0
2023-11-08 13:00:00,84.34,84.52,84.26,84.4,272,200,0
2023-11-08 14:00:00,84.32,84.52,84.26,84.52,241,200,0
2023-11-08 15:00:00,84.52,84.84,84.4,84.6,272,200,0
2023-11-08 16:00:00,84.8,85.16,84.58,84.98,392,200,0
2023-11-08 17:00:00,85.02,85.14,84.82,84.88,352,200,0
2023-11-08 18:00:00,84.86,85.02,84.82,84.86,163,200,0
2023-11-09 10:00:00,85.18,85.54,85.06,85.24,520,200,0
2023-11-09 11:00:00,85.26,85.44,85.14,85.3,364,200,0
2023-11-09 12:00:00,85.28,85.52,85.28,85.44,259,200,0
2023-11-09 13:00:00,85.44,85.62,85.32,85.46,310,200,0
2023-11-09 14:00:00,85.48,85.62,85.46,85.54,227,200,0
2023-11-09 15:00:00,85.54,85.64,85.42,85.46,180,200,0
2023-11-09 16:00:00,85.44,85.86,85.42,85.82,354,200,0
2023-11-09 17:00:00,85.82,85.86,85.4,85.56,395,200,0
2023-11-09 18:00:00,85.56,85.66,85.3,85.34,226,200,0
2023-11-10 10:00:00,85.26,85.78,85.12,85.62,401,200,0
2023-11-10 11:00:00,85.62,85.74,85.26,85.42,349,200,0
2023-11-10 12:00:00,85.4,85.58,85.32,85.42,341,200,0
2023-11-10 13:00:00,85.42,85.42,85.26,85.34,282,200,0
2023-11-10 14:00:00,85.34,85.42,85.26,85.36,176,200,0
2023-11-10 15:00:00,85.36,85.64,85.24,85.44,239,200,0
2023-11-10 16:00:00,85.46,85.64,85.24,85.26,328,200,0
2023-11-10 17:00:00,85.26,85.46,85.18,85.42,308,200,0
2023-11-10 18:00:00,85.42,85.66,85.4,85.4,150,200,0
2023-11-13 10:00:00,85.78,85.8,85.0,85.1,517,200,0
2023-11-13 11:00:00,85.1,85.4,84.86,85.16,331,200,0
2023-11-13 12:00:00,85.14,85.22,85.0,85.1,261,200,0
2023-11-13 13:00:00,85.12,85.14,84.72,84.84,262,200,0
2023-11-13 14:00:00,84.86,85.02,84.72,84.84,294,200,0
2023-11-13 15:00:00,84.84,84.92,84.46,84.68,225,200,0
2023-11-13 16:00:00,84.68,84.8,84.38,84.48,345,200,0
2023-11-13 17:00:00,84.48,84.72,84.14,84.16,379,200,0
2023-11-13 18:00:00,84.16,84.64,84.14,84.6,167,200,0
2023-11-14 10:00:00,84.44,84.56,83.96,84.42,393,200,0
2023-11-14 11:00:00,84.42,84.74,84.18,84.32,405,200,0
2023-11-14 12:00:00,84.3,84.62,84.3,84.52,351,200,0
2023-11-14 13:00:00,84.56,84.6,84.18,84.28,299,200,0
2023-11-14 14:00:00,84.26,84.4,84.18,84.32,261,200,0
2023-11-14 15:00:00,84.32,84.66,84.14,84.22,450,200,0
2023-11-14 16:00:00,84.24,84.3,83.5,83.54,485,200,0
2023-11-14 17:00:00,83.54,83.74,82.52,82.62,465,200,0
2023-11-14 18:00:00,82.94,83.24,82.52,83.24,198,200,0
2023-11-15 10:00:00,83.44,84.32,83.26,84.2,625,200,0
2023-11-15 11:00:00,84.22,84.38,84.02,84.1,431,200,0
2023-11-15 12:00:00,84.08,84.24,84.0,84.2,371,200,0
2023-11-15 13:00:00,84.2,84.24,83.84,83.88,296,200,0
2023-11-15 14:00:00,83.92,84.1,83.78,84.04,271,200,0
2023-11-15 15:00:00,84.08,84.44,84.02,84.08,314,200,0
2023-11-15 16:00:00,84.12,84.42,83.96,84.36,455,200,0
2023-11-15 17:00:00,84.36,84.5,83.64,83.64,374,200,0
2023-11-15 18:00:00,83.64,84.08,83.4,83.5,189,200,0
2023-11-16 10:00:00,83.84,84.46,83.62,84.1,486,200,0
2023-11-16 11:00:00,84.08,84.3,83.8,84.14,324,200,0
2023-11-16 12:00:00,84.12,84.3,83.92,84.3,226,200,0
2023-11-16 13:00:00,84.32,84.4,84.08,84.22,199,200,0
2023-11-16 14:00:00,84.22,84.24,83.86,83.86,160,200,0
2023-11-16 15:00:00,83.88,84.12,83.86,83.92,291,200,0
2023-11-16 16:00:00,83.92,84.54,83.88,84.14,305,200,0
2023-11-16 17:00:00,84.14,84.88,84.14,84.42,460,200,0
2023-11-16 18:00:00,84.42,84.42,84.14,84.16,180,200,0
2023-11-17 10:00:00,83.6,83.66,82.74,82.96,687,200,0
2023-11-17 11:00:00,83.04,84.22,82.94,84.16,467,200,0
2023-11-17 12:00:00,83.84,84.72,83.84,84.6,452,200,0
2023-11-17 13:00:00,84.58,85.58,84.44,85.58,437,200,0
2023-11-17 14:00:00,85.52,85.58,84.86,84.88,456,200,0
2023-11-17 15:00:00,84.86,85.32,84.72,85.1,369,200,0
2023-11-17 16:00:00,85.08,85.16,84.82,85.1,308,200,0
2023-11-17 17:00:00,84.98,85.66,84.96,85.44,471,200,0
2023-11-17 18:00:00,85.46,85.6,85.2,85.26,131,200,0
2023-11-20 10:00:00,85.52,86.32,85.52,86.06,485,200,0
2023-11-20 11:00:00,86.08,86.26,85.86,85.92,316,200,0
2023-11-20 12:00:00,85.92,86.0,85.68,85.86,382,200,0
2023-11-20 13:00:00,85.86,86.12,85.76,85.96,231,200,0
2023-11-20 14:00:00,85.96,86.0,85.7,85.8,228,200,0
2023-11-20 15:00:00,85.8,85.94,85.6,85.88,337,200,0
2023-11-20 16:00:00,85.86,86.18,85.86,86.06,334,200,0
2023-11-20 17:00:00,86.08,86.32,85.94,86.24,325,200,0
2023-11-20 18:00:00,86.24,86.46,86.18,86.42,130,200,0
2023-11-21 10:00:00,86.26,86.92,86.1,86.6,504,200,0
2023-11-21 11:00:00,86.64,86.92,86.36,86.4,355,200,0
2023-11-21 12:00:00,86.54,86.6,86.36,86.38,235,200,0
2023-11-21 13:00:00,86.46,86.54,86.28,86.36,253,200,0
2023-11-21 14:00:00,86.46,86.68,86.36,86.56,238,200,0
2023-11-21 15:00:00,86.52,86.78,86.48,86.58,313,200,0
2023-11-21 16:00:00,86.6,87.18,86.58,87.04,376,200,0
2023-11-21 17:00:00,87.04,87.32,86.74,86.84,438,200,0
2023-11-21 18:00:00,86.84,86.84,86.64,86.8,168,200,0
2023-11-22 10:00:00,87.26,87.86,87.26,87.74,403,200,0
2023-11-22 11:00:00,87.76,88.04,87.62,87.84,383,200,0
2023-11-22 12:00:00,87.84,88.04,87.78,87.9,356,200,0
2023-11-22 13:00:00,87.96,88.1,87.86,88.02,302,200,0
2023-11-22 14:00:00,88.06,88.32,87.86,88.28,285,200,0
2023-11-22 15:00:00,88.3,88.8,88.14,88.52,434,200,0
2023-11-22 16:00:00,88.54,88.8,88.06,88.22,498,200,0
2023-11-22 17:00:00,88.16,88.62,88.06,88.48,419,200,0
2023-11-22 18:00:00,88.48,88.62,88.38,88.48,152,200,0
2023-11-23 10:00:00,88.42,89.68,88.42,89.56,443,200,0
2023-11-23 11:00:00,89.56,89.68,88.9,88.94,384,200,0
2023-11-23 12:00:00,88.94,89.04,88.68,88.78,328,200,0
2023-11-23 13:00:00,88.9,88.96,88.74,88.84,266,200,0
2023-11-23 14:00:00,88.92,89.0,88.68,88.84,207,200,0
2023-11-23 15:00:00,88.84,88.98,88.68,88.86,199,200,0
2023-11-23 16:00:00,88.84,89.0,88.84,88.96,197,200,0
2023-11-23 17:00:00,88.98,89.04,88.9,89.02,161,200,0
2023-11-23 18:00:00,89.02,89.04,88.86,88.98,97,200,0
2023-11-24 10:00:00,88.48,88.64,88.24,88.32,440,200,0
2023-11-24 11:00:00,88.42,88.72,88.3,88.66,385,200,0
2023-11-24 12:00:00,88.48,88.86,88.48,88.66,344,200,0
2023-11-24 13:00:00,88.64,88.74,88.46,88.5,264,200,0
2023-11-24 14:00:00,88.5,88.66,88.46,88.54,273,200,0
2023-11-24 15:00:00,88.54,88.66,88.26,88.46,352,200,0
2023-11-24 16:00:00,88.44,88.52,88.28,88.46,295,200,0
2023-11-24 17:00:00,88.46,88.66,88.3,88.58,288,200,0
2023-11-24 18:00:00,88.6,88.74,88.5,88.6,99,200,0
2023-11-27 10:00:00,88.46,88.76,88.26,88.62,352,400,0
2023-11-27 11:00:00,88.62,88.76,88.38,88.56,354,200,0
2023-11-27 12:00:00,88.44,89.0,88.38,88.86,310,200,0
2023-11-27 13:00:00,88.86,88.96,88.74,88.8,253,200,0
2023-11-27 14:00:00,88.8,89.02,88.74,89.0,237,200,0
2023-11-27 15:00:00,89.0,89.1,88.86,88.94,342,200,0
2023-11-27 16:00:00,89.04,89.1,88.88,89.0,363,200,0
2023-11-27 17:00:00,89.0,89.06,88.88,88.96,297,200,0
2023-11-27 18:00:00,88.94,89.04,88.88,88.96,173,200,0
2023-11-28 10:00:00,88.82,88.88,88.42,88.68,635,200,0
2023-11-28 11:00:00,88.5,88.82,88.38,88.38,401,200,0
2023-11-28 12:00:00,88.4,88.6,88.3,88.6,324,200,0
2023-11-28 13:00:00,88.48,88.6,88.36,88.5,304,200,0
2023-11-28 14:00:00,88.58,88.78,88.36,88.7,300,200,0
2023-11-28 15:00:00,88.78,89.0,88.68,88.98,261,200,0
2023-11-28 16:00:00,88.98,89.28,88.86,89.2,295,200,0
2023-11-28 17:00:00,89.18,89.28,89.06,89.18,239,200,0
2023-11-28 18:00:00,89.18,89.26,89.08,89.08,136,200,0
