time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,2.024,2.058,2.024,2.049,199,10,0
2023-11-03 12:00:00,2.051,2.057,2.029,2.034,204,10,0
2023-11-03 13:00:00,2.035,2.039,2.022,2.036,161,10,0
2023-11-03 14:00:00,2.035,2.04,2.029,2.029,136,10,0
2023-11-03 15:00:00,2.03,2.039,2.027,2.039,141,10,0
2023-11-03 16:00:00,2.039,2.039,2.02,2.034,202,10,0
2023-11-03 17:00:00,2.033,2.035,2.01,2.018,197,10,0
2023-11-03 18:00:00,2.019,2.024,2.017,2.022,118,10,0
2023-11-03 19:00:00,2.021,2.028,2.018,2.028,78,10,0
2023-11-06 10:00:00,2.036,2.04,2.01,2.04,230,10,0
2023-11-06 11:00:00,2.03,2.05,2.03,2.044,148,10,0
2023-11-06 12:00:00,2.044,2.051,2.037,2.045,103,10,0
2023-11-06 13:00:00,2.046,2.05,2.044,2.048,93,10,0
2023-11-06 14:00:00,2.045,2.052,2.045,2.052,118,10,0
2023-11-06 15:00:00,2.051,2.057,2.047,2.055,134,10,0
2023-11-06 16:00:00,2.057,2.058,2.038,2.041,163,10,0
2023-11-06 17:00:00,2.047,2.049,2.028,2.041,183,10,0
2023-11-06 18:00:00,2.041,2.043,2.033,2.041,71,10,0
2023-11-07 10:00:00,2.043,2.05,2.029,2.037,185,10,0
2023-11-07 11:00:00,2.037,2.043,2.029,2.038,149,10,0
2023-11-07 12:00:00,2.038,2.046,2.035,2.044,158,10,0
2023-11-07 13:00:00,2.044,2.044,2.032,2.037,133,10,0
2023-11-07 14:00:00,2.034,2.045,2.033,2.044,95,10,0
2023-11-07 15:00:00,2.045,2.045,2.034,2.038,137,10,0
2023-11-07 16:00:00,2.038,2.043,2.036,2.039,148,10,0
2023-11-07 17:00:00,2.039,2.049,2.035,2.047,184,10,0
2023-11-07 18:00:00,2.047,2.047,2.037,2.039,106,10,0
2023-11-08 10:00:00,2.023,2.026,2.0,2.022,219,20,0
2023-11-08 11:00:00,2.022,2.029,2.02,2.024,140,20,0
2023-11-08 12:00:00,2.029,2.031,2.021,2.027,117,10,0
2023-11-08 13:00:00,2.029,2.033,2.025,2.03,117,10,0
2023-11-08 14:00:00,2.03,2.035,2.028,2.032,103,10,0
2023-11-08 15:00:00,2.034,2.038,2.03,2.035,138,10,0
