time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,2.221,2.257,2.221,2.242,291,20,0
2023-11-03 12:00:00,2.244,2.26,2.235,2.246,261,20,0
2023-11-03 13:00:00,2.25,2.258,2.234,2.254,189,20,0
2023-11-03 14:00:00,2.254,2.257,2.241,2.257,170,20,0
2023-11-03 15:00:00,2.251,2.269,2.248,2.262,223,10,0
2023-11-03 16:00:00,2.267,2.275,2.253,2.27,290,10,0
2023-11-03 17:00:00,2.269,2.273,2.237,2.249,275,10,0
2023-11-03 18:00:00,2.244,2.252,2.218,2.223,193,10,0
2023-11-03 19:00:00,2.232,2.232,2.214,2.222,98,10,0
2023-11-06 10:00:00,2.198,2.212,2.167,2.192,197,20,0
2023-11-06 11:00:00,2.191,2.197,2.18,2.194,203,10,0
2023-11-06 12:00:00,2.195,2.206,2.186,2.193,161,10,0
2023-11-06 13:00:00,2.194,2.202,2.191,2.2,116,10,0
2023-11-06 14:00:00,2.198,2.201,2.196,2.199,88,10,0
2023-11-06 15:00:00,2.199,2.203,2.195,2.198,83,10,0
2023-11-06 16:00:00,2.198,2.2,2.17,2.177,154,10,0
2023-11-06 17:00:00,2.187,2.19,2.17,2.185,176,10,0
2023-11-06 18:00:00,2.184,2.194,2.182,2.193,97,10,0
2023-11-07 10:00:00,2.192,2.232,2.187,2.216,442,20,0
2023-11-07 11:00:00,2.23,2.246,2.216,2.235,275,10,0
2023-11-07 12:00:00,2.231,2.249,2.221,2.239,220,20,0
2023-11-07 13:00:00,2.24,2.247,2.234,2.244,137,10,0
2023-11-07 14:00:00,2.243,2.256,2.24,2.247,170,10,0
2023-11-07 15:00:00,2.249,2.256,2.23,2.243,152,20,0
2023-11-07 16:00:00,2.243,2.248,2.242,2.245,130,10,0
2023-11-07 17:00:00,2.244,2.251,2.241,2.249,238,10,0
2023-11-07 18:00:00,2.249,2.25,2.239,2.239,125,10,0
2023-11-08 10:00:00,2.242,2.482,2.21,2.46,667,0,0
