time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,2.138,2.198,2.128,2.19,157,40,0
2023-11-03 12:00:00,2.192,2.198,2.146,2.148,70,40,0
2023-11-03 13:00:00,2.168,2.168,2.144,2.166,60,60,0
2023-11-03 14:00:00,2.158,2.166,2.156,2.164,42,80,0
2023-11-03 15:00:00,2.164,2.164,2.142,2.158,63,60,0
2023-11-03 16:00:00,2.158,2.176,2.15,2.176,55,60,0
2023-11-03 17:00:00,2.176,2.184,2.16,2.16,64,20,0
2023-11-03 18:00:00,2.158,2.174,2.15,2.152,81,40,0
2023-11-03 19:00:00,2.15,2.158,2.142,2.146,41,60,0
2023-11-06 10:00:00,2.13,2.154,2.114,2.154,91,60,0
2023-11-06 11:00:00,2.154,2.158,2.14,2.148,33,40,0
2023-11-06 12:00:00,2.146,2.194,2.146,2.19,110,40,0
2023-11-06 13:00:00,2.192,2.194,2.164,2.164,56,60,0
2023-11-06 14:00:00,2.19,2.19,2.16,2.162,46,60,0
2023-11-06 15:00:00,2.16,2.172,2.16,2.162,57,60,0
2023-11-06 16:00:00,2.164,2.17,2.152,2.16,63,20,0
2023-11-06 17:00:00,2.16,2.172,2.152,2.162,90,20,0
2023-11-06 18:00:00,2.166,2.166,2.158,2.164,31,40,0
2023-11-07 10:00:00,2.132,2.158,2.132,2.152,58,220,0
2023-11-07 11:00:00,2.158,2.166,2.136,2.144,102,100,0
2023-11-07 12:00:00,2.162,2.178,2.136,2.178,113,60,0
2023-11-07 13:00:00,2.168,2.178,2.132,2.144,112,80,0
2023-11-07 14:00:00,2.138,2.152,2.122,2.13,67,80,0
2023-11-07 15:00:00,2.122,2.134,2.108,2.124,102,60,0
2023-11-07 16:00:00,2.118,2.138,2.104,2.12,102,60,0
2023-11-07 17:00:00,2.122,2.146,2.12,2.144,88,40,0
2023-11-07 18:00:00,2.144,2.146,2.132,2.136,52,40,0
2023-11-08 10:00:00,2.136,2.148,2.106,2.148,48,220,0
2023-11-08 11:00:00,2.152,2.154,2.14,2.144,63,80,0
2023-11-08 12:00:00,2.144,2.144,2.128,2.132,26,60,0
2023-11-08 13:00:00,2.122,2.142,2.118,2.132,48,60,0
2023-11-08 14:00:00,2.132,2.138,2.132,2.136,46,40,0
2023-11-08 15:00:00,2.138,2.148,2.132,2.136,68,60,0
2023-11-08 16:00:00,2.138,2.15,2.128,2.148,146,40,0
2023-11-08 17:00:00,2.148,2.158,2.13,2.13,87,60,0
2023-11-08 18:00:00,2.126,2.144,2.12,2.128,47,40,0
