time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,1.876,1.928,1.876,1.924,41,100,0
2023-11-03 12:00:00,1.924,1.928,1.918,1.92,83,80,0
2023-11-03 13:00:00,1.922,1.922,1.914,1.914,33,80,0
2023-11-03 14:00:00,1.914,1.914,1.912,1.912,23,80,0
2023-11-03 15:00:00,1.912,1.932,1.912,1.928,78,40,0
2023-11-03 16:00:00,1.93,1.942,1.912,1.94,62,60,0
2023-11-03 17:00:00,1.942,1.944,1.934,1.934,90,60,0
2023-11-03 18:00:00,1.936,1.936,1.926,1.926,58,60,0
2023-11-03 19:00:00,1.928,1.932,1.914,1.924,38,40,0
2023-11-06 10:00:00,1.924,1.926,1.906,1.92,23,60,0
2023-11-06 11:00:00,1.922,1.922,1.914,1.918,18,60,0
2023-11-06 12:00:00,1.918,1.92,1.918,1.918,38,80,0
2023-11-06 13:00:00,1.918,1.918,1.914,1.914,15,80,0
2023-11-06 14:00:00,1.912,1.916,1.9,1.912,23,80,0
2023-11-06 15:00:00,1.914,1.914,1.91,1.912,16,60,0
2023-11-06 16:00:00,1.9,1.914,1.894,1.894,91,40,0
2023-11-06 17:00:00,1.902,1.902,1.89,1.896,66,40,0
2023-11-06 18:00:00,1.9,1.904,1.896,1.904,19,20,0
2023-11-07 10:00:00,1.902,1.912,1.898,1.9,66,60,0
2023-11-07 11:00:00,1.902,1.902,1.896,1.902,55,80,0
2023-11-07 12:00:00,1.9,1.91,1.9,1.908,46,60,0
2023-11-07 13:00:00,1.904,1.906,1.896,1.896,30,40,0
2023-11-07 14:00:00,1.896,1.898,1.894,1.896,39,60,0
2023-11-07 15:00:00,1.894,1.898,1.892,1.892,55,60,0
2023-11-07 16:00:00,1.894,1.898,1.876,1.896,59,40,0
2023-11-07 17:00:00,1.894,1.898,1.876,1.896,61,40,0
2023-11-07 18:00:00,1.896,1.896,1.89,1.894,37,60,0
2023-11-08 10:00:00,1.886,1.896,1.886,1.894,54,80,0
2023-11-08 11:00:00,1.896,1.896,1.87,1.894,54,20,0
2023-11-08 12:00:00,1.892,1.894,1.888,1.892,33,20,0
2023-11-08 13:00:00,1.894,1.894,1.874,1.894,46,60,0
2023-11-08 14:00:00,1.894,1.896,1.874,1.896,42,60,0
2023-11-08 15:00:00,1.896,1.904,1.896,1.9,32,40,0
2023-11-08 16:00:00,1.902,1.924,1.89,1.922,93,60,0
2023-11-08 17:00:00,1.92,1.924,1.9,1.912,95,60,0
2023-11-08 18:00:00,1.912,1.918,1.9,1.914,28,20,0
2023-11-09 10:00:00,1.91,1.916,1.892,1.91,59,80,0
2023-11-09 11:00:00,1.91,1.912,1.892,1.912,51,60,0
2023-11-09 12:00:00,1.908,1.924,1.908,1.924,107,40,0
