time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,13.425,13.51,13.41,13.47,358,50,0
2023-11-03 12:00:00,13.455,13.49,13.375,13.455,313,100,0
2023-11-03 13:00:00,13.48,13.5,13.4,13.475,233,50,0
2023-11-03 14:00:00,13.405,13.485,13.4,13.45,203,50,0
2023-11-03 15:00:00,13.445,13.465,13.415,13.42,249,50,0
2023-11-03 16:00:00,13.45,13.515,13.41,13.515,355,50,0
2023-11-03 17:00:00,13.485,13.515,13.435,13.485,427,50,0
2023-11-03 18:00:00,13.455,13.51,13.42,13.47,293,50,0
2023-11-03 19:00:00,13.47,13.48,13.435,13.44,122,50,0
2023-11-06 10:00:00,13.505,13.545,13.41,13.49,294,100,0
2023-11-06 11:00:00,13.5,13.54,13.44,13.515,179,50,0
2023-11-06 12:00:00,13.515,13.565,13.51,13.54,147,50,0
2023-11-06 13:00:00,13.54,13.565,13.51,13.52,132,100,0
2023-11-06 14:00:00,13.52,13.57,13.51,13.555,114,50,0
2023-11-06 15:00:00,13.555,13.58,13.53,13.57,164,50,0
2023-11-06 16:00:00,13.575,13.605,13.51,13.54,204,50,0
2023-11-06 17:00:00,13.54,13.58,13.51,13.55,223,50,0
2023-11-06 18:00:00,13.55,13.555,13.51,13.52,110,50,0
2023-11-07 10:00:00,13.485,13.6,13.47,13.575,245,50,0
2023-11-07 11:00:00,13.585,13.635,13.49,13.575,282,50,0
2023-11-07 12:00:00,13.54,13.635,13.525,13.575,267,50,0
2023-11-07 13:00:00,13.62,13.62,13.475,13.52,241,50,0
2023-11-07 14:00:00,13.525,13.555,13.505,13.54,219,50,0
2023-11-07 15:00:00,13.535,13.555,13.485,13.525,227,50,0
2023-11-07 16:00:00,13.53,13.565,13.485,13.56,274,50,0
2023-11-07 17:00:00,13.56,13.575,13.515,13.54,303,50,0
2023-11-07 18:00:00,13.54,13.56,13.515,13.535,139,50,0
2023-11-08 10:00:00,13.405,13.455,13.315,13.455,277,100,0
2023-11-08 11:00:00,13.435,13.465,13.425,13.46,164,50,0
2023-11-08 12:00:00,13.43,13.47,13.375,13.45,138,50,0
2023-11-08 13:00:00,13.455,13.49,13.445,13.47,95,50,0
2023-11-08 14:00:00,13.47,13.535,13.465,13.525,158,50,0
2023-11-08 15:00:00,13.525,13.55,13.515,13.52,175,50,0
2023-11-08 16:00:00,13.52,13.54,13.48,13.525,221,50,0
2023-11-08 17:00:00,13.52,13.54,13.43,13.46,260,50,0
2023-11-08 18:00:00,13.47,13.485,13.44,13.47,112,50,0
2023-11-09 10:00:00,13.465,13.66,13.45,13.605,272,50,0
2023-11-09 11:00:00,13.605,13.63,13.52,13.54,225,50,0
2023-11-09 12:00:00,13.545,13.635,13.535,13.625,140,50,0
2023-11-09 13:00:00,13.625,13.655,13.61,13.64,123,50,0
2023-11-09 14:00:00,13.645,13.75,13.64,13.75,169,50,0
2023-11-09 15:00:00,13.755,13.835,13.72,13.825,188,50,0
2023-11-09 16:00:00,13.79,13.83,13.715,13.8,228,50,0
2023-11-09 17:00:00,13.785,13.835,13.73,13.83,260,50,0
2023-11-09 18:00:00,13.83,13.85,13.8,13.84,104,50,0
2023-11-10 10:00:00,13.7,13.785,13.695,13.765,398,50,0
2023-11-10 11:00:00,13.71,13.76,13.625,13.66,250,100,0
2023-11-10 12:00:00,13.66,13.67,13.565,13.62,184,50,0
2023-11-10 13:00:00,13.58,13.63,13.56,13.62,163,50,0
2023-11-10 14:00:00,13.565,13.695,13.56,13.65,285,100,0
2023-11-10 15:00:00,13.65,13.755,13.64,13.725,201,50,0
2023-11-10 16:00:00,13.735,13.79,13.71,13.77,263,50,0
2023-11-10 17:00:00,13.78,13.79,13.705,13.77,205,50,0
2023-11-10 18:00:00,13.78,13.83,13.74,13.81,101,50,0
2023-11-13 10:00:00,13.83,13.905,13.795,13.86,222,100,0
2023-11-13 11:00:00,13.87,13.9,13.815,13.84,151,100,0
2023-11-13 12:00:00,13.855,13.865,13.815,13.825,107,50,0
2023-11-13 13:00:00,13.845,13.865,13.815,13.85,94,100,0
2023-11-13 14:00:00,13.855,13.86,13.78,13.795,107,50,0
