time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,2.666,2.7,2.658,2.686,92,60,0
2023-11-03 12:00:00,2.69,2.696,2.676,2.682,63,60,0
2023-11-03 13:00:00,2.692,2.696,2.682,2.686,65,80,0
2023-11-03 14:00:00,2.686,2.698,2.672,2.674,43,40,0
2023-11-03 15:00:00,2.674,2.69,2.668,2.688,76,40,0
2023-11-03 16:00:00,2.682,2.7,2.678,2.698,86,40,0
2023-11-03 17:00:00,2.698,2.702,2.678,2.686,70,60,0
2023-11-03 18:00:00,2.686,2.69,2.676,2.68,94,40,0
2023-11-03 19:00:00,2.678,2.69,2.678,2.682,47,40,0
2023-11-06 10:00:00,2.694,2.702,2.668,2.694,74,60,0
2023-11-06 11:00:00,2.69,2.702,2.666,2.688,88,40,0
2023-11-06 12:00:00,2.684,2.692,2.674,2.682,71,60,0
2023-11-06 13:00:00,2.682,2.686,2.668,2.682,51,40,0
2023-11-06 14:00:00,2.676,2.688,2.666,2.678,56,40,0
2023-11-06 15:00:00,2.678,2.684,2.66,2.674,59,40,0
2023-11-06 16:00:00,2.674,2.678,2.646,2.65,104,20,0
2023-11-06 17:00:00,2.636,2.668,2.636,2.656,116,20,0
2023-11-06 18:00:00,2.656,2.662,2.648,2.66,38,20,0
2023-11-07 10:00:00,2.634,2.682,2.628,2.662,117,140,0
2023-11-07 11:00:00,2.654,2.684,2.654,2.674,71,100,0
2023-11-07 12:00:00,2.67,2.694,2.656,2.684,102,80,0
2023-11-07 13:00:00,2.692,2.696,2.658,2.69,117,80,0
2023-11-07 14:00:00,2.69,2.694,2.666,2.68,138,60,0
2023-11-07 15:00:00,2.68,2.69,2.67,2.678,92,40,0
2023-11-07 16:00:00,2.678,2.696,2.676,2.69,128,60,0
2023-11-07 17:00:00,2.69,2.696,2.678,2.692,111,40,0
2023-11-07 18:00:00,2.684,2.692,2.682,2.688,55,20,0
2023-11-08 10:00:00,2.666,2.712,2.666,2.704,152,60,0
2023-11-08 11:00:00,2.704,2.708,2.686,2.696,109,60,0
2023-11-08 12:00:00,2.696,2.738,2.694,2.72,111,60,0
2023-11-08 13:00:00,2.71,2.738,2.71,2.728,59,40,0
2023-11-08 14:00:00,2.718,2.722,2.704,2.722,90,20,0
2023-11-08 15:00:00,2.718,2.734,2.708,2.726,62,20,0
2023-11-08 16:00:00,2.726,2.754,2.718,2.738,93,40,0
2023-11-08 17:00:00,2.74,2.756,2.736,2.738,119,40,0
2023-11-08 18:00:00,2.738,2.756,2.736,2.74,40,20,0
2023-11-09 10:00:00,2.72,2.732,2.714,2.732,34,280,0
2023-11-09 11:00:00,2.72,2.76,2.718,2.756,40,80,0
2023-11-09 12:00:00,2.738,2.77,2.738,2.754,67,40,0
2023-11-09 13:00:00,2.758,2.76,2.746,2.75,40,60,0
2023-11-09 14:00:00,2.75,2.76,2.746,2.756,47,40,0
2023-11-09 15:00:00,2.756,2.762,2.746,2.756,72,40,0
2023-11-09 16:00:00,2.754,2.768,2.752,2.756,94,40,0
2023-11-09 17:00:00,2.762,2.768,2.748,2.754,109,40,0
2023-11-09 18:00:00,2.754,2.77,2.754,2.76,57,40,0
2023-11-10 10:00:00,2.742,2.75,2.73,2.732,71,160,0
2023-11-10 11:00:00,2.73,2.738,2.718,2.718,49,140,0
2023-11-10 12:00:00,2.722,2.736,2.722,2.732,81,60,0
2023-11-10 13:00:00,2.732,2.736,2.718,2.722,54,20,0
2023-11-10 14:00:00,2.728,2.73,2.722,2.73,21,80,0
2023-11-10 15:00:00,2.73,2.732,2.718,2.732,71,60,0
2023-11-10 16:00:00,2.732,2.732,2.72,2.726,58,40,0
2023-11-10 17:00:00,2.726,2.728,2.71,2.718,110,20,0
2023-11-10 18:00:00,2.716,2.722,2.714,2.722,46,20,0
2023-11-13 10:00:00,2.702,2.73,2.702,2.718,48,140,0
2023-11-13 11:00:00,2.73,2.734,2.718,2.726,38,120,0
2023-11-13 12:00:00,2.722,2.726,2.698,2.698,42,80,0
2023-11-13 13:00:00,2.698,2.712,2.692,2.71,56,60,0
2023-11-13 14:00:00,2.706,2.714,2.692,2.706,50,80,0
