time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,0.6535,0.661,0.6455,0.6605,134,20,0
2023-11-03 12:00:00,0.656,0.661,0.641,0.6435,71,20,0
2023-11-03 13:00:00,0.6485,0.652,0.64,0.649,27,15,0
2023-11-03 14:00:00,0.651,0.651,0.639,0.647,40,15,0
2023-11-03 15:00:00,0.647,0.648,0.6345,0.647,50,20,0
2023-11-03 16:00:00,0.647,0.6495,0.647,0.6475,40,35,0
2023-11-03 17:00:00,0.6475,0.6505,0.6385,0.6415,72,15,0
2023-11-03 18:00:00,0.641,0.647,0.6385,0.647,103,5,0
2023-11-03 19:00:00,0.647,0.648,0.6445,0.646,39,10,0
2023-11-06 10:00:00,0.646,0.646,0.6215,0.645,76,30,0
2023-11-06 11:00:00,0.645,0.646,0.631,0.631,50,10,0
2023-11-06 12:00:00,0.635,0.6435,0.631,0.642,61,15,0
2023-11-06 13:00:00,0.6425,0.647,0.6405,0.645,34,25,0
2023-11-06 14:00:00,0.645,0.647,0.6415,0.645,66,25,0
2023-11-06 15:00:00,0.6415,0.645,0.636,0.637,61,10,0
2023-11-06 16:00:00,0.637,0.64,0.63,0.6365,82,10,0
2023-11-06 17:00:00,0.629,0.6355,0.629,0.6325,89,10,0
2023-11-06 18:00:00,0.6335,0.6335,0.627,0.63,37,5,0
2023-11-07 10:00:00,0.618,0.6255,0.6135,0.6195,66,30,0
2023-11-07 11:00:00,0.6165,0.6215,0.616,0.617,33,25,0
2023-11-07 12:00:00,0.617,0.621,0.6145,0.6165,76,10,0
2023-11-07 13:00:00,0.6165,0.62,0.607,0.6115,113,20,0
2023-11-07 14:00:00,0.611,0.6135,0.6075,0.6075,67,10,0
2023-11-07 15:00:00,0.6085,0.6125,0.603,0.609,69,20,0
2023-11-07 16:00:00,0.609,0.612,0.6035,0.6085,89,15,0
2023-11-07 17:00:00,0.6065,0.612,0.6035,0.607,108,10,0
2023-11-07 18:00:00,0.607,0.612,0.603,0.603,63,5,0
2023-11-08 10:00:00,0.597,0.605,0.5875,0.602,91,20,0
2023-11-08 11:00:00,0.602,0.603,0.597,0.597,42,10,0
2023-11-08 12:00:00,0.597,0.602,0.5925,0.595,34,15,0
2023-11-08 13:00:00,0.5945,0.5965,0.5945,0.5965,34,10,0
2023-11-08 14:00:00,0.5965,0.597,0.5965,0.5965,52,15,0
2023-11-08 15:00:00,0.5965,0.601,0.5965,0.5985,64,20,0
2023-11-08 16:00:00,0.598,0.613,0.5975,0.6125,148,20,0
2023-11-08 17:00:00,0.6125,0.614,0.6075,0.61,123,10,0
2023-11-08 18:00:00,0.6115,0.6115,0.6045,0.608,70,10,0
2023-11-09 10:00:00,0.6015,0.6115,0.6015,0.609,52,60,0
2023-11-09 11:00:00,0.607,0.618,0.601,0.615,90,10,0
2023-11-09 12:00:00,0.617,0.6245,0.6115,0.6215,67,15,0
2023-11-09 13:00:00,0.6215,0.6255,0.611,0.611,71,15,0
2023-11-09 14:00:00,0.6215,0.623,0.611,0.623,32,20,0
2023-11-09 15:00:00,0.611,0.628,0.611,0.6245,53,5,0
