time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,9.944,10.01,9.878,9.998,726,20,0
2023-11-03 12:00:00,9.988,9.996,9.956,9.968,621,20,0
2023-11-03 13:00:00,9.97,9.982,9.95,9.982,510,20,0
2023-11-03 14:00:00,9.976,9.986,9.942,9.966,482,20,0
2023-11-03 15:00:00,9.968,10.075,9.948,10.065,457,20,0
2023-11-03 16:00:00,10.065,10.13,10.01,10.075,237,50,0
2023-11-03 17:00:00,10.025,10.07,9.962,9.972,459,20,0
2023-11-03 18:00:00,9.972,9.988,9.898,9.922,673,20,0
2023-11-03 19:00:00,9.922,9.952,9.906,9.948,216,20,0
2023-11-06 10:00:00,9.962,9.968,9.866,9.872,652,20,0
2023-11-06 11:00:00,9.874,9.89,9.818,9.828,559,20,0
2023-11-06 12:00:00,9.832,9.844,9.818,9.832,445,20,0
2023-11-06 13:00:00,9.832,9.848,9.82,9.846,430,20,0
2023-11-06 14:00:00,9.84,9.87,9.83,9.868,411,20,0
2023-11-06 15:00:00,9.862,9.882,9.854,9.872,432,20,0
2023-11-06 16:00:00,9.874,9.882,9.794,9.806,690,20,0
2023-11-06 17:00:00,9.808,9.828,9.78,9.828,608,20,0
2023-11-06 18:00:00,9.828,9.836,9.81,9.832,278,20,0
2023-11-07 10:00:00,9.86,9.902,9.834,9.88,788,20,0
2023-11-07 11:00:00,9.878,9.934,9.868,9.922,589,20,0
2023-11-07 12:00:00,9.922,9.962,9.908,9.93,588,20,0
2023-11-07 13:00:00,9.93,9.948,9.904,9.906,536,20,0
2023-11-07 14:00:00,9.91,9.928,9.91,9.92,413,20,0
2023-11-07 15:00:00,9.92,9.928,9.908,9.908,423,20,0
2023-11-07 16:00:00,9.922,9.928,9.88,9.884,598,20,0
2023-11-07 17:00:00,9.884,9.912,9.86,9.908,605,20,0
2023-11-07 18:00:00,9.908,9.914,9.886,9.89,251,20,0
2023-11-08 10:00:00,9.776,9.846,9.756,9.788,746,20,0
2023-11-08 11:00:00,9.788,9.79,9.71,9.732,699,20,0
2023-11-08 12:00:00,9.734,9.74,9.68,9.684,568,20,0
2023-11-08 13:00:00,9.71,9.71,9.646,9.658,553,20,0
2023-11-08 14:00:00,9.656,9.68,9.656,9.666,549,20,0
2023-11-08 15:00:00,9.664,9.706,9.656,9.656,493,20,0
2023-11-08 16:00:00,9.658,9.716,9.654,9.662,582,20,0
2023-11-08 17:00:00,9.66,9.71,9.65,9.668,716,20,0
2023-11-08 18:00:00,9.668,9.68,9.652,9.672,239,20,0
2023-11-09 10:00:00,9.908,9.91,9.772,9.778,525,40,0
2023-11-09 11:00:00,9.778,9.824,9.726,9.796,493,20,0
2023-11-09 12:00:00,9.798,9.804,9.726,9.768,462,20,0
