time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,1.802,1.874,1.802,1.8665,727,5,0
2023-11-03 12:00:00,1.8665,1.873,1.854,1.867,451,5,0
2023-11-03 13:00:00,1.858,1.8695,1.857,1.86,416,5,0
2023-11-03 14:00:00,1.8595,1.867,1.8555,1.859,468,5,0
2023-11-03 15:00:00,1.859,1.862,1.8515,1.857,466,5,0
2023-11-03 16:00:00,1.8575,1.872,1.854,1.8705,580,5,0
2023-11-03 17:00:00,1.872,1.8735,1.8565,1.86,476,5,0
2023-11-03 18:00:00,1.86,1.867,1.857,1.867,308,5,0
2023-11-03 19:00:00,1.8675,1.8685,1.863,1.867,108,5,0
2023-11-06 10:00:00,1.883,1.887,1.868,1.884,536,5,0
2023-11-06 11:00:00,1.884,1.8855,1.8775,1.8825,368,5,0
2023-11-06 12:00:00,1.883,1.886,1.8785,1.886,256,5,0
2023-11-06 13:00:00,1.8855,1.893,1.883,1.8915,297,5,0
2023-11-06 14:00:00,1.891,1.8995,1.8875,1.8965,274,5,0
2023-11-06 15:00:00,1.8965,1.908,1.8955,1.9075,325,5,0
2023-11-06 16:00:00,1.907,1.9105,1.892,1.902,469,5,0
2023-11-06 17:00:00,1.9015,1.902,1.8875,1.897,523,5,0
2023-11-06 18:00:00,1.8965,1.904,1.8905,1.8995,195,5,0
2023-11-07 10:00:00,1.925,1.941,1.9185,1.932,797,5,0
2023-11-07 11:00:00,1.93,1.933,1.9185,1.923,578,5,0
2023-11-07 12:00:00,1.923,1.952,1.923,1.951,463,5,0
2023-11-07 13:00:00,1.951,1.956,1.9465,1.954,391,5,0
2023-11-07 14:00:00,1.954,1.9575,1.9405,1.9535,408,5,0
2023-11-07 15:00:00,1.948,1.958,1.947,1.958,430,5,0
2023-11-07 16:00:00,1.958,1.9615,1.9445,1.9515,584,5,0
2023-11-07 17:00:00,1.9515,1.954,1.941,1.9505,554,5,0
2023-11-07 18:00:00,1.9505,1.9545,1.9495,1.953,206,5,0
2023-11-08 10:00:00,1.936,1.9575,1.929,1.9485,667,5,0
2023-11-08 11:00:00,1.9485,1.9555,1.936,1.947,479,5,0
2023-11-08 12:00:00,1.9465,1.953,1.9435,1.9525,486,5,0
2023-11-08 13:00:00,1.9525,1.955,1.945,1.948,294,5,0
2023-11-08 14:00:00,1.948,1.9525,1.9455,1.949,369,5,0
2023-11-08 15:00:00,1.95,1.9525,1.9395,1.9395,405,5,0
2023-11-08 16:00:00,1.94,1.9585,1.9395,1.9535,463,5,0
2023-11-08 17:00:00,1.956,1.9615,1.95,1.958,507,5,0
2023-11-08 18:00:00,1.9585,1.9615,1.957,1.9605,181,5,0
2023-11-09 10:00:00,1.965,1.9735,1.958,1.961,634,5,0
2023-11-09 11:00:00,1.961,1.9705,1.9585,1.9705,433,5,0
2023-11-09 12:00:00,1.9705,1.9845,1.965,1.9835,385,5,0
2023-11-09 13:00:00,1.984,1.9875,1.976,1.987,392,5,0
2023-11-09 14:00:00,1.9875,1.991,1.98,1.9805,347,5,0
2023-11-09 15:00:00,1.983,1.998,1.9815,1.991,478,5,0
2023-11-09 16:00:00,1.9915,2.009,1.991,2.002,395,5,0
2023-11-09 17:00:00,2.004,2.011,1.997,2.006,326,5,0
2023-11-09 18:00:00,2.006,2.016,2.006,2.011,103,10,0
2023-11-10 10:00:00,1.986,2.007,1.986,2.002,622,5,0
2023-11-10 11:00:00,2.006,2.007,1.994,2.0,346,5,0
2023-11-10 12:00:00,1.996,2.001,1.991,1.994,398,5,0
2023-11-10 13:00:00,1.995,1.996,1.9895,1.993,403,5,0
2023-11-10 14:00:00,1.9935,1.9985,1.99,1.998,372,5,0
