time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,72.68,73.38,72.66,73.1,306,400,0
2023-11-03 12:00:00,73.32,73.4,72.88,73.38,267,200,0
2023-11-03 13:00:00,73.06,73.56,73.06,73.26,188,200,0
2023-11-03 14:00:00,73.46,73.52,73.24,73.48,196,200,0
2023-11-03 15:00:00,73.38,73.8,73.16,73.58,244,200,0
2023-11-03 16:00:00,73.56,74.18,73.5,74.14,301,200,0
2023-11-03 17:00:00,74.14,74.5,73.94,74.22,425,200,0
2023-11-03 18:00:00,74.24,74.36,73.34,73.58,302,200,0
2023-11-03 19:00:00,73.42,73.54,73.22,73.28,113,200,0
2023-11-06 10:00:00,72.96,72.96,72.26,72.68,114,200,0
2023-11-06 11:00:00,72.66,72.82,72.44,72.58,190,200,0
2023-11-06 12:00:00,72.46,72.74,72.44,72.58,219,200,0
2023-11-06 13:00:00,72.6,72.84,72.44,72.84,190,200,0
2023-11-06 14:00:00,72.84,72.84,72.48,72.54,201,200,0
2023-11-06 15:00:00,72.56,72.64,72.48,72.56,206,200,0
2023-11-06 16:00:00,72.58,72.6,72.22,72.24,210,200,0
2023-11-06 17:00:00,72.24,72.52,72.04,72.22,239,200,0
2023-11-06 18:00:00,72.22,72.26,71.94,72.08,123,200,0
2023-11-07 10:00:00,72.86,73.86,72.8,73.48,316,400,0
2023-11-07 11:00:00,73.48,73.54,73.06,73.14,325,200,0
2023-11-07 12:00:00,73.16,73.32,72.92,73.08,298,200,0
2023-11-07 13:00:00,73.04,73.22,72.92,73.18,239,200,0
2023-11-07 14:00:00,73.22,73.26,72.94,73.14,208,200,0
2023-11-07 15:00:00,73.08,73.2,73.0,73.12,203,200,0
2023-11-07 16:00:00,73.08,73.34,73.08,73.3,218,200,0
2023-11-07 17:00:00,73.24,73.34,73.12,73.32,279,200,0
2023-11-07 18:00:00,73.32,73.34,73.14,73.22,140,200,0
2023-11-08 10:00:00,73.98,74.42,73.98,74.08,213,200,0
2023-11-08 11:00:00,74.28,74.4,73.2,73.76,296,200,0
2023-11-08 12:00:00,73.62,73.78,73.2,73.68,155,400,0
2023-11-08 13:00:00,73.52,73.82,73.46,73.72,149,200,0
2023-11-08 14:00:00,73.7,73.8,73.46,73.64,156,200,0
2023-11-08 15:00:00,73.64,73.68,73.44,73.62,154,200,0
2023-11-08 16:00:00,73.62,74.08,73.44,73.92,201,200,0
2023-11-08 17:00:00,73.96,74.08,73.56,73.64,363,200,0
2023-11-08 18:00:00,73.66,73.72,73.52,73.6,149,200,0
2023-11-09 10:00:00,73.08,73.56,72.76,73.36,175,400,0
2023-11-09 11:00:00,73.36,73.5,73.14,73.14,196,200,0
2023-11-09 12:00:00,73.14,73.52,73.04,73.46,198,200,0
2023-11-09 13:00:00,73.48,73.58,73.2,73.36,188,200,0
2023-11-09 14:00:00,73.36,73.64,73.3,73.6,148,200,0
2023-11-09 15:00:00,73.62,74.04,73.6,74.0,217,200,0
2023-11-09 16:00:00,74.04,74.14,73.9,74.06,290,200,0
2023-11-09 17:00:00,74.04,74.14,73.64,74.06,334,200,0
2023-11-09 18:00:00,74.02,74.26,73.96,74.14,157,200,0
2023-11-10 10:00:00,73.4,73.54,72.94,73.06,114,400,0
2023-11-10 11:00:00,73.06,73.14,72.66,72.92,161,400,0
2023-11-10 12:00:00,72.96,73.0,72.5,72.64,167,200,0
2023-11-10 13:00:00,72.66,72.86,72.5,72.82,145,200,0
2023-11-10 14:00:00,72.68,73.06,72.56,72.96,152,200,0
2023-11-10 15:00:00,73.0,73.42,72.86,73.4,132,200,0
2023-11-10 16:00:00,73.3,73.5,73.24,73.36,225,200,0
2023-11-10 17:00:00,73.36,73.42,72.86,73.08,248,200,0
2023-11-10 18:00:00,73.16,73.3,73.08,73.26,110,200,0
2023-11-13 10:00:00,73.84,74.34,73.8,74.32,252,200,0
2023-11-13 11:00:00,74.34,74.54,74.06,74.42,222,200,0
2023-11-13 12:00:00,74.42,74.54,74.28,74.44,131,200,0
2023-11-13 13:00:00,74.44,74.48,74.14,74.22,153,200,0
2023-11-13 14:00:00,74.22,74.46,74.2,74.4,156,200,0
2023-11-13 15:00:00,74.4,74.54,74.26,74.36,139,200,0
2023-11-13 16:00:00,74.36,74.44,74.12,74.32,173,200,0
2023-11-13 17:00:00,74.32,74.94,74.02,74.48,265,200,0
2023-11-13 18:00:00,74.92,75.06,74.62,75.06,208,200,0
2023-11-14 10:00:00,74.78,75.34,74.58,75.22,249,200,0
2023-11-14 11:00:00,75.2,75.54,75.2,75.44,253,200,0
2023-11-14 12:00:00,75.38,75.58,75.16,75.52,190,200,0
2023-11-14 13:00:00,75.52,75.62,75.34,75.56,189,200,0
2023-11-14 14:00:00,75.56,75.6,75.32,75.46,169,200,0
