time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,7.305,7.51,7.305,7.5,163,100,0
2023-11-03 12:00:00,7.48,7.5,7.42,7.44,134,100,0
2023-11-03 13:00:00,7.455,7.53,7.41,7.505,167,100,0
2023-11-03 14:00:00,7.505,7.55,7.465,7.55,143,50,0
2023-11-03 15:00:00,7.545,7.575,7.465,7.545,186,100,0
2023-11-03 16:00:00,7.56,7.62,7.495,7.525,245,100,0
2023-11-03 17:00:00,7.545,7.61,7.45,7.48,271,50,0
2023-11-03 18:00:00,7.49,7.515,7.435,7.5,202,50,0
2023-11-03 19:00:00,7.505,7.515,7.415,7.49,123,100,0
2023-11-06 10:00:00,7.575,7.575,7.41,7.445,180,150,0
2023-11-06 11:00:00,7.445,7.48,7.42,7.44,133,50,0
2023-11-06 12:00:00,7.44,7.485,7.44,7.455,87,100,0
2023-11-06 13:00:00,7.455,7.485,7.44,7.48,74,100,0
2023-11-06 14:00:00,7.47,7.495,7.415,7.415,131,100,0
2023-11-06 15:00:00,7.48,7.48,7.415,7.44,82,100,0
2023-11-06 16:00:00,7.445,7.455,7.365,7.42,161,100,0
2023-11-06 17:00:00,7.415,7.43,7.365,7.43,167,100,0
2023-11-06 18:00:00,7.435,7.435,7.36,7.39,101,100,0
2023-11-07 10:00:00,7.34,7.495,7.34,7.495,164,50,0
2023-11-07 11:00:00,7.495,7.535,7.43,7.5,162,100,0
2023-11-07 12:00:00,7.495,7.53,7.485,7.505,117,100,0
2023-11-07 13:00:00,7.495,7.52,7.475,7.48,83,50,0
2023-11-07 14:00:00,7.48,7.495,7.46,7.495,77,50,0
2023-11-07 15:00:00,7.475,7.495,7.415,7.44,116,50,0
2023-11-07 16:00:00,7.42,7.485,7.395,7.425,173,50,0
2023-11-07 17:00:00,7.43,7.435,7.375,7.41,201,50,0
2023-11-07 18:00:00,7.41,7.425,7.355,7.38,71,50,0
2023-11-08 10:00:00,7.37,7.375,7.18,7.22,294,50,0
2023-11-08 11:00:00,7.22,7.23,7.145,7.195,172,100,0
2023-11-08 12:00:00,7.2,7.235,7.175,7.175,142,100,0
2023-11-08 13:00:00,7.21,7.22,7.155,7.22,110,100,0
2023-11-08 14:00:00,7.22,7.245,7.2,7.22,113,100,0
2023-11-08 15:00:00,7.225,7.295,7.225,7.275,135,100,0
2023-11-08 16:00:00,7.275,7.33,7.23,7.33,174,50,0
2023-11-08 17:00:00,7.335,7.335,7.26,7.3,166,50,0
2023-11-08 18:00:00,7.28,7.305,7.24,7.24,82,50,0
2023-11-09 10:00:00,7.24,7.345,7.205,7.225,186,100,0
2023-11-09 11:00:00,7.24,7.24,7.2,7.205,101,100,0
2023-11-09 12:00:00,7.205,7.24,7.2,7.21,81,100,0
2023-11-09 13:00:00,7.215,7.26,7.2,7.235,111,100,0
2023-11-09 14:00:00,7.23,7.245,7.2,7.2,155,100,0
2023-11-09 15:00:00,7.2,7.235,7.2,7.235,135,100,0
2023-11-09 16:00:00,7.225,7.255,7.19,7.2,140,100,0
2023-11-09 17:00:00,7.195,7.255,7.165,7.225,152,50,0
2023-11-09 18:00:00,7.23,7.24,7.2,7.23,104,50,0
2023-11-10 10:00:00,7.17,7.18,7.125,7.175,134,150,0
2023-11-10 11:00:00,7.175,7.175,7.13,7.175,78,100,0
2023-11-10 12:00:00,7.165,7.175,7.14,7.14,49,100,0
2023-11-10 13:00:00,7.145,7.15,7.105,7.115,80,100,0
2023-11-10 14:00:00,7.125,7.135,7.105,7.11,80,50,0
2023-11-10 15:00:00,7.115,7.155,7.095,7.15,127,100,0
2023-11-10 16:00:00,7.15,7.19,7.15,7.185,114,100,0
2023-11-10 17:00:00,7.185,7.185,7.14,7.17,90,50,0
