time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,10.735,11.05,10.64,11.01,323,50,0
2023-11-03 12:00:00,11.015,11.045,10.915,10.97,256,50,0
2023-11-03 13:00:00,10.975,10.975,10.875,10.94,218,50,0
2023-11-03 14:00:00,10.945,11.045,10.93,11.015,227,100,0
2023-11-03 15:00:00,11.015,11.18,11.005,11.18,228,50,0
2023-11-03 16:00:00,11.155,11.325,11.145,11.305,341,50,0
2023-11-03 17:00:00,11.305,11.33,11.155,11.185,403,50,0
2023-11-03 18:00:00,11.185,11.185,11.125,11.135,284,50,0
2023-11-03 19:00:00,11.135,11.165,11.045,11.08,151,50,0
2023-11-06 10:00:00,11.145,11.145,10.945,11.07,329,100,0
2023-11-06 11:00:00,11.04,11.07,10.87,10.935,321,50,0
2023-11-06 12:00:00,10.93,10.975,10.87,10.93,181,50,0
2023-11-06 13:00:00,10.91,10.93,10.855,10.87,229,50,0
2023-11-06 14:00:00,10.865,10.95,10.855,10.91,248,50,0
2023-11-06 15:00:00,10.915,10.99,10.9,10.975,272,50,0
2023-11-06 16:00:00,10.985,10.985,10.86,10.875,275,50,0
2023-11-06 17:00:00,10.875,10.92,10.835,10.85,280,50,0
2023-11-06 18:00:00,10.85,10.86,10.8,10.81,104,50,0
2023-11-07 10:00:00,10.87,11.155,10.87,11.015,414,100,0
2023-11-07 11:00:00,11.015,11.265,10.945,11.185,315,100,0
2023-11-07 12:00:00,11.185,11.315,11.185,11.31,315,50,0
2023-11-07 13:00:00,11.31,11.345,11.245,11.345,304,50,0
2023-11-07 14:00:00,11.345,11.405,11.28,11.345,237,50,0
2023-11-07 15:00:00,11.35,11.495,11.345,11.475,310,50,0
2023-11-07 16:00:00,11.46,11.505,11.4,11.46,322,50,0
2023-11-07 17:00:00,11.46,11.55,11.35,11.49,419,50,0
2023-11-07 18:00:00,11.495,11.54,11.46,11.495,158,50,0
2023-11-08 10:00:00,11.195,11.42,11.195,11.285,389,100,0
2023-11-08 11:00:00,11.285,11.395,11.28,11.35,345,50,0
2023-11-08 12:00:00,11.34,11.455,11.315,11.435,266,50,0
2023-11-08 13:00:00,11.455,11.51,11.4,11.48,194,50,0
2023-11-08 14:00:00,11.48,11.535,11.44,11.455,203,50,0
2023-11-08 15:00:00,11.45,11.51,11.435,11.46,220,50,0
2023-11-08 16:00:00,11.46,11.605,11.4,11.605,274,50,0
2023-11-08 17:00:00,11.555,11.605,11.455,11.55,301,50,0
2023-11-08 18:00:00,11.55,11.565,11.49,11.51,161,50,0
2023-11-09 10:00:00,11.52,11.585,11.435,11.55,368,100,0
2023-11-09 11:00:00,11.54,11.54,11.375,11.46,301,50,0
2023-11-09 12:00:00,11.4,11.585,11.4,11.54,266,50,0
2023-11-09 13:00:00,11.54,11.58,11.495,11.515,261,50,0
2023-11-09 14:00:00,11.52,11.57,11.485,11.545,293,50,0
2023-11-09 15:00:00,11.53,11.595,11.53,11.585,257,50,0
2023-11-09 16:00:00,11.59,11.695,11.56,11.68,347,50,0
2023-11-09 17:00:00,11.68,11.725,11.63,11.7,436,50,0
2023-11-09 18:00:00,11.705,11.73,11.695,11.7,131,50,0
2023-11-10 10:00:00,11.555,11.58,11.365,11.45,248,100,0
2023-11-10 11:00:00,11.45,11.485,11.39,11.415,195,100,0
2023-11-10 12:00:00,11.42,11.435,11.36,11.375,207,100,0
2023-11-10 13:00:00,11.375,11.395,11.28,11.31,222,100,0
2023-11-10 14:00:00,11.295,11.355,11.28,11.305,205,100,0
2023-11-10 15:00:00,11.33,11.445,11.305,11.43,237,100,0
2023-11-10 16:00:00,11.425,11.495,11.395,11.48,403,50,0
2023-11-10 17:00:00,11.475,11.49,11.395,11.435,361,50,0
2023-11-10 18:00:00,11.43,11.465,11.395,11.445,173,50,0
2023-11-13 10:00:00,11.47,11.6,11.415,11.57,284,50,0
2023-11-13 11:00:00,11.58,11.62,11.535,11.555,211,100,0
2023-11-13 12:00:00,11.595,11.595,11.5,11.555,149,100,0
2023-11-13 13:00:00,11.565,11.57,11.505,11.56,157,100,0
2023-11-13 14:00:00,11.57,11.585,11.525,11.525,199,50,0
2023-11-13 15:00:00,11.525,11.63,11.515,11.535,282,50,0
2023-11-13 16:00:00,11.59,11.68,11.515,11.645,327,50,0
2023-11-13 17:00:00,11.65,11.66,11.56,11.655,266,50,0
2023-11-13 18:00:00,11.66,11.705,11.615,11.69,166,50,0
2023-11-14 10:00:00,11.7,11.795,11.595,11.72,276,100,0
2023-11-14 11:00:00,11.715,11.895,11.705,11.87,354,100,0
2023-11-14 12:00:00,11.87,11.885,11.75,11.77,303,50,0
2023-11-14 13:00:00,11.765,11.805,11.705,11.705,308,100,0
2023-11-14 14:00:00,11.705,11.825,11.695,11.775,236,100,0
2023-11-14 15:00:00,11.745,12.095,11.69,12.09,447,100,0
2023-11-14 16:00:00,12.085,12.205,11.955,12.15,461,50,0
2023-11-14 17:00:00,12.145,12.38,12.135,12.37,457,50,0
2023-11-14 18:00:00,12.37,12.41,12.34,12.385,220,50,0
2023-11-15 10:00:00,12.585,12.84,12.515,12.83,568,100,0
2023-11-15 11:00:00,12.845,12.945,12.42,12.505,559,50,0
2023-11-15 12:00:00,12.5,12.605,12.425,12.46,345,50,0
2023-11-15 13:00:00,12.46,12.6,12.425,12.57,231,100,0
2023-11-15 14:00:00,12.55,12.595,12.48,12.495,344,50,0
2023-11-15 15:00:00,12.495,12.575,12.335,12.36,490,50,0
2023-11-15 16:00:00,12.36,12.495,12.33,12.46,559,50,0
2023-11-15 17:00:00,12.46,12.49,12.34,12.43,522,50,0
2023-11-15 18:00:00,12.43,12.435,12.345,12.38,190,50,0
2023-11-16 10:00:00,12.31,12.43,12.23,12.375,229,150,0
2023-11-16 11:00:00,12.375,12.41,12.24,12.275,317,50,0
2023-11-16 12:00:00,12.26,12.4,12.215,12.275,323,50,0
2023-11-16 13:00:00,12.275,12.285,12.215,12.235,203,50,0
2023-11-16 14:00:00,12.235,12.255,12.195,12.215,248,50,0
2023-11-16 15:00:00,12.215,12.3,12.18,12.3,341,50,0
2023-11-16 16:00:00,12.3,12.31,12.175,12.25,390,50,0
2023-11-16 17:00:00,12.25,12.285,12.135,12.18,491,50,0
2023-11-16 18:00:00,12.185,12.225,12.145,12.15,228,50,0
2023-11-17 10:00:00,12.19,12.335,12.15,12.3,392,100,0
2023-11-17 11:00:00,12.31,12.365,12.245,12.365,307,100,0
2023-11-17 12:00:00,12.325,12.395,12.295,12.365,319,100,0
2023-11-17 13:00:00,12.365,12.39,12.255,12.28,355,50,0
2023-11-17 14:00:00,12.31,12.33,12.25,12.27,270,50,0
2023-11-17 15:00:00,12.275,12.3,12.225,12.3,238,50,0
2023-11-17 16:00:00,12.295,12.365,12.225,12.29,425,50,0
2023-11-17 17:00:00,12.295,12.35,12.25,12.295,367,50,0
2023-11-17 18:00:00,12.295,12.36,12.295,12.36,160,50,0
2023-11-20 10:00:00,12.295,12.415,12.25,12.365,336,100,0
2023-11-20 11:00:00,12.365,12.44,12.345,12.38,294,50,0
2023-11-20 12:00:00,12.355,12.445,12.345,12.385,245,100,0
2023-11-20 13:00:00,12.365,12.445,12.355,12.385,223,100,0
2023-11-20 14:00:00,12.39,12.42,12.34,12.38,225,100,0
2023-11-20 15:00:00,12.385,12.43,12.36,12.425,215,50,0
2023-11-20 16:00:00,12.415,12.455,12.365,12.44,298,50,0
2023-11-20 17:00:00,12.41,12.48,12.41,12.455,339,50,0
2023-11-20 18:00:00,12.425,12.465,12.405,12.43,138,50,0
2023-11-21 10:00:00,12.47,12.64,12.445,12.565,268,50,0
2023-11-21 11:00:00,12.555,12.615,12.47,12.48,215,50,0
2023-11-21 12:00:00,12.48,12.575,12.47,12.535,279,50,0
2023-11-21 13:00:00,12.52,12.55,12.47,12.52,300,50,0
2023-11-21 14:00:00,12.525,12.54,12.485,12.495,241,50,0
2023-11-21 15:00:00,12.495,12.505,12.41,12.45,272,50,0
2023-11-21 16:00:00,12.445,12.515,12.41,12.475,334,50,0
2023-11-21 17:00:00,12.475,12.51,12.445,12.475,387,50,0
