time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,2.932,3.012,2.932,3.012,129,80,0
2023-11-03 12:00:00,3.0,3.012,2.984,3.002,64,80,0
2023-11-03 13:00:00,3.002,3.01,2.988,3.01,48,60,0
2023-11-03 14:00:00,3.01,3.01,2.98,2.99,73,40,0
2023-11-03 15:00:00,2.976,3.008,2.974,2.988,97,40,0
2023-11-03 16:00:00,2.99,3.048,2.984,3.048,83,60,0
2023-11-03 17:00:00,3.048,3.048,3.012,3.024,88,60,0
2023-11-03 18:00:00,3.016,3.024,3.004,3.022,82,20,0
2023-11-03 19:00:00,3.018,3.022,2.984,3.004,39,40,0
2023-11-06 10:00:00,2.904,2.99,2.884,2.956,190,20,0
2023-11-06 11:00:00,2.95,2.968,2.93,2.96,114,40,0
2023-11-06 12:00:00,2.946,2.964,2.94,2.95,41,40,0
2023-11-06 13:00:00,2.94,2.96,2.94,2.952,54,40,0
2023-11-06 14:00:00,2.948,2.96,2.934,2.942,31,60,0
2023-11-06 15:00:00,2.948,2.948,2.934,2.936,38,60,0
2023-11-06 16:00:00,2.946,2.946,2.902,2.91,60,20,0
2023-11-06 17:00:00,2.91,2.934,2.886,2.914,114,20,0
2023-11-06 18:00:00,2.912,2.926,2.888,2.91,78,40,0
2023-11-07 10:00:00,2.896,2.952,2.888,2.94,139,80,0
2023-11-07 11:00:00,2.94,2.952,2.92,2.924,54,40,0
2023-11-07 12:00:00,2.932,2.938,2.91,2.92,74,40,0
2023-11-07 13:00:00,2.926,2.938,2.904,2.918,58,40,0
2023-11-07 14:00:00,2.918,2.926,2.91,2.922,41,40,0
2023-11-07 15:00:00,2.916,2.922,2.896,2.902,72,40,0
2023-11-07 16:00:00,2.914,2.934,2.902,2.92,71,20,0
2023-11-07 17:00:00,2.924,2.944,2.92,2.942,79,40,0
2023-11-07 18:00:00,2.94,2.944,2.924,2.938,46,40,0
2023-11-08 10:00:00,2.952,2.958,2.896,2.958,119,80,0
2023-11-08 11:00:00,2.954,2.954,2.936,2.944,49,60,0
2023-11-08 12:00:00,2.944,2.948,2.94,2.944,42,40,0
2023-11-08 13:00:00,2.942,2.95,2.942,2.942,49,40,0
2023-11-08 14:00:00,2.942,2.966,2.942,2.96,86,20,0
2023-11-08 15:00:00,2.96,2.966,2.954,2.96,43,20,0
2023-11-08 16:00:00,2.96,2.992,2.948,2.986,95,20,0
2023-11-08 17:00:00,2.988,2.992,2.964,2.968,110,20,0
2023-11-08 18:00:00,2.966,2.972,2.946,2.958,66,20,0
2023-11-09 10:00:00,2.85,2.93,2.85,2.896,170,80,0
2023-11-09 11:00:00,2.892,2.902,2.882,2.892,34,40,0
2023-11-09 12:00:00,2.908,2.926,2.908,2.926,36,60,0
2023-11-09 13:00:00,2.928,2.948,2.916,2.942,85,40,0
2023-11-09 14:00:00,2.942,2.966,2.942,2.966,31,40,0
2023-11-09 15:00:00,2.956,3.004,2.956,2.992,136,40,0
2023-11-09 16:00:00,2.992,3.0,2.984,2.996,114,40,0
2023-11-09 17:00:00,2.998,3.006,2.994,3.004,70,40,0
2023-11-09 18:00:00,3.0,3.03,3.0,3.02,66,40,0
2023-11-10 10:00:00,3.028,3.034,2.892,2.956,109,0,0
2023-11-10 11:00:00,2.974,2.986,2.954,2.958,72,60,0
2023-11-10 12:00:00,2.956,2.978,2.956,2.968,65,40,0
2023-11-10 13:00:00,2.968,2.982,2.966,2.97,75,80,0
2023-11-10 14:00:00,2.97,3.0,2.97,3.0,34,40,0
2023-11-10 15:00:00,2.988,3.0,2.984,2.988,50,80,0
2023-11-10 16:00:00,2.986,2.998,2.982,2.996,56,60,0
2023-11-10 17:00:00,2.998,3.0,2.98,2.996,51,40,0
2023-11-10 18:00:00,2.996,3.012,2.996,3.004,43,40,0
