time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,4.633,4.714,4.633,4.697,307,10,0
2023-11-03 12:00:00,4.687,4.714,4.665,4.678,236,10,0
2023-11-03 13:00:00,4.679,4.684,4.651,4.672,275,10,0
2023-11-03 14:00:00,4.67,4.676,4.666,4.666,137,10,0
2023-11-03 15:00:00,4.675,4.71,4.662,4.703,271,20,0
2023-11-03 16:00:00,4.704,4.741,4.699,4.739,305,10,0
2023-11-03 17:00:00,4.736,4.742,4.697,4.706,312,10,0
2023-11-03 18:00:00,4.704,4.714,4.7,4.71,253,10,0
2023-11-03 19:00:00,4.71,4.713,4.708,4.712,84,10,0
2023-11-06 10:00:00,4.702,4.746,4.687,4.719,492,40,0
2023-11-06 11:00:00,4.719,4.725,4.707,4.713,195,20,0
2023-11-06 12:00:00,4.708,4.728,4.707,4.719,167,20,0
2023-11-06 13:00:00,4.718,4.722,4.709,4.718,122,40,0
2023-11-06 14:00:00,4.718,4.729,4.716,4.728,83,10,0
2023-11-06 15:00:00,4.725,4.748,4.712,4.735,164,10,0
2023-11-06 16:00:00,4.75,4.754,4.712,4.722,196,10,0
2023-11-06 17:00:00,4.714,4.729,4.69,4.698,243,20,0
2023-11-06 18:00:00,4.701,4.705,4.69,4.697,116,10,0
2023-11-07 10:00:00,4.684,4.709,4.673,4.69,306,30,0
2023-11-07 11:00:00,4.682,4.701,4.66,4.665,220,10,0
2023-11-07 12:00:00,4.666,4.693,4.66,4.67,233,10,0
2023-11-07 13:00:00,4.678,4.68,4.664,4.668,181,10,0
2023-11-07 14:00:00,4.668,4.677,4.657,4.657,142,10,0
2023-11-07 15:00:00,4.657,4.67,4.648,4.652,154,10,0
2023-11-07 16:00:00,4.654,4.662,4.648,4.659,209,10,0
2023-11-07 17:00:00,4.656,4.667,4.646,4.663,297,10,0
2023-11-07 18:00:00,4.664,4.664,4.6370000000000005,4.649,132,10,0
2023-11-08 10:00:00,4.588,4.605,4.545,4.597,298,40,0
2023-11-08 11:00:00,4.597,4.605,4.585,4.601,136,20,0
2023-11-08 12:00:00,4.6,4.626,4.587,4.624,134,30,0
2023-11-08 13:00:00,4.624,4.641,4.616,4.626,134,20,0
2023-11-08 14:00:00,4.622,4.629,4.62,4.626,96,20,0
2023-11-08 15:00:00,4.627,4.638,4.613,4.619,176,20,0
2023-11-08 16:00:00,4.613,4.644,4.605,4.634,253,10,0
2023-11-08 17:00:00,4.632,4.644,4.612,4.626,242,20,0
2023-11-08 18:00:00,4.623,4.624,4.615,4.615,99,10,0
2023-11-09 10:00:00,4.609,4.621,4.583,4.607,328,20,0
2023-11-09 11:00:00,4.607,4.621,4.596,4.606,300,20,0
2023-11-09 12:00:00,4.618,4.64,4.604,4.636,240,10,0
2023-11-09 13:00:00,4.634,4.64,4.623,4.632,173,10,0
2023-11-09 14:00:00,4.635,4.654,4.623,4.643,192,20,0
2023-11-09 15:00:00,4.643,4.667,4.643,4.656,174,10,0
2023-11-09 16:00:00,4.656,4.672,4.647,4.663,326,20,0
2023-11-09 17:00:00,4.6690000000000005,4.672,4.65,4.6530000000000005,255,20,0
2023-11-09 18:00:00,4.651,4.679,4.651,4.667,122,20,0
2023-11-10 10:00:00,4.642,4.665,4.633,4.643,351,40,0
2023-11-10 11:00:00,4.643,4.651,4.625,4.627,189,30,0
2023-11-10 12:00:00,4.627,4.638,4.617,4.623,144,10,0
2023-11-10 13:00:00,4.622,4.627,4.599,4.62,172,20,0
2023-11-10 14:00:00,4.605,4.627,4.6,4.626,148,20,0
2023-11-10 15:00:00,4.622,4.64,4.619,4.634,151,20,0
2023-11-10 16:00:00,4.635,4.64,4.616,4.618,240,10,0
2023-11-10 17:00:00,4.618,4.63,4.608,4.629,342,20,0
2023-11-10 18:00:00,4.629,4.645,4.616,4.641,175,10,0
2023-11-13 10:00:00,4.909,5.056,4.868,5.004,503,80,0
2023-11-13 11:00:00,5.022,5.034,4.941,4.95,304,50,0
2023-11-13 12:00:00,4.953,4.958,4.874,4.914,234,30,0
2023-11-13 13:00:00,4.91,4.918,4.874,4.885,211,20,0
2023-11-13 14:00:00,4.885,4.907,4.858,4.865,189,20,0
2023-11-13 15:00:00,4.866,4.892,4.857,4.882,193,20,0
2023-11-13 16:00:00,4.882,4.913,4.85,4.9030000000000005,313,10,0
2023-11-13 17:00:00,4.9030000000000005,4.916,4.888,4.916,215,10,0
2023-11-13 18:00:00,4.916,4.916,4.906,4.91,81,10,0
2023-11-14 10:00:00,4.89,4.911,4.873,4.906,317,20,0
2023-11-14 11:00:00,4.895,4.93,4.89,4.905,269,20,0
2023-11-14 12:00:00,4.91,4.92,4.859,4.86,223,20,0
2023-11-14 13:00:00,4.86,4.875,4.841,4.842,208,20,0
2023-11-14 14:00:00,4.842,4.859,4.833,4.837,245,10,0
2023-11-14 15:00:00,4.837,4.898,4.825,4.884,443,10,0
2023-11-14 16:00:00,4.884,4.909,4.864,4.898,434,10,0
2023-11-14 17:00:00,4.896,4.923,4.8870000000000005,4.905,286,10,0
2023-11-14 18:00:00,4.905,4.92,4.876,4.888,176,10,0
2023-11-15 10:00:00,4.867,4.996,4.867,4.994,388,20,0
2023-11-15 11:00:00,4.996,5.002,4.895,4.921,457,10,0
2023-11-15 12:00:00,4.907,4.934,4.9030000000000005,4.929,250,10,0
2023-11-15 13:00:00,4.92,4.96,4.92,4.958,199,10,0
2023-11-15 14:00:00,4.958,4.961,4.9350000000000005,4.944,181,10,0
2023-11-15 15:00:00,4.944,4.961,4.93,4.93,284,10,0
2023-11-15 16:00:00,4.932,4.943,4.915,4.931,301,20,0
2023-11-15 17:00:00,4.939,4.948,4.918,4.94,250,10,0
2023-11-15 18:00:00,4.94,4.941,4.927,4.937,100,10,0
2023-11-16 10:00:00,4.921,4.958,4.921,4.929,229,20,0
2023-11-16 11:00:00,4.936,4.945,4.872,4.889,269,10,0
2023-11-16 12:00:00,4.889,4.907,4.872,4.892,204,10,0
2023-11-16 13:00:00,4.892,4.897,4.857,4.897,185,10,0
2023-11-16 14:00:00,4.896,4.897,4.854,4.86,254,20,0
2023-11-16 15:00:00,4.865,4.883,4.854,4.873,301,20,0
2023-11-16 16:00:00,4.873,4.879,4.836,4.865,354,10,0
