time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,14.33,14.43,14.3,14.39,65,200,0
2023-11-03 12:00:00,14.39,14.43,14.3,14.36,74,100,0
2023-11-03 13:00:00,14.37,14.37,14.34,14.35,28,100,0
2023-11-03 14:00:00,14.35,14.35,14.28,14.28,25,100,0
2023-11-03 15:00:00,14.32,14.32,14.23,14.31,53,100,0
2023-11-03 16:00:00,14.31,14.35,14.27,14.27,62,100,0
2023-11-03 17:00:00,14.32,14.32,14.23,14.28,89,100,0
2023-11-03 18:00:00,14.23,14.3,14.23,14.27,77,100,0
2023-11-03 19:00:00,14.24,14.28,14.22,14.24,51,100,0
2023-11-06 10:00:00,14.56,14.56,14.02,14.23,121,400,0
2023-11-06 11:00:00,14.24,14.27,14.08,14.15,65,100,0
2023-11-06 12:00:00,14.15,14.21,14.09,14.2,47,200,0
2023-11-06 13:00:00,14.17,14.2,14.04,14.16,50,200,0
2023-11-06 14:00:00,14.16,14.17,14.06,14.07,34,100,0
2023-11-06 15:00:00,14.07,14.22,14.06,14.19,79,100,0
2023-11-06 16:00:00,14.19,14.22,14.08,14.15,80,100,0
2023-11-06 17:00:00,14.08,14.15,14.02,14.07,108,100,0
2023-11-06 18:00:00,14.07,14.07,13.99,14.03,27,100,0
2023-11-07 10:00:00,13.85,14.01,13.85,13.95,76,400,0
2023-11-07 11:00:00,13.93,14.06,13.93,14.02,69,100,0
2023-11-07 12:00:00,14.05,14.08,13.99,14.02,90,100,0
2023-11-07 13:00:00,14.05,14.06,13.99,14.02,45,100,0
2023-11-07 14:00:00,14.02,14.05,13.96,14.04,57,100,0
2023-11-07 15:00:00,14.05,14.06,14.02,14.05,43,100,0
2023-11-07 16:00:00,14.05,14.09,14.04,14.07,98,100,0
2023-11-07 17:00:00,14.07,14.08,14.0,14.07,107,100,0
2023-11-07 18:00:00,14.03,14.07,14.03,14.05,31,100,0
2023-11-08 10:00:00,13.94,14.0,13.84,13.92,84,100,0
2023-11-08 11:00:00,13.87,13.95,13.84,13.91,60,100,0
2023-11-08 12:00:00,13.91,13.93,13.84,13.91,60,200,0
2023-11-08 13:00:00,13.91,13.95,13.86,13.88,67,100,0
2023-11-08 14:00:00,13.94,13.99,13.88,13.98,77,100,0
2023-11-08 15:00:00,13.96,13.99,13.93,13.98,76,100,0
2023-11-08 16:00:00,13.98,14.09,13.96,14.07,92,100,0
2023-11-08 17:00:00,14.07,14.09,14.02,14.04,77,100,0
2023-11-08 18:00:00,14.04,14.07,14.04,14.07,23,100,0
2023-11-09 10:00:00,14.04,14.07,13.94,14.04,108,200,0
2023-11-09 11:00:00,14.04,14.07,13.97,14.03,76,100,0
