time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 13:00:00,22.25,22.25,22.25,22.25,3,1500,0
2023-11-03 14:00:00,22.2,22.25,22.15,22.15,19,1000,0
2023-11-03 15:00:00,22.15,22.35,22.15,22.25,52,1000,0
2023-11-03 16:00:00,22.3,22.45,22.25,22.35,33,500,0
2023-11-03 17:00:00,22.4,22.45,22.3,22.4,35,1000,0
2023-11-03 18:00:00,22.4,22.45,22.35,22.4,57,1000,0
2023-11-03 19:00:00,22.4,22.55,22.4,22.5,26,500,0
2023-11-06 13:00:00,22.5,22.5,22.5,22.5,5,1500,0
2023-11-06 14:00:00,22.5,22.5,22.5,22.5,11,1500,0
2023-11-06 15:00:00,22.5,22.5,22.5,22.5,3,1500,0
2023-11-06 16:00:00,22.5,22.5,22.4,22.45,72,1000,0
2023-11-06 17:00:00,22.5,22.5,22.35,22.45,90,500,0
2023-11-06 18:00:00,22.45,22.45,22.4,22.45,15,1000,0
2023-11-07 12:00:00,22.45,22.6,22.45,22.5,15,1500,0
2023-11-07 13:00:00,22.6,22.6,22.55,22.55,9,1500,0
2023-11-07 14:00:00,22.55,22.65,22.55,22.65,29,1500,0
2023-11-07 15:00:00,22.65,22.7,22.65,22.7,14,1000,0
2023-11-07 16:00:00,22.7,22.75,22.65,22.7,67,1000,0
2023-11-07 17:00:00,22.8,22.85,22.65,22.85,107,500,0
2023-11-07 18:00:00,22.85,22.85,22.8,22.8,5,1000,0
2023-11-08 11:00:00,22.85,22.85,22.8,22.8,5,1500,0
2023-11-08 12:00:00,22.85,22.85,22.8,22.85,6,1500,0
2023-11-08 13:00:00,22.85,22.85,22.85,22.85,3,1500,0
2023-11-08 14:00:00,22.85,22.85,22.85,22.85,13,1500,0
2023-11-08 15:00:00,22.85,22.9,22.85,22.9,30,1500,0
2023-11-08 16:00:00,22.9,23.0,22.85,22.95,56,1000,0
2023-11-08 17:00:00,22.95,22.95,22.85,22.95,69,500,0
2023-11-08 18:00:00,22.95,22.95,22.95,22.95,7,500,0
2023-11-09 11:00:00,22.8,22.9,22.8,22.85,17,1000,0
2023-11-09 12:00:00,22.9,23.05,22.85,23.05,26,1000,0
2023-11-09 13:00:00,23.0,23.05,23.0,23.05,44,1500,0
2023-11-09 14:00:00,23.0,23.1,23.0,23.05,67,1000,0
2023-11-09 15:00:00,23.05,23.2,23.05,23.1,36,500,0
2023-11-09 16:00:00,23.1,23.15,23.0,23.05,84,1000,0
2023-11-09 17:00:00,23.05,23.1,23.0,23.05,105,1000,0
2023-11-09 18:00:00,23.05,23.2,23.05,23.15,61,1000,0
2023-11-10 10:00:00,22.65,22.65,22.65,22.65,6,2000,0
2023-11-10 11:00:00,22.65,22.65,22.65,22.65,6,2000,0
2023-11-10 12:00:00,22.65,22.8,22.65,22.8,3,2000,0
2023-11-10 13:00:00,22.8,22.8,22.75,22.75,75,1500,0
2023-11-10 14:00:00,22.8,22.85,22.75,22.85,43,1000,0
2023-11-10 15:00:00,22.9,22.95,22.9,22.95,7,500,0
2023-11-10 16:00:00,22.95,23.2,22.95,23.15,30,500,0
2023-11-10 17:00:00,23.15,23.2,23.1,23.2,63,500,0
2023-11-10 18:00:00,23.2,23.35,23.1,23.2,23,500,0
2023-11-13 11:00:00,23.35,23.35,23.35,23.35,1,2000,0
2023-11-13 12:00:00,23.35,23.45,23.35,23.4,19,1500,0
2023-11-13 13:00:00,23.45,23.5,23.45,23.45,23,1000,0
2023-11-13 14:00:00,23.45,23.45,23.45,23.45,7,1000,0
2023-11-13 15:00:00,23.45,23.5,23.4,23.45,48,500,0
2023-11-13 16:00:00,23.5,23.5,23.35,23.45,42,500,0
2023-11-13 17:00:00,23.4,23.5,23.35,23.45,82,1000,0
2023-11-13 18:00:00,23.5,23.55,23.45,23.5,37,1000,0
2023-11-14 11:00:00,23.55,23.55,23.55,23.55,8,1500,0
2023-11-14 12:00:00,23.55,23.55,23.55,23.55,11,1000,0
2023-11-14 13:00:00,23.55,23.55,23.55,23.55,2,1000,0
2023-11-14 14:00:00,23.5,23.55,23.5,23.5,50,1000,0
2023-11-14 15:00:00,23.5,23.8,23.5,23.7,62,500,0
2023-11-14 16:00:00,23.7,23.85,23.65,23.8,71,500,0
2023-11-14 17:00:00,23.85,23.95,23.75,23.95,42,500,0
2023-11-14 18:00:00,23.95,23.95,23.9,23.95,33,500,0
2023-11-15 10:00:00,24.2,24.3,24.2,24.3,9,1500,0
2023-11-15 11:00:00,24.3,24.3,24.25,24.25,15,1000,0
2023-11-15 12:00:00,24.25,24.25,24.25,24.25,7,2000,0
2023-11-15 13:00:00,24.2,24.2,24.2,24.2,2,2000,0
2023-11-15 14:00:00,24.3,24.35,24.25,24.25,34,1000,0
2023-11-15 15:00:00,24.25,24.45,24.25,24.3,45,500,0
2023-11-15 16:00:00,24.25,24.35,24.25,24.25,54,1000,0
2023-11-15 17:00:00,24.25,24.5,24.25,24.35,78,500,0
2023-11-15 18:00:00,24.35,24.45,24.35,24.45,37,1000,0
2023-11-16 11:00:00,24.3,24.3,24.3,24.3,3,1500,0
2023-11-16 12:00:00,24.3,24.35,24.3,24.35,3,1500,0
2023-11-16 13:00:00,24.3,24.35,24.25,24.35,14,1500,0
2023-11-16 14:00:00,24.35,24.35,24.2,24.25,31,1500,0
2023-11-16 15:00:00,24.25,24.25,24.1,24.1,22,1000,0
