time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,8.716,9.038,8.716,8.996,766,20,0
2023-11-03 12:00:00,8.996,9.034,8.804,8.824,629,40,0
2023-11-03 13:00:00,8.79,8.874,8.79,8.838,469,20,0
2023-11-03 14:00:00,8.838,8.866,8.834,8.864,492,20,0
2023-11-03 15:00:00,8.864,8.958,8.826,8.948,541,20,0
2023-11-03 16:00:00,8.95,9.044,8.906,9.034,836,20,0
2023-11-03 17:00:00,9.036,9.052,8.928,8.964,749,20,0
2023-11-03 18:00:00,8.964,8.975999999999999,8.936,8.954,529,20,0
2023-11-03 19:00:00,8.954,8.964,8.93,8.962,159,20,0
2023-11-06 10:00:00,8.888,8.964,8.76,8.93,794,20,0
2023-11-06 11:00:00,8.93,8.972,8.912,8.942,536,20,0
2023-11-06 12:00:00,8.942,8.968,8.912,8.928,485,20,0
2023-11-06 13:00:00,8.928,8.98,8.914,8.974,466,20,0
2023-11-06 14:00:00,8.96,9.046,8.96,9.026,509,20,0
2023-11-06 15:00:00,9.03,9.122,9.022,9.09,581,20,0
2023-11-06 16:00:00,9.116,9.146,9.01,9.034,713,20,0
2023-11-06 17:00:00,9.034,9.048,8.948,8.982,581,20,0
2023-11-06 18:00:00,8.98,8.992,8.948,8.975999999999999,246,20,0
2023-11-07 10:00:00,8.868,8.996,8.856,8.94,884,20,0
2023-11-07 11:00:00,8.948,8.966,8.936,8.95,629,20,0
2023-11-07 12:00:00,8.946,9.072,8.942,9.062,669,20,0
2023-11-07 13:00:00,9.062,9.07,8.943999999999999,8.96,630,20,0
2023-11-07 14:00:00,8.96,9.014,8.943999999999999,8.984,609,20,0
2023-11-07 15:00:00,8.984,9.052,8.97,9.018,615,20,0
2023-11-07 16:00:00,9.016,9.06,8.978,9.028,831,20,0
2023-11-07 17:00:00,9.028,9.046,8.994,9.036,711,20,0
2023-11-07 18:00:00,9.036,9.046,9.016,9.038,324,20,0
2023-11-08 10:00:00,8.892,8.91,8.804,8.862,466,40,0
2023-11-08 11:00:00,8.848,8.878,8.774000000000001,8.796,451,20,0
2023-11-08 12:00:00,8.828,8.882,8.776,8.868,404,20,0
2023-11-08 13:00:00,8.87,8.882,8.846,8.856,473,20,0
2023-11-08 14:00:00,8.856,8.89,8.832,8.886,382,20,0
2023-11-08 15:00:00,8.882,8.924,8.876,8.904,392,20,0
2023-11-08 16:00:00,8.904,8.952,8.9,8.952,495,20,0
2023-11-08 17:00:00,8.954,8.954,8.912,8.93,692,20,0
2023-11-08 18:00:00,8.93,8.964,8.924,8.943999999999999,279,20,0
2023-11-09 10:00:00,8.838,8.92,8.784,8.908,541,20,0
2023-11-09 11:00:00,8.886,8.918,8.84,8.882,439,20,0
2023-11-09 12:00:00,8.902,8.99,8.88,8.982,409,20,0
2023-11-09 13:00:00,8.974,8.988,8.936,8.954,484,20,0
2023-11-09 14:00:00,8.956,8.978,8.942,8.968,406,20,0
2023-11-09 15:00:00,8.95,8.996,8.936,8.948,434,20,0
2023-11-09 16:00:00,8.948,9.042,8.932,9.036,670,20,0
2023-11-09 17:00:00,9.04,9.04,8.962,9.018,654,20,0
2023-11-09 18:00:00,9.018,9.048,8.99,9.024,338,20,0
2023-11-10 10:00:00,8.866,8.926,8.844,8.876,569,20,0
2023-11-10 11:00:00,8.882,8.908,8.842,8.862,513,20,0
2023-11-10 12:00:00,8.86,8.878,8.808,8.82,466,20,0
2023-11-10 13:00:00,8.844,8.848,8.76,8.784,441,20,0
2023-11-10 14:00:00,8.782,8.818,8.762,8.798,441,20,0
2023-11-10 15:00:00,8.8,8.816,8.784,8.792,413,20,0
2023-11-10 16:00:00,8.792,8.816,8.744,8.78,552,20,0
2023-11-10 17:00:00,8.78,8.798,8.742,8.792,658,20,0
2023-11-10 18:00:00,8.76,8.834,8.76,8.83,276,20,0
2023-11-13 10:00:00,8.852,8.926,8.846,8.924,618,40,0
2023-11-13 11:00:00,8.924,8.956,8.894,8.938,529,20,0
2023-11-13 12:00:00,8.938,8.97,8.928,8.97,436,20,0
2023-11-13 13:00:00,8.968,8.975999999999999,8.906,8.928,501,20,0
2023-11-13 14:00:00,8.928,8.938,8.908,8.914,334,20,0
2023-11-13 15:00:00,8.916,8.93,8.888,8.894,371,20,0
2023-11-13 16:00:00,8.9,8.936,8.88,8.936,475,20,0
2023-11-13 17:00:00,8.934,8.96,8.9,8.954,643,20,0
2023-11-13 18:00:00,8.948,8.968,8.946,8.964,262,20,0
2023-11-14 10:00:00,8.982,8.992,8.912,8.962,611,40,0
2023-11-14 11:00:00,8.962,9.048,8.926,9.016,623,20,0
2023-11-14 12:00:00,8.98,9.02,8.958,8.975999999999999,502,20,0
2023-11-14 13:00:00,8.978,8.99,8.934,8.952,443,20,0
2023-11-14 14:00:00,8.95,8.964,8.904,8.912,438,20,0
2023-11-14 15:00:00,8.932,9.174,8.862,9.134,778,20,0
2023-11-14 16:00:00,9.134,9.23,9.062,9.198,1015,20,0
2023-11-14 17:00:00,9.2,9.264,9.196,9.244,727,20,0
2023-11-14 18:00:00,9.244,9.256,9.224,9.248,280,20,0
2023-11-15 10:00:00,9.294,9.452,9.28,9.444,856,20,0
2023-11-15 11:00:00,9.444,9.462,9.336,9.372,834,40,0
2023-11-15 12:00:00,9.38,9.44,9.338,9.414,680,40,0
2023-11-15 13:00:00,9.402,9.47,9.384,9.468,532,20,0
2023-11-15 14:00:00,9.468,9.504,9.436,9.49,648,20,0
2023-11-15 15:00:00,9.5,9.514,9.402,9.44,738,20,0
2023-11-15 16:00:00,9.444,9.462,9.408,9.416,919,20,0
2023-11-15 17:00:00,9.416,9.454,9.408,9.426,650,20,0
2023-11-15 18:00:00,9.426,9.442,9.398,9.416,249,20,0
2023-11-16 10:00:00,9.278,9.372,9.242,9.31,771,40,0
2023-11-16 11:00:00,9.308,9.336,9.218,9.256,643,20,0
2023-11-16 12:00:00,9.256,9.306,9.222,9.266,588,20,0
2023-11-16 13:00:00,9.266,9.28,9.234,9.26,537,20,0
2023-11-16 14:00:00,9.26,9.27,9.202,9.208,617,20,0
2023-11-16 15:00:00,9.214,9.262,9.196,9.256,631,20,0
2023-11-16 16:00:00,9.256,9.262,9.184,9.234,860,20,0
2023-11-16 17:00:00,9.234,9.234,9.148,9.182,784,20,0
2023-11-16 18:00:00,9.184,9.198,9.156,9.176,317,20,0
2023-11-17 10:00:00,9.212,9.348,9.15,9.33,638,20,0
2023-11-17 11:00:00,9.33,9.418,9.294,9.416,590,20,0
2023-11-17 12:00:00,9.416,9.454,9.334,9.434,604,20,0
2023-11-17 13:00:00,9.432,9.444,9.376,9.386,609,20,0
2023-11-17 14:00:00,9.388,9.456,9.386,9.434,473,20,0
2023-11-17 15:00:00,9.432,9.496,9.42,9.496,635,20,0
2023-11-17 16:00:00,9.494,9.544,9.446,9.462,828,20,0
2023-11-17 17:00:00,9.464,9.528,9.446,9.52,799,20,0
2023-11-17 18:00:00,9.524,9.526,9.446,9.456,320,20,0
2023-11-20 10:00:00,9.436,9.474,9.344,9.344,628,40,0
2023-11-20 11:00:00,9.36,9.41,9.348,9.35,438,20,0
2023-11-20 12:00:00,9.352,9.398,9.35,9.37,410,20,0
2023-11-20 13:00:00,9.368,9.384,9.346,9.36,393,20,0
2023-11-20 14:00:00,9.358,9.364,9.308,9.334,389,20,0
2023-11-20 15:00:00,9.334,9.374,9.318,9.37,276,20,0
2023-11-20 16:00:00,9.36,9.388,9.33,9.388,427,20,0
2023-11-20 17:00:00,9.368,9.39,9.306,9.366,477,20,0
2023-11-20 18:00:00,9.364,9.39,9.344,9.384,292,20,0
2023-11-21 10:00:00,9.316,9.378,9.284,9.3,650,40,0
2023-11-21 11:00:00,9.3,9.312,9.22,9.236,570,20,0
2023-11-21 12:00:00,9.236,9.266,9.218,9.226,546,20,0
2023-11-21 13:00:00,9.228,9.242,9.212,9.228,468,20,0
2023-11-21 14:00:00,9.23,9.242,9.19,9.202,388,20,0
2023-11-21 15:00:00,9.2,9.208,9.164,9.172,460,20,0
2023-11-21 16:00:00,9.192,9.216,9.164,9.206,650,20,0
2023-11-21 17:00:00,9.182,9.24,9.182,9.218,663,20,0
2023-11-21 18:00:00,9.218,9.228,9.194,9.218,237,20,0
2023-11-22 10:00:00,9.202,9.228,9.14,9.166,595,20,0
2023-11-22 11:00:00,9.166,9.192,9.126,9.134,514,20,0
2023-11-22 12:00:00,9.138,9.156,9.124,9.148,434,20,0
2023-11-22 13:00:00,9.148,9.156,9.118,9.12,432,20,0
2023-11-22 14:00:00,9.12,9.17,9.108,9.158,480,20,0
2023-11-22 15:00:00,9.156,9.182,9.078,9.158,617,20,0
2023-11-22 16:00:00,9.158,9.176,9.116,9.13,635,20,0
2023-11-22 17:00:00,9.128,9.15,9.094,9.13,698,20,0
2023-11-22 18:00:00,9.13,9.15,9.12,9.13,328,20,0
2023-11-23 10:00:00,9.148,9.182,9.134,9.17,614,40,0
2023-11-23 11:00:00,9.17,9.178,9.116,9.14,569,20,0
2023-11-23 12:00:00,9.144,9.152,9.09,9.104,387,20,0
2023-11-23 13:00:00,9.104,9.112,9.052,9.062,377,20,0
2023-11-23 14:00:00,9.06,9.138,9.052,9.138,289,20,0
2023-11-23 15:00:00,9.134,9.184,9.12,9.168,345,20,0
2023-11-23 16:00:00,9.182,9.208,9.168,9.188,471,20,0
2023-11-23 17:00:00,9.174,9.196,9.162,9.192,404,20,0
2023-11-23 18:00:00,9.192,9.198,9.174,9.192,172,20,0
2023-11-24 10:00:00,9.138,9.168,9.098,9.142,576,20,0
2023-11-24 11:00:00,9.14,9.162,9.1,9.148,556,20,0
2023-11-24 12:00:00,9.152,9.19,9.146,9.174,351,20,0
2023-11-24 13:00:00,9.174,9.188,9.152,9.166,367,20,0
2023-11-24 14:00:00,9.166,9.17,9.144,9.148,346,20,0
2023-11-24 15:00:00,9.148,9.17,9.128,9.162,351,20,0
2023-11-24 16:00:00,9.16,9.192,9.136,9.184,475,20,0
2023-11-24 17:00:00,9.188,9.22,9.164,9.218,435,20,0
2023-11-24 18:00:00,9.216,9.238,9.198,9.234,165,20,0
2023-11-27 10:00:00,9.154,9.214,9.128,9.18,634,40,0
2023-11-27 11:00:00,9.19,9.194,9.11,9.14,479,20,0
2023-11-27 12:00:00,9.14,9.184,9.114,9.16,514,20,0
2023-11-27 13:00:00,9.16,9.166,9.12,9.128,462,20,0
2023-11-27 14:00:00,9.134,9.134,9.096,9.108,359,20,0
2023-11-27 15:00:00,9.11,9.124,9.098,9.122,323,20,0
2023-11-27 16:00:00,9.114,9.13,9.104,9.11,424,20,0
2023-11-27 17:00:00,9.11,9.124,9.088,9.108,479,20,0
2023-11-27 18:00:00,9.108,9.114,9.084,9.092,254,20,0
2023-11-28 10:00:00,9.022,9.022,8.9,8.906,841,20,0
2023-11-28 11:00:00,8.906,8.952,8.876,8.928,564,20,0
2023-11-28 12:00:00,8.928,8.95,8.898,8.904,453,20,0
2023-11-28 13:00:00,8.906,8.92,8.896,8.9,347,20,0
2023-11-28 14:00:00,8.898,8.922,8.894,8.906,287,20,0
2023-11-28 15:00:00,8.906,8.943999999999999,8.894,8.924,347,20,0
