time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,3.346,3.442,3.342,3.432,127,80,0
2023-11-03 12:00:00,3.44,3.442,3.428,3.44,49,60,0
2023-11-03 13:00:00,3.44,3.44,3.414,3.414,33,60,0
2023-11-03 14:00:00,3.42,3.428,3.42,3.424,23,40,0
2023-11-03 15:00:00,3.422,3.444,3.418,3.438,60,60,0
2023-11-03 16:00:00,3.438,3.45,3.402,3.418,131,40,0
2023-11-03 17:00:00,3.43,3.438,3.402,3.42,103,20,0
2023-11-03 18:00:00,3.42,3.434,3.406,3.428,170,20,0
2023-11-03 19:00:00,3.42,3.43,3.412,3.416,107,20,0
2023-11-06 10:00:00,3.386,3.404,3.374,3.382,62,60,0
2023-11-06 11:00:00,3.394,3.402,3.384,3.388,76,60,0
2023-11-06 12:00:00,3.388,3.398,3.384,3.384,60,60,0
2023-11-06 13:00:00,3.384,3.392,3.384,3.384,41,40,0
2023-11-06 14:00:00,3.384,3.388,3.354,3.378,57,40,0
2023-11-06 15:00:00,3.378,3.38,3.354,3.366,61,60,0
2023-11-06 16:00:00,3.366,3.378,3.348,3.37,86,40,0
2023-11-06 17:00:00,3.364,3.372,3.342,3.354,153,20,0
2023-11-06 18:00:00,3.35,3.358,3.342,3.35,56,20,0
2023-11-07 10:00:00,3.296,3.36,3.296,3.33,109,60,0
2023-11-07 11:00:00,3.322,3.336,3.31,3.332,115,100,0
2023-11-07 12:00:00,3.332,3.344,3.314,3.336,38,80,0
2023-11-07 13:00:00,3.342,3.342,3.3,3.324,70,60,0
2023-11-07 14:00:00,3.328,3.334,3.3,3.33,134,60,0
2023-11-07 15:00:00,3.328,3.356,3.312,3.356,136,40,0
2023-11-07 16:00:00,3.356,3.356,3.332,3.346,65,40,0
2023-11-07 17:00:00,3.35,3.35,3.326,3.346,106,40,0
2023-11-07 18:00:00,3.346,3.358,3.334,3.348,60,20,0
2023-11-08 10:00:00,3.332,3.356,3.322,3.338,137,120,0
2023-11-08 11:00:00,3.338,3.362,3.338,3.354,62,80,0
2023-11-08 12:00:00,3.352,3.358,3.338,3.342,84,100,0
2023-11-08 13:00:00,3.342,3.358,3.342,3.348,65,100,0
2023-11-08 14:00:00,3.348,3.36,3.344,3.36,61,60,0
2023-11-08 15:00:00,3.36,3.36,3.348,3.354,64,60,0
2023-11-08 16:00:00,3.354,3.398,3.348,3.382,210,40,0
2023-11-08 17:00:00,3.39,3.39,3.37,3.37,149,40,0
2023-11-08 18:00:00,3.37,3.388,3.37,3.374,53,40,0
2023-11-09 10:00:00,3.364,3.384,3.344,3.366,79,60,0
2023-11-09 11:00:00,3.374,3.378,3.34,3.358,50,60,0
2023-11-09 12:00:00,3.358,3.368,3.34,3.364,97,60,0
2023-11-09 13:00:00,3.364,3.38,3.362,3.372,139,20,0
2023-11-09 14:00:00,3.372,3.374,3.352,3.368,68,40,0
2023-11-09 15:00:00,3.368,3.39,3.362,3.386,55,40,0
2023-11-09 16:00:00,3.378,3.4,3.376,3.396,112,40,0
2023-11-09 17:00:00,3.398,3.412,3.39,3.402,123,20,0
2023-11-09 18:00:00,3.404,3.416,3.394,3.41,66,40,0
2023-11-10 10:00:00,3.378,3.406,3.37,3.398,69,60,0
2023-11-10 11:00:00,3.402,3.402,3.392,3.4,27,100,0
2023-11-10 12:00:00,3.4,3.402,3.384,3.39,60,20,0
2023-11-10 13:00:00,3.394,3.396,3.39,3.392,62,60,0
2023-11-10 14:00:00,3.392,3.396,3.38,3.39,54,40,0
2023-11-10 15:00:00,3.384,3.394,3.38,3.39,37,40,0
2023-11-10 16:00:00,3.392,3.394,3.38,3.384,77,40,0
2023-11-10 17:00:00,3.382,3.388,3.37,3.382,138,20,0
2023-11-10 18:00:00,3.376,3.406,3.376,3.394,74,40,0
2023-11-13 10:00:00,3.414,3.438,3.388,3.426,71,60,0
2023-11-13 11:00:00,3.43,3.446,3.416,3.438,84,60,0
2023-11-13 12:00:00,3.432,3.438,3.432,3.432,22,80,0
2023-11-13 13:00:00,3.438,3.438,3.422,3.422,29,40,0
2023-11-13 14:00:00,3.432,3.44,3.416,3.43,56,40,0
2023-11-13 15:00:00,3.416,3.43,3.412,3.414,36,20,0
2023-11-13 16:00:00,3.414,3.43,3.412,3.422,75,20,0
2023-11-13 17:00:00,3.422,3.438,3.416,3.432,96,40,0
2023-11-13 18:00:00,3.432,3.44,3.426,3.438,49,40,0
2023-11-14 10:00:00,3.4,3.43,3.4,3.43,123,80,0
2023-11-14 11:00:00,3.43,3.44,3.416,3.424,98,100,0
2023-11-14 12:00:00,3.424,3.44,3.424,3.43,33,80,0
2023-11-14 13:00:00,3.436,3.436,3.43,3.434,34,80,0
2023-11-14 14:00:00,3.43,3.45,3.43,3.434,60,60,0
2023-11-14 15:00:00,3.45,3.464,3.434,3.454,122,80,0
2023-11-14 16:00:00,3.456,3.464,3.424,3.436,145,20,0
2023-11-14 17:00:00,3.444,3.458,3.426,3.452,143,20,0
2023-11-14 18:00:00,3.454,3.462,3.452,3.46,49,40,0
2023-11-15 10:00:00,3.442,3.534,3.442,3.534,128,40,0
2023-11-15 11:00:00,3.524,3.542,3.48,3.484,163,60,0
2023-11-15 12:00:00,3.496,3.504,3.476,3.504,68,40,0
2023-11-15 13:00:00,3.5,3.512,3.486,3.508,72,40,0
2023-11-15 14:00:00,3.508,3.51,3.482,3.504,110,40,0
2023-11-15 15:00:00,3.5,3.51,3.49,3.508,87,40,0
2023-11-15 16:00:00,3.502,3.52,3.474,3.504,159,40,0
2023-11-15 17:00:00,3.506,3.508,3.474,3.496,150,20,0
2023-11-15 18:00:00,3.496,3.5,3.482,3.492,75,20,0
2023-11-16 10:00:00,3.52,3.52,3.222,3.304,167,0,0
2023-11-16 11:00:00,3.342,3.378,3.31,3.378,157,20,0
2023-11-16 12:00:00,3.378,3.414,3.36,3.392,112,20,0
2023-11-16 13:00:00,3.412,3.428,3.31,3.394,103,20,0
2023-11-16 14:00:00,3.394,3.394,3.188,3.25,148,20,0
2023-11-16 15:00:00,3.234,3.292,3.186,3.22,164,40,0
2023-11-16 16:00:00,3.244,3.272,3.146,3.23,190,20,0
2023-11-16 17:00:00,3.24,3.24,3.146,3.228,219,20,0
2023-11-16 18:00:00,3.23,3.25,3.2,3.226,110,20,0
2023-11-17 10:00:00,3.23,3.25,3.172,3.208,282,40,0
2023-11-17 11:00:00,3.2,3.264,3.194,3.234,216,40,0
2023-11-17 12:00:00,3.264,3.27,3.206,3.22,259,60,0
2023-11-17 13:00:00,3.22,3.244,3.2,3.23,163,40,0
2023-11-17 14:00:00,3.244,3.246,3.216,3.222,124,20,0
2023-11-17 15:00:00,3.222,3.236,3.218,3.232,144,40,0
2023-11-17 16:00:00,3.236,3.242,3.224,3.24,178,20,0
2023-11-17 17:00:00,3.238,3.242,3.222,3.222,142,20,0
2023-11-17 18:00:00,3.24,3.24,3.222,3.234,81,20,0
2023-11-20 10:00:00,3.232,3.232,3.2,3.22,109,20,0
2023-11-20 11:00:00,3.216,3.226,3.146,3.148,120,20,0
2023-11-20 12:00:00,3.16,3.208,3.124,3.154,151,20,0
2023-11-20 13:00:00,3.142,3.188,3.142,3.178,114,40,0
