time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,0.8615,0.8805,0.8615,0.8795,259,20,0
2023-11-03 12:00:00,0.879,0.883,0.8735,0.8765,111,20,0
2023-11-03 13:00:00,0.8765,0.879,0.874,0.877,118,15,0
2023-11-03 14:00:00,0.877,0.881,0.874,0.8745,94,20,0
2023-11-03 15:00:00,0.874,0.883,0.8685,0.8825,151,20,0
2023-11-03 16:00:00,0.8815,0.8845,0.8765,0.879,196,15,0
2023-11-03 17:00:00,0.8795,0.8835,0.8715,0.8785,239,15,0
2023-11-03 18:00:00,0.8795,0.8825,0.875,0.8825,118,5,0
2023-11-03 19:00:00,0.882,0.884,0.881,0.8835,52,5,0
2023-11-06 10:00:00,0.8805,0.888,0.8795,0.885,170,20,0
2023-11-06 11:00:00,0.887,0.8875,0.879,0.884,81,15,0
2023-11-06 12:00:00,0.884,0.888,0.8815,0.8845,65,15,0
2023-11-06 13:00:00,0.8875,0.889,0.884,0.887,69,15,0
2023-11-06 14:00:00,0.8865,0.889,0.8815,0.8825,80,10,0
2023-11-06 15:00:00,0.882,0.888,0.879,0.884,99,10,0
2023-11-06 16:00:00,0.884,0.886,0.8755,0.878,177,5,0
2023-11-06 17:00:00,0.8775,0.8845,0.8755,0.8825,195,5,0
2023-11-06 18:00:00,0.8835,0.8835,0.878,0.878,75,5,0
2023-11-07 10:00:00,0.861,0.877,0.861,0.8755,131,45,0
2023-11-07 11:00:00,0.8755,0.8795,0.87,0.8765,92,40,0
2023-11-07 12:00:00,0.8745,0.8815,0.8735,0.88,95,30,0
2023-11-07 13:00:00,0.877,0.881,0.8745,0.8775,77,20,0
2023-11-07 14:00:00,0.8785,0.879,0.8745,0.8775,67,15,0
2023-11-07 15:00:00,0.8775,0.8785,0.8775,0.878,69,10,0
2023-11-07 16:00:00,0.878,0.8785,0.8775,0.8775,100,15,0
2023-11-07 17:00:00,0.8775,0.8825,0.874,0.879,154,10,0
2023-11-07 18:00:00,0.879,0.8815,0.875,0.875,108,10,0
2023-11-08 10:00:00,0.85,0.877,0.85,0.8685,262,25,0
2023-11-08 11:00:00,0.871,0.877,0.8675,0.8715,200,20,0
2023-11-08 12:00:00,0.877,0.8795,0.8715,0.8775,95,20,0
2023-11-08 13:00:00,0.879,0.881,0.877,0.8785,51,10,0
2023-11-08 14:00:00,0.8795,0.883,0.876,0.881,104,10,0
2023-11-08 15:00:00,0.878,0.882,0.876,0.879,84,15,0
2023-11-08 16:00:00,0.879,0.894,0.879,0.893,142,10,0
2023-11-08 17:00:00,0.8895,0.894,0.884,0.886,89,15,0
2023-11-08 18:00:00,0.8875,0.8875,0.883,0.885,42,5,0
2023-11-09 10:00:00,0.8855,0.8975,0.8755,0.876,365,35,0
2023-11-09 11:00:00,0.877,0.889,0.875,0.8865,129,10,0
2023-11-09 12:00:00,0.8855,0.8905,0.881,0.888,150,10,0
2023-11-09 13:00:00,0.886,0.8895,0.882,0.8835,65,15,0
2023-11-09 14:00:00,0.884,0.887,0.881,0.8845,81,15,0
2023-11-09 15:00:00,0.8835,0.887,0.877,0.877,117,5,0
2023-11-09 16:00:00,0.877,0.8845,0.877,0.8815,132,15,0
2023-11-09 17:00:00,0.8835,0.8905,0.8795,0.8895,155,10,0
2023-11-09 18:00:00,0.888,0.8955,0.888,0.892,55,15,0
2023-11-10 10:00:00,0.893,0.893,0.8725,0.885,274,15,0
2023-11-10 11:00:00,0.8855,0.8885,0.8715,0.8805,163,10,0
2023-11-10 12:00:00,0.873,0.883,0.8715,0.8805,134,15,0
2023-11-10 13:00:00,0.8755,0.8805,0.8715,0.878,94,15,0
2023-11-10 14:00:00,0.8775,0.8805,0.8745,0.8765,81,10,0
2023-11-10 15:00:00,0.8765,0.8855,0.8755,0.8825,113,10,0
2023-11-10 16:00:00,0.8795,0.8855,0.8755,0.883,118,10,0
2023-11-10 17:00:00,0.883,0.884,0.8775,0.882,117,10,0
2023-11-10 18:00:00,0.882,0.8835,0.879,0.8825,56,10,0
2023-11-13 10:00:00,0.873,0.887,0.873,0.884,132,55,0
2023-11-13 11:00:00,0.8835,0.887,0.8755,0.8755,152,25,0
2023-11-13 12:00:00,0.876,0.8795,0.8715,0.878,51,30,0
2023-11-13 13:00:00,0.878,0.8785,0.8745,0.8755,42,20,0
2023-11-13 14:00:00,0.876,0.879,0.8735,0.8745,64,20,0
2023-11-13 15:00:00,0.8745,0.8765,0.865,0.8675,137,15,0
2023-11-13 16:00:00,0.8645,0.872,0.8645,0.8705,169,15,0
2023-11-13 17:00:00,0.871,0.873,0.866,0.872,137,5,0
