time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,28.78,28.85,28.64,28.68,527,100,0
2023-11-03 12:00:00,28.68,28.74,28.64,28.66,286,100,0
2023-11-03 13:00:00,28.66,28.69,28.41,28.45,288,100,0
2023-11-03 14:00:00,28.44,28.5,28.41,28.44,275,100,0
2023-11-03 15:00:00,28.45,28.53,28.37,28.46,312,100,0
2023-11-03 16:00:00,28.46,28.52,28.06,28.1,402,100,0
2023-11-03 17:00:00,28.11,28.3,28.03,28.3,433,100,0
2023-11-03 18:00:00,28.31,28.31,28.19,28.22,250,100,0
2023-11-03 19:00:00,28.23,28.27,28.2,28.26,89,100,0
2023-11-06 10:00:00,28.25,28.42,28.22,28.34,414,100,0
2023-11-06 11:00:00,28.34,28.39,28.27,28.37,358,100,0
2023-11-06 12:00:00,28.38,28.38,28.33,28.36,208,100,0
2023-11-06 13:00:00,28.36,28.37,28.3,28.33,197,100,0
2023-11-06 14:00:00,28.32,28.4,28.29,28.39,230,100,0
2023-11-06 15:00:00,28.38,28.5,28.33,28.5,379,100,0
2023-11-06 16:00:00,28.5,28.51,28.41,28.46,384,100,0
2023-11-06 17:00:00,28.47,28.56,28.44,28.54,290,100,0
2023-11-06 18:00:00,28.54,28.58,28.52,28.54,134,100,0
2023-11-07 10:00:00,28.53,28.73,28.49,28.73,538,100,0
2023-11-07 11:00:00,28.73,28.74,28.61,28.63,498,100,0
2023-11-07 12:00:00,28.64,28.73,28.62,28.69,357,100,0
2023-11-07 13:00:00,28.69,28.78,28.67,28.75,336,100,0
2023-11-07 14:00:00,28.75,28.81,28.72,28.78,345,100,0
2023-11-07 15:00:00,28.76,28.88,28.76,28.84,315,100,0
2023-11-07 16:00:00,28.85,29.03,28.81,29.0,375,100,0
2023-11-07 17:00:00,29.0,29.01,28.9,28.94,380,100,0
2023-11-07 18:00:00,28.95,28.97,28.84,28.85,181,100,0
2023-11-08 10:00:00,28.99,29.2,28.9,29.2,584,100,0
2023-11-08 11:00:00,29.19,29.19,29.04,29.14,460,100,0
2023-11-08 12:00:00,29.15,29.15,29.01,29.06,422,100,0
2023-11-08 13:00:00,29.11,29.13,29.02,29.03,405,100,0
2023-11-08 14:00:00,29.02,29.13,29.02,29.1,341,100,0
2023-11-08 15:00:00,29.1,29.16,29.07,29.15,466,100,0
2023-11-08 16:00:00,29.14,29.17,29.11,29.11,380,100,0
2023-11-08 17:00:00,29.11,29.15,29.03,29.05,436,100,0
2023-11-08 18:00:00,29.06,29.09,29.04,29.09,137,100,0
2023-11-09 10:00:00,29.14,29.35,29.09,29.32,459,100,0
2023-11-09 11:00:00,29.32,29.36,29.28,29.34,391,100,0
2023-11-09 12:00:00,29.33,29.36,29.28,29.33,256,100,0
2023-11-09 13:00:00,29.36,29.42,29.3,29.4,219,100,0
2023-11-09 14:00:00,29.39,29.48,29.37,29.48,183,100,0
2023-11-09 15:00:00,29.45,29.49,29.4,29.45,255,100,0
2023-11-09 16:00:00,29.45,29.52,29.4,29.48,382,100,0
2023-11-09 17:00:00,29.48,29.57,29.4,29.57,352,100,0
2023-11-09 18:00:00,29.56,29.62,29.55,29.58,150,100,0
2023-11-10 10:00:00,29.53,29.79,29.53,29.7,473,100,0
2023-11-10 11:00:00,29.72,29.76,29.61,29.65,362,100,0
2023-11-10 12:00:00,29.68,29.68,29.53,29.59,257,100,0
2023-11-10 13:00:00,29.55,29.63,29.55,29.61,196,100,0
2023-11-10 14:00:00,29.61,29.68,29.59,29.64,187,100,0
2023-11-10 15:00:00,29.64,29.64,29.57,29.58,197,100,0
2023-11-10 16:00:00,29.63,29.69,29.46,29.48,321,100,0
2023-11-10 17:00:00,29.47,29.55,29.41,29.47,295,100,0
2023-11-10 18:00:00,29.45,29.55,29.44,29.53,100,100,0
2023-11-13 10:00:00,29.59,29.74,29.46,29.63,594,100,0
2023-11-13 11:00:00,29.67,29.74,29.61,29.69,285,100,0
2023-11-13 12:00:00,29.67,29.71,29.6,29.62,154,100,0
2023-11-13 13:00:00,29.62,29.66,29.57,29.59,279,100,0
2023-11-13 14:00:00,29.6,29.6,29.47,29.5,238,100,0
2023-11-13 15:00:00,29.5,29.51,29.42,29.47,323,100,0
2023-11-13 16:00:00,29.48,29.54,29.39,29.5,286,100,0
2023-11-13 17:00:00,29.53,29.59,29.48,29.54,307,100,0
2023-11-13 18:00:00,29.55,29.6,29.53,29.58,154,100,0
2023-11-14 10:00:00,29.54,29.64,29.48,29.61,450,100,0
2023-11-14 11:00:00,29.6,29.66,29.47,29.49,385,100,0
2023-11-14 12:00:00,29.53,29.53,29.45,29.52,289,100,0
2023-11-14 13:00:00,29.52,29.57,29.47,29.53,213,100,0
2023-11-14 14:00:00,29.53,29.58,29.5,29.54,187,100,0
2023-11-14 15:00:00,29.53,29.68,29.46,29.5,386,100,0
2023-11-14 16:00:00,29.51,29.53,29.16,29.17,476,100,0
2023-11-14 17:00:00,29.17,29.25,28.89,28.91,493,100,0
2023-11-14 18:00:00,28.92,28.98,28.88,28.9,207,100,0
2023-11-15 10:00:00,29.07,29.2,29.05,29.12,593,100,0
2023-11-15 11:00:00,29.13,29.19,29.07,29.08,462,100,0
2023-11-15 12:00:00,29.08,29.21,29.08,29.17,273,100,0
2023-11-15 13:00:00,29.18,29.18,29.07,29.08,252,100,0
2023-11-15 14:00:00,29.12,29.17,29.07,29.14,253,100,0
