time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,55.5,55.54,55.08,55.1,355,200,0
2023-11-03 12:00:00,55.1,55.36,55.0,55.1,202,200,0
2023-11-03 13:00:00,55.02,55.08,54.9,54.94,190,200,0
2023-11-03 14:00:00,54.94,54.96,54.86,54.86,160,200,0
2023-11-03 15:00:00,54.88,54.9,54.72,54.74,158,200,0
2023-11-03 16:00:00,54.74,54.86,54.36,54.38,229,200,0
2023-11-03 17:00:00,54.66,54.66,54.24,54.24,313,200,0
2023-11-03 18:00:00,54.24,54.38,54.08,54.08,213,200,0
2023-11-03 19:00:00,54.06,54.16,54.06,54.12,72,200,0
2023-11-06 10:00:00,54.36,54.56,54.32,54.5,420,200,0
2023-11-06 11:00:00,54.52,54.68,54.4,54.6,225,200,0
2023-11-06 12:00:00,54.62,54.64,54.48,54.5,172,200,0
2023-11-06 13:00:00,54.5,54.6,54.46,54.56,207,200,0
2023-11-06 14:00:00,54.54,54.6,54.44,54.54,160,200,0
2023-11-06 15:00:00,54.6,54.78,54.52,54.72,170,200,0
2023-11-06 16:00:00,54.62,54.78,54.62,54.72,213,200,0
2023-11-06 17:00:00,54.74,54.92,54.7,54.86,203,200,0
2023-11-06 18:00:00,54.86,54.86,54.76,54.8,92,200,0
2023-11-07 10:00:00,54.88,55.24,54.74,55.18,450,200,0
2023-11-07 11:00:00,55.18,55.18,54.98,55.06,418,200,0
2023-11-07 12:00:00,55.06,55.2,54.98,55.02,290,200,0
2023-11-07 13:00:00,55.02,55.18,54.98,54.98,263,200,0
2023-11-07 14:00:00,55.08,55.08,54.78,54.92,220,200,0
2023-11-07 15:00:00,54.92,55.06,54.84,55.06,290,200,0
2023-11-07 16:00:00,55.04,55.14,54.94,55.06,292,200,0
2023-11-07 17:00:00,55.06,55.22,54.84,55.22,249,200,0
2023-11-07 18:00:00,55.04,55.38,55.02,55.38,146,200,0
2023-11-08 10:00:00,55.38,55.38,54.88,55.12,426,200,0
2023-11-08 11:00:00,55.12,55.2,54.92,54.92,349,200,0
2023-11-08 12:00:00,55.0,55.0,54.78,54.8,230,200,0
2023-11-08 13:00:00,54.94,54.94,54.72,54.76,246,200,0
2023-11-08 14:00:00,54.76,54.8,54.72,54.74,182,200,0
2023-11-08 15:00:00,54.72,54.88,54.72,54.88,201,200,0
2023-11-08 16:00:00,54.8,54.98,54.78,54.88,254,200,0
2023-11-08 17:00:00,54.86,55.04,54.82,54.92,200,200,0
2023-11-08 18:00:00,54.96,55.02,54.88,54.94,126,200,0
2023-11-09 10:00:00,54.88,55.26,54.7,55.2,503,200,0
2023-11-09 11:00:00,55.18,55.4,55.14,55.26,313,200,0
2023-11-09 12:00:00,55.26,55.6,55.18,55.6,216,200,0
2023-11-09 13:00:00,55.4,55.66,55.36,55.56,209,200,0
2023-11-09 14:00:00,55.56,55.76,55.54,55.66,229,200,0
2023-11-09 15:00:00,55.64,55.82,55.56,55.7,260,200,0
2023-11-09 16:00:00,55.7,55.84,55.6,55.68,376,200,0
2023-11-09 17:00:00,55.68,55.7,55.42,55.52,322,200,0
2023-11-09 18:00:00,55.5,55.62,55.42,55.54,114,200,0
2023-11-10 10:00:00,55.52,55.64,55.3,55.64,421,200,0
2023-11-10 11:00:00,55.64,55.64,55.34,55.54,306,200,0
2023-11-10 12:00:00,55.52,55.6,55.2,55.22,235,200,0
2023-11-10 13:00:00,55.22,55.32,55.22,55.26,209,200,0
2023-11-10 14:00:00,55.26,55.36,55.14,55.22,179,200,0
2023-11-10 15:00:00,55.24,55.3,55.1,55.24,155,200,0
2023-11-10 16:00:00,55.28,55.3,54.9,54.9,237,200,0
2023-11-10 17:00:00,54.88,55.08,54.44,54.68,314,200,0
2023-11-10 18:00:00,54.68,55.06,54.46,54.88,120,200,0
2023-11-13 10:00:00,55.16,55.7,55.14,55.58,326,200,0
2023-11-13 11:00:00,55.66,55.72,55.56,55.6,271,200,0
2023-11-13 12:00:00,55.6,55.6,55.26,55.4,244,200,0
2023-11-13 13:00:00,55.42,55.48,55.26,55.42,177,200,0
2023-11-13 14:00:00,55.42,55.48,55.3,55.3,167,200,0
2023-11-13 15:00:00,55.3,55.38,55.24,55.24,152,200,0
2023-11-13 16:00:00,55.26,55.38,55.16,55.26,217,200,0
2023-11-13 17:00:00,55.26,55.38,55.16,55.28,195,200,0
2023-11-13 18:00:00,55.28,55.34,55.22,55.3,121,200,0
2023-11-14 10:00:00,54.62,55.3,54.5,55.16,392,200,0
2023-11-14 11:00:00,55.16,55.34,54.82,54.82,296,200,0
2023-11-14 12:00:00,54.82,54.92,54.62,54.68,252,200,0
2023-11-14 13:00:00,54.68,54.76,54.6,54.68,202,200,0
2023-11-14 14:00:00,54.68,54.68,54.54,54.62,170,200,0
2023-11-14 15:00:00,54.64,54.8,54.56,54.64,249,200,0
2023-11-14 16:00:00,54.6,54.74,54.38,54.42,308,200,0
2023-11-14 17:00:00,54.4,55.08,54.36,55.08,246,200,0
2023-11-14 18:00:00,54.84,55.08,54.84,55.06,135,200,0
2023-11-15 10:00:00,55.56,55.66,55.16,55.3,457,200,0
2023-11-15 11:00:00,55.3,55.34,54.9,55.02,403,200,0
2023-11-15 12:00:00,55.0,55.14,54.9,54.98,305,200,0
2023-11-15 13:00:00,55.0,55.16,54.88,55.08,291,200,0
2023-11-15 14:00:00,55.08,55.12,55.0,55.0,221,200,0
2023-11-15 15:00:00,55.02,55.14,54.92,55.04,230,200,0
2023-11-15 16:00:00,55.04,55.08,54.98,55.0,255,200,0
2023-11-15 17:00:00,55.0,55.06,54.68,54.78,290,200,0
2023-11-15 18:00:00,54.78,54.82,54.68,54.78,128,200,0
2023-11-16 10:00:00,54.62,54.9,54.56,54.72,444,200,0
2023-11-16 11:00:00,54.7,54.84,54.48,54.54,328,200,0
