time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,4.228,4.354,4.228,4.322,601,10,0
2023-11-03 12:00:00,4.322,4.38,4.302,4.38,683,10,0
2023-11-03 13:00:00,4.342,4.392,4.338,4.36,532,10,0
2023-11-03 14:00:00,4.36,4.381,4.351,4.376,508,10,0
2023-11-03 15:00:00,4.376,4.456,4.366,4.431,662,10,0
2023-11-03 16:00:00,4.434,4.467,4.421,4.448,721,10,0
2023-11-03 17:00:00,4.45,4.456,4.423,4.439,702,10,0
2023-11-03 18:00:00,4.439,4.451,4.394,4.407,483,10,0
2023-11-03 19:00:00,4.407,4.415,4.4,4.413,139,10,0
2023-11-06 10:00:00,4.51,4.513,4.406,4.455,605,10,0
2023-11-06 11:00:00,4.416,4.446,4.406,4.441,483,10,0
2023-11-06 12:00:00,4.441,4.455,4.424,4.435,379,10,0
2023-11-06 13:00:00,4.436,4.444,4.417,4.423,303,10,0
2023-11-06 14:00:00,4.42,4.437,4.408,4.433,318,10,0
2023-11-06 15:00:00,4.434,4.44,4.425,4.431,356,10,0
2023-11-06 16:00:00,4.431,4.436,4.384,4.384,431,10,0
2023-11-06 17:00:00,4.384,4.415,4.36,4.405,499,10,0
2023-11-06 18:00:00,4.405,4.414,4.393,4.405,201,10,0
2023-11-07 10:00:00,4.429,4.457,4.412,4.442,504,20,0
2023-11-07 11:00:00,4.441,4.442,4.412,4.433,477,10,0
2023-11-07 12:00:00,4.433,4.448,4.425,4.435,482,10,0
2023-11-07 13:00:00,4.438,4.445,4.431,4.442,363,10,0
2023-11-07 14:00:00,4.442,4.444,4.426,4.437,306,10,0
2023-11-07 15:00:00,4.438,4.454,4.426,4.452,436,10,0
2023-11-07 16:00:00,4.453,4.477,4.436,4.474,499,10,0
2023-11-07 17:00:00,4.473,4.481,4.455,4.458,537,10,0
2023-11-07 18:00:00,4.464,4.469,4.429,4.436,322,10,0
2023-11-08 10:00:00,4.401,4.446,4.383,4.438,402,10,0
2023-11-08 11:00:00,4.437,4.455,4.418,4.451,343,10,0
2023-11-08 12:00:00,4.437,4.455,4.418,4.435,355,10,0
2023-11-08 13:00:00,4.435,4.452,4.427,4.445,400,10,0
2023-11-08 14:00:00,4.451,4.451,4.419,4.436,362,10,0
2023-11-08 15:00:00,4.441,4.455,4.435,4.445,370,10,0
2023-11-08 16:00:00,4.449,4.474,4.44,4.46,391,10,0
2023-11-08 17:00:00,4.461,4.473,4.419,4.436,580,10,0
2023-11-08 18:00:00,4.426,4.444,4.419,4.441,283,10,0
2023-11-09 10:00:00,4.422,4.444,4.392,4.405,452,10,0
2023-11-09 11:00:00,4.405,4.439,4.397,4.433,524,10,0
2023-11-09 12:00:00,4.433,4.45,4.417,4.446,465,10,0
2023-11-09 13:00:00,4.447,4.467,4.438,4.454,469,10,0
2023-11-09 14:00:00,4.454,4.489,4.454,4.485,367,10,0
2023-11-09 15:00:00,4.485,4.501,4.481,4.484,359,10,0
2023-11-09 16:00:00,4.484,4.515,4.479,4.491,589,10,0
