time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,2.218,2.248,2.218,2.226,464,10,0
2023-11-03 12:00:00,2.227,2.229,2.214,2.224,355,10,0
2023-11-03 13:00:00,2.223,2.226,2.215,2.218,300,10,0
2023-11-03 14:00:00,2.219,2.228,2.218,2.224,175,10,0
2023-11-03 15:00:00,2.223,2.234,2.212,2.224,291,10,0
2023-11-03 16:00:00,2.225,2.238,2.224,2.233,370,10,0
2023-11-03 17:00:00,2.234,2.236,2.203,2.211,513,10,0
2023-11-03 18:00:00,2.21,2.214,2.202,2.206,341,10,0
2023-11-03 19:00:00,2.204,2.206,2.2,2.203,83,10,0
2023-11-06 10:00:00,2.218,2.244,2.218,2.24,403,10,0
2023-11-06 11:00:00,2.24,2.253,2.231,2.246,318,10,0
2023-11-06 12:00:00,2.247,2.253,2.242,2.243,221,10,0
2023-11-06 13:00:00,2.243,2.25,2.239,2.248,224,10,0
2023-11-06 14:00:00,2.247,2.258,2.242,2.255,232,10,0
2023-11-06 15:00:00,2.255,2.258,2.247,2.253,283,10,0
2023-11-06 16:00:00,2.247,2.257,2.239,2.242,268,10,0
2023-11-06 17:00:00,2.248,2.248,2.235,2.244,275,10,0
2023-11-06 18:00:00,2.243,2.246,2.24,2.243,103,10,0
2023-11-07 10:00:00,2.238,2.251,2.235,2.246,539,10,0
2023-11-07 11:00:00,2.247,2.255,2.24,2.251,343,10,0
2023-11-07 12:00:00,2.251,2.271,2.245,2.266,317,10,0
2023-11-07 13:00:00,2.266,2.27,2.256,2.258,322,10,0
2023-11-07 14:00:00,2.259,2.26,2.25,2.256,243,10,0
2023-11-07 15:00:00,2.256,2.261,2.248,2.254,286,10,0
2023-11-07 16:00:00,2.252,2.258,2.247,2.254,356,10,0
2023-11-07 17:00:00,2.252,2.263,2.247,2.263,302,10,0
2023-11-07 18:00:00,2.26,2.261,2.253,2.254,139,10,0
2023-11-08 10:00:00,2.29,2.307,2.276,2.307,480,10,0
