time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,2.996,3.024,2.966,3.018,109,20,0
2023-11-03 12:00:00,3.018,3.024,3.01,3.01,15,60,0
2023-11-03 13:00:00,3.01,3.01,2.994,2.998,38,40,0
2023-11-03 14:00:00,2.994,3.014,2.994,3.008,43,40,0
2023-11-03 15:00:00,3.01,3.04,3.008,3.032,103,40,0
2023-11-03 16:00:00,3.034,3.052,3.03,3.05,91,20,0
2023-11-03 17:00:00,3.054,3.056,3.028,3.03,93,20,0
2023-11-03 18:00:00,3.032,3.036,3.008,3.018,143,20,0
2023-11-03 19:00:00,3.016,3.018,3.01,3.016,44,20,0
2023-11-06 10:00:00,3.006,3.016,3.006,3.014,19,60,0
2023-11-06 11:00:00,3.014,3.02,2.994,2.998,105,40,0
2023-11-06 12:00:00,3.004,3.008,2.99,3.002,61,20,0
2023-11-06 13:00:00,2.992,3.002,2.988,2.994,62,40,0
2023-11-06 14:00:00,2.998,3.0,2.99,2.996,73,40,0
2023-11-06 15:00:00,2.99,3.01,2.99,2.998,62,40,0
2023-11-06 16:00:00,3.004,3.01,2.998,3.0,98,20,0
2023-11-06 17:00:00,3.0,3.012,3.0,3.012,98,20,0
2023-11-06 18:00:00,3.008,3.012,3.008,3.01,48,20,0
2023-11-07 10:00:00,2.982,3.02,2.982,3.002,93,40,0
2023-11-07 11:00:00,3.008,3.02,3.002,3.008,111,20,0
2023-11-07 12:00:00,3.008,3.026,3.006,3.01,73,20,0
2023-11-07 13:00:00,3.01,3.02,3.006,3.016,61,20,0
2023-11-07 14:00:00,3.016,3.02,3.012,3.016,45,40,0
2023-11-07 15:00:00,3.016,3.02,3.014,3.014,73,20,0
2023-11-07 16:00:00,3.024,3.026,3.002,3.016,110,20,0
2023-11-07 17:00:00,3.018,3.028,3.002,3.02,158,20,0
2023-11-07 18:00:00,3.026,3.026,3.014,3.02,68,20,0
2023-11-08 10:00:00,2.946,3.016,2.946,3.016,180,60,0
2023-11-08 11:00:00,3.006,3.024,3.006,3.018,76,40,0
2023-11-08 12:00:00,3.018,3.034,3.018,3.028,51,40,0
2023-11-08 13:00:00,3.028,3.048,3.028,3.046,44,40,0
2023-11-08 14:00:00,3.044,3.048,3.034,3.042,99,20,0
2023-11-08 15:00:00,3.044,3.048,3.04,3.04,70,40,0
2023-11-08 16:00:00,3.04,3.074,3.04,3.072,74,40,0
2023-11-08 17:00:00,3.072,3.074,3.062,3.066,89,40,0
2023-11-08 18:00:00,3.066,3.07,3.062,3.068,45,20,0
2023-11-09 10:00:00,2.976,3.064,2.976,3.06,129,40,0
2023-11-09 11:00:00,3.042,3.06,3.028,3.044,54,40,0
2023-11-09 12:00:00,3.04,3.074,3.04,3.074,56,20,0
2023-11-09 13:00:00,3.068,3.078,3.064,3.076,43,40,0
2023-11-09 14:00:00,3.078,3.108,3.076,3.094,47,20,0
2023-11-09 15:00:00,3.094,3.108,3.092,3.102,109,20,0
2023-11-09 16:00:00,3.104,3.114,3.09,3.102,103,40,0
2023-11-09 17:00:00,3.102,3.11,3.092,3.11,92,40,0
2023-11-09 18:00:00,3.11,3.13,3.106,3.126,38,40,0
2023-11-10 10:00:00,3.124,3.124,3.076,3.09,160,60,0
2023-11-10 11:00:00,3.09,3.09,3.066,3.08,52,40,0
2023-11-10 12:00:00,3.076,3.08,3.054,3.054,38,40,0
2023-11-10 13:00:00,3.054,3.064,3.054,3.058,51,40,0
2023-11-10 14:00:00,3.056,3.064,3.056,3.062,55,40,0
2023-11-10 15:00:00,3.058,3.072,3.058,3.068,76,40,0
2023-11-10 16:00:00,3.066,3.072,3.056,3.066,89,20,0
2023-11-10 17:00:00,3.064,3.066,3.042,3.046,77,20,0
2023-11-10 18:00:00,3.042,3.06,3.042,3.054,55,20,0
2023-11-13 10:00:00,2.998,3.084,2.988,3.066,75,60,0
2023-11-13 11:00:00,3.066,3.07,3.04,3.05,73,40,0
2023-11-13 12:00:00,3.05,3.058,3.036,3.042,47,40,0
2023-11-13 13:00:00,3.04,3.046,3.018,3.03,98,40,0
2023-11-13 14:00:00,3.018,3.032,3.012,3.018,71,40,0
2023-11-13 15:00:00,3.012,3.03,3.004,3.02,110,40,0
2023-11-13 16:00:00,3.014,3.038,3.014,3.032,86,20,0
2023-11-13 17:00:00,3.028,3.05,3.026,3.042,124,20,0
2023-11-13 18:00:00,3.042,3.044,3.03,3.038,56,20,0
2023-11-14 10:00:00,3.026,3.058,3.026,3.05,135,20,0
2023-11-14 11:00:00,3.05,3.074,3.042,3.042,169,20,0
2023-11-14 12:00:00,3.042,3.068,3.042,3.054,112,20,0
2023-11-14 13:00:00,3.05,3.06,3.034,3.034,96,20,0
2023-11-14 14:00:00,3.042,3.062,3.042,3.054,46,40,0
2023-11-14 15:00:00,3.056,3.102,3.052,3.098,100,40,0
2023-11-14 16:00:00,3.098,3.102,3.084,3.09,103,20,0
2023-11-14 17:00:00,3.088,3.122,3.084,3.122,132,20,0
2023-11-14 18:00:00,3.108,3.142,3.108,3.134,73,20,0
2023-11-15 10:00:00,3.154,3.21,3.152,3.21,116,40,0
2023-11-15 11:00:00,3.212,3.224,3.172,3.186,136,40,0
2023-11-15 12:00:00,3.182,3.188,3.174,3.178,72,40,0
2023-11-15 13:00:00,3.178,3.198,3.176,3.194,62,40,0
2023-11-15 14:00:00,3.194,3.198,3.172,3.178,70,20,0
2023-11-15 15:00:00,3.176,3.196,3.156,3.162,115,40,0
2023-11-15 16:00:00,3.168,3.176,3.156,3.156,132,20,0
2023-11-15 17:00:00,3.158,3.174,3.156,3.16,136,20,0
2023-11-15 18:00:00,3.162,3.166,3.148,3.154,54,20,0
2023-11-16 10:00:00,3.062,3.158,3.052,3.158,187,60,0
2023-11-16 11:00:00,3.158,3.162,3.116,3.116,111,60,0
2023-11-16 12:00:00,3.116,3.156,3.116,3.146,94,40,0
2023-11-16 13:00:00,3.152,3.152,3.132,3.138,90,40,0
2023-11-16 14:00:00,3.138,3.144,3.126,3.132,73,20,0
2023-11-16 15:00:00,3.132,3.152,3.122,3.148,63,20,0
2023-11-16 16:00:00,3.138,3.152,3.126,3.138,136,20,0
2023-11-16 17:00:00,3.152,3.156,3.136,3.142,136,40,0
2023-11-16 18:00:00,3.142,3.144,3.118,3.118,66,20,0
2023-11-17 10:00:00,3.048,3.138,3.048,3.128,127,80,0
2023-11-17 11:00:00,3.134,3.148,3.128,3.138,81,60,0
2023-11-17 12:00:00,3.138,3.17,3.132,3.154,114,20,0
2023-11-17 13:00:00,3.158,3.18,3.152,3.166,113,20,0
2023-11-17 14:00:00,3.17,3.172,3.166,3.166,46,20,0
2023-11-17 15:00:00,3.166,3.174,3.16,3.168,83,20,0
2023-11-17 16:00:00,3.17,3.178,3.16,3.168,98,20,0
2023-11-17 17:00:00,3.168,3.182,3.168,3.178,80,20,0
2023-11-17 18:00:00,3.178,3.184,3.162,3.178,28,20,0
2023-11-20 10:00:00,3.17,3.224,3.15,3.21,124,40,0
2023-11-20 11:00:00,3.222,3.228,3.2,3.22,103,40,0
2023-11-20 12:00:00,3.222,3.23,3.214,3.222,77,20,0
2023-11-20 13:00:00,3.214,3.222,3.188,3.2,97,20,0
2023-11-20 14:00:00,3.2,3.206,3.194,3.194,76,40,0
2023-11-20 15:00:00,3.194,3.206,3.186,3.2,53,20,0
2023-11-20 16:00:00,3.206,3.21,3.194,3.2,96,20,0
2023-11-20 17:00:00,3.196,3.202,3.172,3.192,119,20,0
2023-11-20 18:00:00,3.174,3.188,3.17,3.174,78,20,0
2023-11-21 10:00:00,3.112,3.164,3.112,3.134,105,40,0
2023-11-21 11:00:00,3.146,3.148,3.126,3.126,65,20,0
2023-11-21 12:00:00,3.126,3.138,3.112,3.13,87,20,0
2023-11-21 13:00:00,3.122,3.142,3.12,3.138,81,20,0
2023-11-21 14:00:00,3.134,3.138,3.124,3.132,50,20,0
2023-11-21 15:00:00,3.128,3.132,3.118,3.122,64,20,0
2023-11-21 16:00:00,3.122,3.126,3.1,3.112,117,20,0
2023-11-21 17:00:00,3.122,3.122,3.094,3.102,134,20,0
2023-11-21 18:00:00,3.102,3.104,3.068,3.096,154,20,0
2023-11-22 10:00:00,3.11,3.132,3.062,3.1,180,40,0
2023-11-22 11:00:00,3.068,3.1,3.054,3.076,146,40,0
2023-11-22 12:00:00,3.07,3.09,3.07,3.09,71,40,0
2023-11-22 13:00:00,3.094,3.118,3.076,3.104,96,40,0
2023-11-22 14:00:00,3.1,3.114,3.09,3.104,98,60,0
2023-11-22 15:00:00,3.104,3.13,3.096,3.12,95,40,0
2023-11-22 16:00:00,3.118,3.13,3.07,3.108,117,40,0
2023-11-22 17:00:00,3.108,3.108,3.076,3.102,131,20,0
2023-11-22 18:00:00,3.102,3.104,3.094,3.098,68,20,0
2023-11-23 10:00:00,3.018,3.108,3.018,3.098,162,60,0
2023-11-23 11:00:00,3.094,3.102,3.064,3.08,88,40,0
2023-11-23 12:00:00,3.076,3.076,3.058,3.064,97,40,0
2023-11-23 13:00:00,3.066,3.068,3.052,3.056,63,40,0
2023-11-23 14:00:00,3.058,3.064,3.052,3.064,61,40,0
2023-11-23 15:00:00,3.066,3.086,3.06,3.08,60,40,0
2023-11-23 16:00:00,3.084,3.094,3.078,3.094,76,40,0
2023-11-23 17:00:00,3.094,3.098,3.086,3.094,87,20,0
2023-11-23 18:00:00,3.096,3.098,3.082,3.084,53,20,0
2023-11-24 10:00:00,3.092,3.096,3.066,3.072,97,60,0
2023-11-24 11:00:00,3.084,3.084,3.068,3.076,44,60,0
2023-11-24 12:00:00,3.074,3.08,3.07,3.08,45,40,0
2023-11-24 13:00:00,3.08,3.094,3.074,3.086,76,40,0
2023-11-24 14:00:00,3.094,3.094,3.08,3.082,56,40,0
2023-11-24 15:00:00,3.082,3.09,3.078,3.09,54,20,0
2023-11-24 16:00:00,3.09,3.096,3.084,3.096,72,40,0
2023-11-24 17:00:00,3.096,3.108,3.092,3.108,95,20,0
2023-11-24 18:00:00,3.108,3.112,3.104,3.108,33,20,0
2023-11-27 10:00:00,3.034,3.112,3.03,3.108,107,100,0
2023-11-27 11:00:00,3.108,3.112,3.068,3.084,122,20,0
2023-11-27 12:00:00,3.082,3.098,3.068,3.098,85,20,0
2023-11-27 13:00:00,3.098,3.098,3.084,3.092,49,40,0
2023-11-27 14:00:00,3.09,3.098,3.086,3.092,28,40,0
2023-11-27 15:00:00,3.092,3.104,3.092,3.102,51,20,0
2023-11-27 16:00:00,3.102,3.104,3.078,3.1,88,20,0
2023-11-27 17:00:00,3.096,3.104,3.074,3.09,96,20,0
