time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,7.315,7.425,7.185,7.4,271,300,0
2023-11-03 12:00:00,7.38,7.44,7.335,7.41,98,300,0
2023-11-03 13:00:00,7.415,7.42,7.37,7.4,63,200,0
2023-11-03 14:00:00,7.4,7.405,7.36,7.38,32,200,0
2023-11-03 15:00:00,7.35,7.51,7.35,7.47,89,200,0
2023-11-03 16:00:00,7.49,7.545,7.425,7.52,121,150,0
2023-11-03 17:00:00,7.55,7.555,7.45,7.48,120,150,0
2023-11-03 18:00:00,7.495,7.525,7.445,7.49,110,150,0
2023-11-03 19:00:00,7.485,7.52,7.47,7.49,49,100,0
2023-11-06 10:00:00,7.555,7.58,7.36,7.45,295,200,0
2023-11-06 11:00:00,7.445,7.49,7.41,7.475,122,150,0
2023-11-06 12:00:00,7.43,7.49,7.43,7.47,121,100,0
2023-11-06 13:00:00,7.47,7.48,7.375,7.43,113,100,0
2023-11-06 14:00:00,7.43,7.455,7.39,7.45,99,100,0
2023-11-06 15:00:00,7.44,7.44,7.345,7.345,71,150,0
2023-11-06 16:00:00,7.42,7.435,7.285,7.32,116,150,0
2023-11-06 17:00:00,7.32,7.375,7.285,7.375,118,50,0
2023-11-06 18:00:00,7.355,7.385,7.345,7.355,54,50,0
2023-11-07 10:00:00,7.28,7.415,7.28,7.34,175,150,0
2023-11-07 11:00:00,7.39,7.47,7.36,7.4,114,100,0
2023-11-07 12:00:00,7.4,7.485,7.38,7.43,97,100,0
2023-11-07 13:00:00,7.41,7.44,7.38,7.435,74,100,0
2023-11-07 14:00:00,7.42,7.46,7.395,7.425,125,100,0
2023-11-07 15:00:00,7.41,7.46,7.41,7.45,83,100,0
2023-11-07 16:00:00,7.45,7.46,7.425,7.445,91,100,0
2023-11-07 17:00:00,7.445,7.45,7.38,7.43,127,50,0
2023-11-07 18:00:00,7.43,7.445,7.375,7.385,69,100,0
2023-11-08 10:00:00,7.2,7.42,7.2,7.345,120,200,0
2023-11-08 11:00:00,7.345,7.375,7.255,7.35,77,250,0
2023-11-08 12:00:00,7.34,7.4,7.34,7.385,41,200,0
2023-11-08 13:00:00,7.395,7.405,7.37,7.405,34,100,0
2023-11-08 14:00:00,7.375,7.415,7.375,7.4,59,100,0
2023-11-08 15:00:00,7.425,7.44,7.395,7.425,52,150,0
2023-11-08 16:00:00,7.415,7.485,7.375,7.465,90,150,0
2023-11-08 17:00:00,7.465,7.485,7.38,7.445,106,50,0
2023-11-08 18:00:00,7.445,7.45,7.375,7.415,68,100,0
2023-11-09 10:00:00,7.38,7.42,7.345,7.375,168,250,0
2023-11-09 11:00:00,7.365,7.41,7.31,7.4,117,150,0
2023-11-09 12:00:00,7.4,7.44,7.385,7.415,78,250,0
2023-11-09 13:00:00,7.44,7.485,7.415,7.45,84,50,0
2023-11-09 14:00:00,7.465,7.505,7.42,7.43,105,200,0
2023-11-09 15:00:00,7.43,7.65,7.42,7.57,127,250,0
2023-11-09 16:00:00,7.545,7.595,7.535,7.59,68,250,0
2023-11-09 17:00:00,7.59,7.59,7.49,7.525,161,100,0
2023-11-09 18:00:00,7.555,7.564999999999999,7.525,7.56,53,150,0
2023-11-10 10:00:00,7.4,7.43,7.295,7.365,184,300,0
2023-11-10 11:00:00,7.36,7.41,7.34,7.41,106,150,0
2023-11-10 12:00:00,7.395,7.41,7.35,7.4,47,150,0
2023-11-10 13:00:00,7.405,7.405,7.345,7.36,29,150,0
2023-11-10 14:00:00,7.36,7.365,7.295,7.35,54,150,0
2023-11-10 15:00:00,7.32,7.4,7.29,7.33,64,150,0
2023-11-10 16:00:00,7.385,7.4,7.33,7.36,100,200,0
2023-11-10 17:00:00,7.365,7.39,7.315,7.35,141,150,0
2023-11-10 18:00:00,7.35,7.4,7.34,7.4,56,150,0
2023-11-13 10:00:00,7.28,7.47,7.28,7.39,108,200,0
2023-11-13 11:00:00,7.46,7.47,7.355,7.375,121,200,0
2023-11-13 12:00:00,7.38,7.425,7.345,7.4,76,250,0
2023-11-13 13:00:00,7.385,7.43,7.375,7.375,47,150,0
2023-11-13 14:00:00,7.4,7.42,7.375,7.415,59,150,0
2023-11-13 15:00:00,7.395,7.42,7.345,7.375,62,100,0
2023-11-13 16:00:00,7.365,7.4,7.34,7.38,74,100,0
2023-11-13 17:00:00,7.37,7.455,7.34,7.44,107,50,0
2023-11-13 18:00:00,7.425,7.435,7.385,7.41,64,100,0
2023-11-14 10:00:00,7.335,7.4,7.265,7.355,101,350,0
2023-11-14 11:00:00,7.4,7.48,7.35,7.445,90,100,0
2023-11-14 12:00:00,7.445,7.47,7.39,7.41,80,150,0
2023-11-14 13:00:00,7.41,7.44,7.39,7.395,62,150,0
2023-11-14 14:00:00,7.4,7.465,7.385,7.425,62,100,0
2023-11-14 15:00:00,7.445,7.705,7.405,7.705,211,150,0
2023-11-14 16:00:00,7.62,7.84,7.605,7.785,245,150,0
2023-11-14 17:00:00,7.785,7.87,7.77,7.87,225,50,0
2023-11-14 18:00:00,7.875,7.935,7.835,7.93,121,50,0
2023-11-15 10:00:00,7.83,8.11,7.75,8.09,229,250,0
2023-11-15 11:00:00,8.13,8.145,7.885,7.985,152,100,0
2023-11-15 12:00:00,7.985,7.985,7.855,7.895,106,150,0
2023-11-15 13:00:00,7.905,7.935,7.835,7.915,145,100,0
2023-11-15 14:00:00,7.91,7.925,7.835,7.845,97,100,0
2023-11-15 15:00:00,7.87,7.91,7.73,7.805,196,100,0
2023-11-15 16:00:00,7.805,7.835,7.73,7.83,169,100,0
2023-11-15 17:00:00,7.83,7.875,7.77,7.81,158,50,0
2023-11-15 18:00:00,7.845,7.855,7.715,7.755,91,100,0
2023-11-16 10:00:00,7.695,7.86,7.695,7.8,181,150,0
2023-11-16 11:00:00,7.81,7.855,7.695,7.715,149,300,0
2023-11-16 12:00:00,7.705,7.82,7.695,7.775,100,200,0
2023-11-16 13:00:00,7.79,7.835,7.765,7.805,104,100,0
2023-11-16 14:00:00,7.805,7.805,7.695,7.735,83,150,0
2023-11-16 15:00:00,7.735,7.795,7.72,7.74,78,100,0
2023-11-16 16:00:00,7.74,7.785,7.68,7.68,104,100,0
2023-11-16 17:00:00,7.68,7.75,7.625,7.685,179,100,0
2023-11-16 18:00:00,7.665,7.695,7.63,7.645,56,100,0
2023-11-17 10:00:00,7.75,7.83,7.695,7.81,105,250,0
2023-11-17 11:00:00,7.81,7.855,7.77,7.825,98,150,0
2023-11-17 12:00:00,7.855,7.88,7.814999999999999,7.86,93,100,0
2023-11-17 13:00:00,7.855,7.865,7.825,7.835,80,100,0
2023-11-17 14:00:00,7.835,7.855,7.835,7.845,63,150,0
2023-11-17 15:00:00,7.85,7.87,7.79,7.83,71,100,0
2023-11-17 16:00:00,7.835,7.875,7.785,7.814999999999999,136,100,0
2023-11-17 17:00:00,7.81,7.82,7.735,7.8,94,100,0
2023-11-17 18:00:00,7.795,7.805,7.755,7.785,39,100,0
2023-11-20 10:00:00,7.78,7.78,7.64,7.71,107,400,0
2023-11-20 11:00:00,7.72,7.81,7.64,7.745,108,200,0
2023-11-20 12:00:00,7.745,7.845,7.735,7.745,87,200,0
2023-11-20 13:00:00,7.775,7.775,7.74,7.745,50,150,0
2023-11-20 14:00:00,7.745,7.76,7.725,7.76,49,150,0
2023-11-20 15:00:00,7.75,7.76,7.74,7.755,41,150,0
2023-11-20 16:00:00,7.755,7.814999999999999,7.725,7.785,128,100,0
2023-11-20 17:00:00,7.76,7.814999999999999,7.745,7.745,101,100,0
2023-11-20 18:00:00,7.765,7.77,7.71,7.765,66,100,0
2023-11-21 10:00:00,7.75,7.825,7.72,7.76,180,300,0
2023-11-21 11:00:00,7.785,7.825,7.72,7.77,88,350,0
2023-11-21 12:00:00,7.73,7.775,7.7,7.72,134,250,0
2023-11-21 13:00:00,7.715,7.735,7.67,7.7,53,250,0
2023-11-21 14:00:00,7.7,7.71,7.65,7.7,75,200,0
2023-11-21 15:00:00,7.68,7.705,7.65,7.66,48,200,0
2023-11-21 16:00:00,7.65,7.67,7.63,7.64,71,100,0
2023-11-21 17:00:00,7.63,7.645,7.61,7.61,117,100,0
2023-11-21 18:00:00,7.61,7.62,7.54,7.564999999999999,76,100,0
2023-11-22 10:00:00,7.575,7.62,7.575,7.61,62,200,0
2023-11-22 11:00:00,7.62,7.675,7.59,7.66,120,100,0
2023-11-22 12:00:00,7.635,7.665,7.625,7.63,78,100,0
2023-11-22 13:00:00,7.625,7.715,7.625,7.715,69,100,0
2023-11-22 14:00:00,7.68,7.715,7.68,7.695,59,100,0
2023-11-22 15:00:00,7.695,7.72,7.65,7.685,100,150,0
2023-11-22 16:00:00,7.689999999999999,7.725,7.64,7.66,87,100,0
2023-11-22 17:00:00,7.66,7.715,7.62,7.7,162,50,0
2023-11-22 18:00:00,7.705,7.705,7.67,7.685,71,50,0
2023-11-23 10:00:00,7.61,7.68,7.575,7.65,187,450,0
2023-11-23 11:00:00,7.645,7.68,7.58,7.625,71,400,0
2023-11-23 12:00:00,7.625,7.68,7.564999999999999,7.66,115,300,0
2023-11-23 13:00:00,7.65,7.68,7.62,7.67,76,300,0
2023-11-23 14:00:00,7.665,7.705,7.62,7.665,59,150,0
2023-11-23 15:00:00,7.68,7.71,7.665,7.685,66,100,0
2023-11-23 16:00:00,7.705,7.735,7.64,7.675,69,150,0
2023-11-23 17:00:00,7.68,7.715,7.64,7.705,75,150,0
2023-11-23 18:00:00,7.685,7.705,7.66,7.689999999999999,38,50,0
2023-11-24 10:00:00,7.655,7.72,7.545,7.64,166,400,0
2023-11-24 11:00:00,7.655,7.715,7.62,7.635,165,350,0
2023-11-24 12:00:00,7.665,7.68,7.635,7.67,93,250,0
