time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,9.846,9.932,9.67,9.72,286,20,0
2023-11-03 12:00:00,9.72,9.784,9.67,9.72,249,20,0
2023-11-03 13:00:00,9.73,9.75,9.7,9.748,147,20,0
2023-11-03 14:00:00,9.75,9.75,9.704,9.72,135,20,0
2023-11-03 15:00:00,9.734,9.772,9.712,9.754,183,20,0
2023-11-03 16:00:00,9.754,9.8,9.742,9.8,257,20,0
2023-11-03 17:00:00,9.776,9.81,9.72,9.722,331,20,0
2023-11-03 18:00:00,9.736,9.76,9.694,9.73,267,20,0
2023-11-03 19:00:00,9.714,9.74,9.708,9.718,145,20,0
2023-11-06 10:00:00,9.62,9.684,9.588,9.604,245,20,0
2023-11-06 11:00:00,9.63,9.64,9.574,9.63,237,40,0
2023-11-06 12:00:00,9.63,9.65,9.582,9.614,243,40,0
2023-11-06 13:00:00,9.614,9.622,9.546,9.592,204,40,0
2023-11-06 14:00:00,9.57,9.626,9.558,9.626,138,20,0
2023-11-06 15:00:00,9.626,9.658,9.594,9.656,154,40,0
2023-11-06 16:00:00,9.654,9.658,9.588,9.598,274,20,0
2023-11-06 17:00:00,9.598,9.636,9.578,9.624,345,20,0
2023-11-06 18:00:00,9.61,9.628,9.606,9.61,99,20,0
2023-11-07 10:00:00,9.62,9.748,9.59,9.746,413,40,0
2023-11-07 11:00:00,9.736,9.746,9.672,9.694,257,40,0
2023-11-07 12:00:00,9.73,9.742,9.666,9.718,188,60,0
2023-11-07 13:00:00,9.694,9.73,9.674,9.718,226,20,0
2023-11-07 14:00:00,9.686,9.794,9.686,9.788,211,20,0
2023-11-07 15:00:00,9.788,9.82,9.754,9.804,234,20,0
2023-11-07 16:00:00,9.798,9.854,9.754,9.84,238,20,0
2023-11-07 17:00:00,9.84,9.848,9.768,9.818,264,20,0
2023-11-07 18:00:00,9.818,9.828,9.786,9.81,146,20,0
2023-11-08 10:00:00,9.79,9.844,9.788,9.838,267,40,0
2023-11-08 11:00:00,9.838,9.842,9.754,9.754,186,20,0
2023-11-08 12:00:00,9.754,9.834,9.754,9.8,245,20,0
2023-11-08 13:00:00,9.8,9.84,9.778,9.822,176,20,0
2023-11-08 14:00:00,9.822,9.86,9.822,9.856,152,20,0
2023-11-08 15:00:00,9.858,9.864,9.838,9.842,172,20,0
2023-11-08 16:00:00,9.842,9.89,9.842,9.882,195,20,0
2023-11-08 17:00:00,9.882,9.91,9.836,9.908,301,20,0
2023-11-08 18:00:00,9.908,9.93,9.866,9.928,152,20,0
2023-11-09 10:00:00,9.926,9.976,9.904,9.956,229,40,0
2023-11-09 11:00:00,9.956,9.986,9.92,9.95,177,40,0
2023-11-09 12:00:00,9.942,9.962,9.892,9.904,96,60,0
2023-11-09 13:00:00,9.904,9.944,9.858,9.896,147,40,0
2023-11-09 14:00:00,9.872,9.942,9.872,9.918,134,40,0
2023-11-09 15:00:00,9.918,9.964,9.896,9.946,100,40,0
2023-11-09 16:00:00,9.946,10.025,9.928,10.02,269,20,0
2023-11-09 17:00:00,10.02,10.03,9.962,10.0,221,20,0
2023-11-09 18:00:00,10.005,10.02,9.962,9.968,111,20,0
2023-11-10 10:00:00,9.944,9.982,9.904,9.952,292,40,0
2023-11-10 11:00:00,9.936,9.96,9.904,9.936,166,20,0
2023-11-10 12:00:00,9.938,9.94,9.868,9.87,166,20,0
2023-11-10 13:00:00,9.87,9.916,9.87,9.896,138,40,0
2023-11-10 14:00:00,9.896,9.934,9.89,9.92,133,20,0
2023-11-10 15:00:00,9.92,9.944,9.898,9.932,190,40,0
2023-11-10 16:00:00,9.932,9.96,9.91,9.916,217,20,0
2023-11-10 17:00:00,9.922,9.948,9.878,9.916,297,20,0
2023-11-10 18:00:00,9.914,9.942,9.88,9.936,106,20,0
2023-11-13 10:00:00,9.988,9.988,9.89,9.902,226,20,0
2023-11-13 11:00:00,9.912,9.93,9.884,9.926,133,20,0
2023-11-13 12:00:00,9.92,9.924,9.894,9.894,92,20,0
2023-11-13 13:00:00,9.91,9.916,9.888,9.904,113,20,0
2023-11-13 14:00:00,9.9,9.904,9.862,9.872,129,20,0
2023-11-13 15:00:00,9.872,9.878,9.796,9.846,207,20,0
2023-11-13 16:00:00,9.846,9.872,9.796,9.848,250,20,0
2023-11-13 17:00:00,9.848,9.916,9.842,9.898,231,20,0
2023-11-13 18:00:00,9.9,9.916,9.88,9.912,119,20,0
2023-11-14 10:00:00,9.834,9.878,9.818,9.854,217,20,0
2023-11-14 11:00:00,9.838,9.88,9.838,9.87,218,20,0
2023-11-14 12:00:00,9.87,9.904,9.866,9.896,161,20,0
2023-11-14 13:00:00,9.896,9.902,9.88,9.882,141,20,0
2023-11-14 14:00:00,9.882,9.9,9.874,9.88,145,20,0
2023-11-14 15:00:00,9.88,9.964,9.842,9.96,300,20,0
2023-11-14 16:00:00,9.958,9.964,9.882,9.896,287,20,0
2023-11-14 17:00:00,9.898,9.9,9.85,9.862,237,20,0
2023-11-14 18:00:00,9.862,9.882,9.852,9.87,123,20,0
2023-11-15 10:00:00,9.768,9.84,9.714,9.834,352,20,0
2023-11-15 11:00:00,9.818,9.874,9.818,9.836,222,20,0
2023-11-15 12:00:00,9.836,9.854,9.82,9.848,168,20,0
2023-11-15 13:00:00,9.85,9.852,9.82,9.834,150,20,0
2023-11-15 14:00:00,9.814,9.846,9.814,9.824,169,20,0
2023-11-15 15:00:00,9.824,9.878,9.824,9.858,186,20,0
2023-11-15 16:00:00,9.856,9.862,9.8,9.822,253,20,0
2023-11-15 17:00:00,9.822,9.838,9.786,9.824,282,20,0
2023-11-15 18:00:00,9.8,9.834,9.796,9.828,106,20,0
2023-11-16 10:00:00,9.814,9.942,9.814,9.888,268,40,0
