time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,3.812,3.906,3.812,3.898,213,40,0
2023-11-03 12:00:00,3.888,3.906,3.862,3.884,146,30,0
2023-11-03 13:00:00,3.884,3.894,3.862,3.868,142,20,0
2023-11-03 14:00:00,3.869,3.884,3.855,3.871,148,20,0
2023-11-03 15:00:00,3.867,3.909,3.859,3.901,253,20,0
2023-11-03 16:00:00,3.901,3.941,3.901,3.94,176,20,0
2023-11-03 17:00:00,3.938,3.942,3.919,3.92,267,10,0
2023-11-03 18:00:00,3.92,3.936,3.909,3.925,260,10,0
2023-11-03 19:00:00,3.925,3.929,3.922,3.924,118,10,0
2023-11-06 10:00:00,3.904,3.939,3.89,3.91,294,30,0
2023-11-06 11:00:00,3.912,3.923,3.875,3.891,150,20,0
2023-11-06 12:00:00,3.887,3.899,3.875,3.886,127,10,0
2023-11-06 13:00:00,3.881,3.895,3.87,3.874,111,20,0
2023-11-06 14:00:00,3.874,3.885,3.862,3.88,77,20,0
2023-11-06 15:00:00,3.866,3.898,3.862,3.894,134,20,0
2023-11-06 16:00:00,3.894,3.897,3.832,3.834,165,20,0
2023-11-06 17:00:00,3.855,3.858,3.811,3.84,258,20,0
2023-11-06 18:00:00,3.84,3.843,3.819,3.84,100,20,0
2023-11-07 10:00:00,3.842,3.858,3.828,3.842,248,30,0
2023-11-07 11:00:00,3.842,3.858,3.84,3.849,173,20,0
2023-11-07 12:00:00,3.848,3.875,3.842,3.856,147,20,0
2023-11-07 13:00:00,3.85,3.863,3.847,3.861,115,10,0
2023-11-07 14:00:00,3.849,3.864,3.849,3.861,125,10,0
2023-11-07 15:00:00,3.861,3.87,3.852,3.864,106,10,0
2023-11-07 16:00:00,3.864,3.871,3.858,3.866,167,10,0
2023-11-07 17:00:00,3.861,3.871,3.844,3.855,241,10,0
2023-11-07 18:00:00,3.86,3.863,3.843,3.855,92,10,0
2023-11-08 10:00:00,3.805,3.825,3.788,3.815,219,20,0
2023-11-08 11:00:00,3.815,3.819,3.786,3.805,207,20,0
2023-11-08 12:00:00,3.804,3.823,3.791,3.812,222,10,0
2023-11-08 13:00:00,3.823,3.825,3.806,3.815,160,10,0
2023-11-08 14:00:00,3.815,3.837,3.808,3.836,148,10,0
2023-11-08 15:00:00,3.833,3.848,3.828,3.839,156,10,0
2023-11-08 16:00:00,3.84,3.898,3.839,3.882,271,10,0
2023-11-08 17:00:00,3.885,3.898,3.868,3.868,245,10,0
2023-11-08 18:00:00,3.868,3.879,3.868,3.875,117,10,0
2023-11-09 10:00:00,3.868,3.883,3.852,3.865,379,20,0
2023-11-09 11:00:00,3.859,3.874,3.84,3.863,214,10,0
2023-11-09 12:00:00,3.865,3.898,3.849,3.884,188,10,0
2023-11-09 13:00:00,3.884,3.898,3.883,3.887,151,10,0
2023-11-09 14:00:00,3.886,3.91,3.885,3.909,142,10,0
2023-11-09 15:00:00,3.909,3.928,3.9,3.918,211,10,0
2023-11-09 16:00:00,3.917,3.944,3.907,3.937,265,10,0
2023-11-09 17:00:00,3.937,3.944,3.903,3.919,289,10,0
2023-11-09 18:00:00,3.919,3.935,3.915,3.922,126,20,0
2023-11-10 10:00:00,3.89,3.89,3.865,3.87,248,30,0
2023-11-10 11:00:00,3.87,3.884,3.854,3.867,151,30,0
2023-11-10 12:00:00,3.856,3.868,3.844,3.846,134,20,0
2023-11-10 13:00:00,3.851,3.852,3.82,3.829,194,20,0
2023-11-10 14:00:00,3.84,3.851,3.82,3.851,145,20,0
2023-11-10 15:00:00,3.845,3.876,3.845,3.871,152,30,0
2023-11-10 16:00:00,3.862,3.878,3.853,3.87,202,20,0
2023-11-10 17:00:00,3.859,3.873,3.849,3.862,252,20,0
2023-11-10 18:00:00,3.862,3.879,3.857,3.873,118,10,0
2023-11-13 10:00:00,3.897,3.9,3.87,3.888,259,20,0
2023-11-13 11:00:00,3.887,3.893,3.869,3.874,200,20,0
2023-11-13 12:00:00,3.871,3.886,3.868,3.879,132,20,0
2023-11-13 13:00:00,3.879,3.884,3.865,3.875,130,20,0
2023-11-13 14:00:00,3.872,3.883,3.863,3.865,142,10,0
2023-11-13 15:00:00,3.863,3.878,3.861,3.871,164,10,0
2023-11-13 16:00:00,3.871,3.883,3.863,3.874,198,10,0
2023-11-13 17:00:00,3.874,3.893,3.865,3.89,192,10,0
2023-11-13 18:00:00,3.89,3.898,3.885,3.892,124,10,0
2023-11-14 10:00:00,3.87,3.874,3.837,3.87,200,50,0
2023-11-14 11:00:00,3.87,3.882,3.857,3.873,196,20,0
2023-11-14 12:00:00,3.873,3.878,3.855,3.868,164,20,0
2023-11-14 13:00:00,3.859,3.872,3.852,3.867,172,10,0
2023-11-14 14:00:00,3.867,3.875,3.859,3.87,126,10,0
2023-11-14 15:00:00,3.875,3.974,3.866,3.929,212,10,0
2023-11-14 16:00:00,3.931,3.982,3.929,3.977,293,10,0
2023-11-14 17:00:00,3.972,3.994,3.971,3.99,270,10,0
2023-11-14 18:00:00,3.989,4.0,3.984,3.995,83,10,0
2023-11-15 10:00:00,4.009,4.121,4.009,4.113,435,40,0
2023-11-15 11:00:00,4.113,4.12,4.053,4.066,413,20,0
2023-11-15 12:00:00,4.08,4.08,4.053,4.062,259,20,0
2023-11-15 13:00:00,4.068,4.075,4.045,4.066,258,20,0
2023-11-15 14:00:00,4.065,4.084,4.056,4.082,290,20,0
2023-11-15 15:00:00,4.087,4.092,4.05,4.06,359,20,0
2023-11-15 16:00:00,4.061,4.071,4.039,4.067,335,20,0
2023-11-15 17:00:00,4.056,4.077,4.053,4.066,321,10,0
2023-11-15 18:00:00,4.066,4.07,4.048,4.052,116,10,0
2023-11-16 10:00:00,4.042,4.067,4.034,4.047,437,10,0
2023-11-16 11:00:00,4.039,4.059,4.0,4.009,309,20,0
2023-11-16 12:00:00,4.009,4.04,4.0,4.017,286,20,0
2023-11-16 13:00:00,4.028,4.029,4.012,4.014,134,20,0
2023-11-16 14:00:00,4.019,4.029,4.002,4.002,168,20,0
2023-11-16 15:00:00,4.008,4.029,4.002,4.023,166,10,0
2023-11-16 16:00:00,4.023,4.029,3.99,4.009,272,10,0
2023-11-16 17:00:00,4.009,4.024,3.991,3.997,298,10,0
2023-11-16 18:00:00,3.994,4.003,3.986,3.997,137,10,0
2023-11-17 10:00:00,3.996,4.056,3.995,4.05,203,20,0
2023-11-17 11:00:00,4.05,4.066,4.037,4.063,192,10,0
2023-11-17 12:00:00,4.043,4.079,3.956,4.067,246,20,0
2023-11-17 13:00:00,4.067,4.074,4.047,4.059,205,10,0
2023-11-17 14:00:00,4.057,4.065,4.039,4.047,158,10,0
2023-11-17 15:00:00,4.047,4.062,4.039,4.058,161,10,0
2023-11-17 16:00:00,4.058,4.079,4.036,4.055,232,10,0
2023-11-17 17:00:00,4.061,4.077,4.036,4.073,292,10,0
2023-11-17 18:00:00,4.07,4.075,4.065,4.07,114,10,0
2023-11-20 10:00:00,4.061,4.073,4.035,4.054,255,30,0
2023-11-20 11:00:00,4.05,4.059,4.038,4.045,117,30,0
2023-11-20 12:00:00,4.045,4.062,4.034,4.041,157,10,0
2023-11-20 13:00:00,4.041,4.046,4.025,4.039,116,10,0
2023-11-20 14:00:00,4.04,4.046,4.033,4.037,60,20,0
2023-11-20 15:00:00,4.043,4.051,4.037,4.051,70,20,0
