time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,6.646,6.72,6.558,6.698,171,140,0
2023-11-03 12:00:00,6.702,6.72,6.676,6.686,106,60,0
2023-11-03 13:00:00,6.702,6.704,6.658,6.668,104,80,0
2023-11-03 14:00:00,6.668,6.716,6.66,6.676,78,60,0
2023-11-03 15:00:00,6.692,6.76,6.596,6.714,199,60,0
2023-11-03 16:00:00,6.716,6.808,6.712,6.774,211,100,0
2023-11-03 17:00:00,6.75,6.818,6.742,6.816,331,60,0
2023-11-03 18:00:00,6.816,6.886,6.776,6.876,239,40,0
2023-11-03 19:00:00,6.852,6.886,6.834,6.852,115,40,0
2023-11-06 10:00:00,6.846,6.886,6.824,6.852,114,120,0
2023-11-06 11:00:00,6.854,6.882,6.836,6.852,175,100,0
2023-11-06 12:00:00,6.852,6.868,6.824,6.824,95,100,0
2023-11-06 13:00:00,6.848,6.848,6.812,6.834,125,80,0
2023-11-06 14:00:00,6.828,6.85,6.818,6.846,139,60,0
2023-11-06 15:00:00,6.844,6.87,6.818,6.842,141,60,0
2023-11-06 16:00:00,6.87,6.872,6.8,6.804,236,80,0
2023-11-06 17:00:00,6.802,6.816,6.742,6.742,314,60,0
2023-11-06 18:00:00,6.742,6.7620000000000005,6.718,6.738,128,60,0
2023-11-07 10:00:00,6.694,6.792,6.684,6.774,153,120,0
2023-11-07 11:00:00,6.7780000000000005,6.792,6.75,6.78,165,80,0
2023-11-07 12:00:00,6.786,6.834,6.76,6.834,247,60,0
2023-11-07 13:00:00,6.834,6.842,6.8100000000000005,6.8100000000000005,180,60,0
2023-11-07 14:00:00,6.8100000000000005,6.858,6.8100000000000005,6.818,109,80,0
2023-11-07 15:00:00,6.856,6.88,6.798,6.852,263,60,0
2023-11-07 16:00:00,6.854,6.89,6.846,6.876,269,40,0
2023-11-07 17:00:00,6.874,6.902,6.846,6.884,299,40,0
2023-11-07 18:00:00,6.868,6.886,6.842,6.86,160,60,0
2023-11-08 10:00:00,6.8100000000000005,6.878,6.8100000000000005,6.852,195,80,0
2023-11-08 11:00:00,6.866,6.876,6.836,6.852,106,140,0
2023-11-08 12:00:00,6.866,6.874,6.838,6.87,78,100,0
2023-11-08 13:00:00,6.87,6.892,6.836,6.89,113,60,0
2023-11-08 14:00:00,6.89,6.902,6.874,6.882,87,20,0
2023-11-08 15:00:00,6.882,6.922,6.882,6.922,121,40,0
2023-11-08 16:00:00,6.922,6.94,6.892,6.906,171,80,0
2023-11-08 17:00:00,6.906,6.932,6.858,6.862,266,60,0
2023-11-08 18:00:00,6.864,6.878,6.842,6.866,146,60,0
2023-11-09 10:00:00,6.836,6.836,6.784,6.82,165,120,0
2023-11-09 11:00:00,6.812,6.838,6.804,6.83,164,120,0
2023-11-09 12:00:00,6.832,6.904,6.814,6.886,146,100,0
2023-11-09 13:00:00,6.88,6.924,6.872,6.914,233,60,0
2023-11-09 14:00:00,6.916,6.942,6.882,6.89,147,40,0
2023-11-09 15:00:00,6.936,6.942,6.89,6.91,157,40,0
2023-11-09 16:00:00,6.908,6.956,6.9,6.926,167,80,0
2023-11-09 17:00:00,6.926,6.942,6.884,6.888,187,80,0
2023-11-09 18:00:00,6.888,6.942,6.888,6.908,98,60,0
2023-11-10 10:00:00,6.848,6.85,6.796,6.842,83,100,0
2023-11-10 11:00:00,6.834,6.846,6.7620000000000005,6.79,148,100,0
2023-11-10 12:00:00,6.804,6.82,6.79,6.806,171,80,0
2023-11-10 13:00:00,6.796,6.8100000000000005,6.79,6.7940000000000005,227,100,0
2023-11-10 14:00:00,6.7940000000000005,6.836,6.782,6.824,115,100,0
2023-11-10 15:00:00,6.824,6.852,6.824,6.852,103,80,0
2023-11-10 16:00:00,6.85,6.852,6.792,6.814,188,40,0
2023-11-10 17:00:00,6.814,6.848,6.774,6.788,323,100,0
