time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,16.86,16.975,16.825,16.94,553,50,0
2023-11-03 12:00:00,16.97,16.99,16.9,16.925,330,50,0
2023-11-03 13:00:00,16.925,16.965,16.88,16.945,364,50,0
2023-11-03 14:00:00,16.945,16.96,16.89,16.95,284,50,0
2023-11-03 15:00:00,16.95,17.055,16.88,17.015,369,50,0
2023-11-03 16:00:00,17.025,17.115,16.985,17.03,409,50,0
2023-11-03 17:00:00,17.05,17.1,16.965,16.99,547,50,0
2023-11-03 18:00:00,16.985,17.02,16.85,16.855,393,50,0
2023-11-03 19:00:00,16.855,16.905,16.835,16.865,179,50,0
2023-11-06 10:00:00,16.84,16.87,16.705,16.765,478,50,0
2023-11-06 11:00:00,16.77,16.77,16.705,16.72,382,50,0
2023-11-06 12:00:00,16.72,16.77,16.71,16.745,259,50,0
2023-11-06 13:00:00,16.745,16.8,16.735,16.79,275,50,0
2023-11-06 14:00:00,16.785,16.81,16.76,16.805,234,50,0
2023-11-06 15:00:00,16.8,16.845,16.785,16.825,281,50,0
2023-11-06 16:00:00,16.825,16.85,16.75,16.755,450,50,0
2023-11-06 17:00:00,16.76,16.79,16.685,16.755,459,50,0
2023-11-06 18:00:00,16.735,16.755,16.71,16.74,163,50,0
2023-11-07 10:00:00,16.68,16.74,16.62,16.735,619,50,0
2023-11-07 11:00:00,16.735,16.805,16.67,16.73,468,50,0
2023-11-07 12:00:00,16.735,16.79,16.685,16.7,431,50,0
2023-11-07 13:00:00,16.715,16.735,16.67,16.675,276,50,0
2023-11-07 14:00:00,16.675,16.695,16.65,16.65,276,50,0
2023-11-07 15:00:00,16.645,16.685,16.645,16.66,302,50,0
2023-11-07 16:00:00,16.66,16.67,16.54,16.54,342,50,0
2023-11-07 17:00:00,16.54,16.61,16.475,16.605,303,50,0
2023-11-07 18:00:00,16.61,16.61,16.55,16.575,164,50,0
2023-11-08 10:00:00,16.475,16.52,16.355,16.38,507,50,0
2023-11-08 11:00:00,16.38,16.415,16.26,16.29,455,50,0
2023-11-08 12:00:00,16.305,16.335,16.185,16.255,397,50,0
2023-11-08 13:00:00,16.255,16.29,16.165,16.2,325,50,0
2023-11-08 14:00:00,16.235,16.245,16.095,16.225,293,50,0
2023-11-08 15:00:00,16.225,16.31,16.195,16.3,317,50,0
2023-11-08 16:00:00,16.3,16.35,16.28,16.31,375,50,0
