time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,0.767,0.789,0.767,0.789,8,180,0
2023-11-03 12:00:00,0.788,0.789,0.788,0.789,5,180,0
2023-11-03 13:00:00,0.788,0.788,0.788,0.788,1,190,0
2023-11-03 14:00:00,0.788,0.788,0.787,0.788,4,190,0
2023-11-03 15:00:00,0.789,0.789,0.787,0.789,11,180,0
2023-11-03 16:00:00,0.789,0.793,0.789,0.793,2,150,0
2023-11-03 17:00:00,0.793,0.793,0.778,0.778,6,150,0
2023-11-03 18:00:00,0.778,0.803,0.778,0.801,27,50,0
2023-11-03 19:00:00,0.803,0.803,0.801,0.801,3,40,0
2023-11-06 10:00:00,0.777,0.777,0.777,0.777,2,310,0
2023-11-06 11:00:00,0.794,0.794,0.779,0.779,9,180,0
2023-11-06 12:00:00,0.793,0.799,0.785,0.797,15,40,0
2023-11-06 13:00:00,0.797,0.798,0.785,0.785,10,40,0
2023-11-06 14:00:00,0.784,0.799,0.784,0.784,17,30,0
2023-11-06 15:00:00,0.784,0.797,0.784,0.784,6,30,0
2023-11-06 16:00:00,0.797,0.797,0.797,0.797,11,30,0
2023-11-06 17:00:00,0.796,0.799,0.781,0.799,17,10,0
2023-11-06 18:00:00,0.784,0.799,0.784,0.785,18,10,0
2023-11-07 10:00:00,0.794,0.794,0.794,0.794,1,200,0
2023-11-07 11:00:00,0.794,0.794,0.794,0.794,2,200,0
2023-11-07 12:00:00,0.795,0.795,0.795,0.795,2,190,0
2023-11-07 13:00:00,0.795,0.795,0.776,0.786,28,40,0
2023-11-07 14:00:00,0.785,0.785,0.77,0.77,12,40,0
2023-11-07 15:00:00,0.783,0.783,0.768,0.768,14,40,0
2023-11-07 16:00:00,0.768,0.78,0.768,0.779,15,40,0
2023-11-07 17:00:00,0.769,0.777,0.763,0.777,12,40,0
2023-11-07 18:00:00,0.765,0.777,0.761,0.775,27,40,0
2023-11-08 10:00:00,0.768,0.768,0.757,0.759,11,150,0
2023-11-08 11:00:00,0.759,0.759,0.759,0.759,2,190,0
2023-11-08 12:00:00,0.759,0.759,0.759,0.759,8,170,0
2023-11-08 13:00:00,0.761,0.761,0.761,0.761,8,120,0
2023-11-08 14:00:00,0.754,0.768,0.754,0.768,21,50,0
2023-11-08 15:00:00,0.768,0.768,0.754,0.768,8,50,0
2023-11-08 16:00:00,0.768,0.77,0.768,0.77,21,20,0
2023-11-08 17:00:00,0.77,0.77,0.768,0.768,16,30,0
2023-11-08 18:00:00,0.77,0.783,0.757,0.767,22,40,0
2023-11-09 10:00:00,0.768,0.768,0.768,0.768,2,310,0
2023-11-09 11:00:00,0.782,0.782,0.782,0.782,2,190,0
2023-11-09 12:00:00,0.782,0.783,0.782,0.783,4,180,0
2023-11-09 13:00:00,0.783,0.784,0.783,0.784,7,60,0
2023-11-09 14:00:00,0.784,0.788,0.774,0.788,12,60,0
2023-11-09 15:00:00,0.788,0.79,0.774,0.775,18,150,0
2023-11-09 16:00:00,0.79,0.797,0.775,0.797,23,50,0
2023-11-09 17:00:00,0.797,0.801,0.783,0.785,34,10,0
2023-11-09 18:00:00,0.785,0.798,0.783,0.785,10,150,0
