time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,1.462,1.482,1.461,1.481,166,20,0
2023-11-03 12:00:00,1.481,1.482,1.471,1.477,79,20,0
2023-11-03 13:00:00,1.476,1.481,1.469,1.472,65,20,0
2023-11-03 14:00:00,1.475,1.478,1.471,1.476,49,20,0
2023-11-03 15:00:00,1.476,1.481,1.47,1.477,106,10,0
2023-11-03 16:00:00,1.477,1.481,1.473,1.477,96,10,0
2023-11-03 17:00:00,1.477,1.48,1.472,1.473,113,10,0
2023-11-03 18:00:00,1.473,1.475,1.466,1.469,73,10,0
2023-11-03 19:00:00,1.469,1.469,1.464,1.469,53,10,0
2023-11-06 10:00:00,1.467,1.467,1.453,1.459,101,20,0
2023-11-06 11:00:00,1.462,1.463,1.454,1.455,56,10,0
2023-11-06 12:00:00,1.457,1.458,1.45,1.454,61,10,0
2023-11-06 13:00:00,1.45,1.455,1.45,1.452,64,10,0
2023-11-06 14:00:00,1.452,1.454,1.446,1.45,56,10,0
2023-11-06 15:00:00,1.452,1.455,1.445,1.452,66,10,0
2023-11-06 16:00:00,1.452,1.453,1.443,1.446,96,10,0
2023-11-06 17:00:00,1.439,1.45,1.437,1.446,116,10,0
2023-11-06 18:00:00,1.444,1.449,1.441,1.447,52,10,0
2023-11-07 10:00:00,1.422,1.448,1.422,1.444,128,20,0
2023-11-07 11:00:00,1.445,1.453,1.44,1.447,89,10,0
2023-11-07 12:00:00,1.448,1.455,1.445,1.45,47,10,0
2023-11-07 13:00:00,1.451,1.454,1.443,1.447,76,20,0
2023-11-07 14:00:00,1.447,1.449,1.442,1.444,59,10,0
2023-11-07 15:00:00,1.448,1.453,1.446,1.449,50,20,0
2023-11-07 16:00:00,1.449,1.452,1.445,1.448,94,20,0
2023-11-07 17:00:00,1.448,1.45,1.438,1.442,92,10,0
2023-11-07 18:00:00,1.443,1.444,1.441,1.442,46,10,0
2023-11-08 10:00:00,1.445,1.457,1.432,1.457,105,30,0
2023-11-08 11:00:00,1.45,1.465,1.45,1.457,92,20,0
2023-11-08 12:00:00,1.457,1.465,1.449,1.455,86,20,0
2023-11-08 13:00:00,1.455,1.457,1.454,1.455,54,40,0
2023-11-08 14:00:00,1.456,1.462,1.454,1.462,67,20,0
2023-11-08 15:00:00,1.462,1.465,1.458,1.459,78,10,0
2023-11-08 16:00:00,1.458,1.483,1.458,1.483,171,20,0
2023-11-08 17:00:00,1.483,1.484,1.474,1.481,195,10,0
2023-11-08 18:00:00,1.481,1.482,1.474,1.477,55,10,0
2023-11-09 10:00:00,1.48,1.496,1.475,1.487,109,50,0
2023-11-09 11:00:00,1.49,1.495,1.48,1.495,46,20,0
2023-11-09 12:00:00,1.495,1.504,1.494,1.503,65,20,0
2023-11-09 13:00:00,1.495,1.504,1.488,1.493,109,30,0
2023-11-09 14:00:00,1.495,1.498,1.492,1.497,48,20,0
2023-11-09 15:00:00,1.497,1.508,1.497,1.508,53,30,0
2023-11-09 16:00:00,1.508,1.508,1.495,1.503,87,20,0
2023-11-09 17:00:00,1.505,1.511,1.5,1.503,138,20,0
2023-11-09 18:00:00,1.504,1.51,1.503,1.509,68,20,0
2023-11-10 10:00:00,1.496,1.501,1.486,1.493,140,20,0
2023-11-10 11:00:00,1.499,1.503,1.492,1.503,73,20,0
2023-11-10 12:00:00,1.5,1.503,1.492,1.496,54,20,0
2023-11-10 13:00:00,1.496,1.5,1.493,1.498,39,20,0
2023-11-10 14:00:00,1.496,1.501,1.493,1.5,55,20,0
2023-11-10 15:00:00,1.497,1.5,1.493,1.498,39,20,0
2023-11-10 16:00:00,1.5,1.501,1.493,1.498,76,20,0
2023-11-10 17:00:00,1.494,1.496,1.492,1.492,73,10,0
2023-11-10 18:00:00,1.492,1.496,1.492,1.496,46,10,0
