time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,26.64,26.87,26.64,26.82,295,100,0
2023-11-03 12:00:00,26.82,26.89,26.66,26.75,278,100,0
2023-11-03 13:00:00,26.77,26.88,26.66,26.86,176,100,0
2023-11-03 14:00:00,26.86,26.87,26.8,26.83,280,100,0
2023-11-03 15:00:00,26.84,27.13,26.8,27.07,271,100,0
2023-11-03 16:00:00,27.04,27.23,26.97,27.03,354,100,0
2023-11-03 17:00:00,27.05,27.2,26.89,27.06,440,100,0
2023-11-03 18:00:00,27.02,27.08,26.75,26.82,394,100,0
2023-11-03 19:00:00,26.82,26.91,26.78,26.83,156,100,0
2023-11-06 10:00:00,26.87,26.88,26.58,26.66,348,100,0
2023-11-06 11:00:00,26.66,26.69,26.55,26.59,263,100,0
2023-11-06 12:00:00,26.6,26.72,26.59,26.65,284,100,0
2023-11-06 13:00:00,26.65,26.72,26.61,26.68,240,100,0
2023-11-06 14:00:00,26.66,26.76,26.64,26.68,176,100,0
2023-11-06 15:00:00,26.67,26.8,26.66,26.74,228,100,0
2023-11-06 16:00:00,26.76,26.78,26.54,26.56,294,100,0
2023-11-06 17:00:00,26.56,26.66,26.48,26.59,364,100,0
2023-11-06 18:00:00,26.59,26.62,26.52,26.58,171,100,0
2023-11-07 10:00:00,26.59,26.67,26.49,26.66,345,200,0
2023-11-07 11:00:00,26.66,26.72,26.55,26.63,429,200,0
2023-11-07 12:00:00,26.64,26.74,26.62,26.69,349,100,0
2023-11-07 13:00:00,26.69,26.73,26.57,26.64,344,100,0
2023-11-07 14:00:00,26.64,26.75,26.63,26.69,283,100,0
2023-11-07 15:00:00,26.68,26.77,26.64,26.74,316,100,0
2023-11-07 16:00:00,26.74,26.76,26.52,26.55,408,100,0
2023-11-07 17:00:00,26.6,26.61,26.47,26.57,354,100,0
2023-11-07 18:00:00,26.56,26.58,26.49,26.52,146,100,0
2023-11-08 10:00:00,26.49,26.51,26.21,26.32,364,100,0
2023-11-08 11:00:00,26.31,26.35,26.09,26.19,383,100,0
2023-11-08 12:00:00,26.14,26.34,26.14,26.33,306,100,0
2023-11-08 13:00:00,26.32,26.34,26.2,26.29,237,100,0
2023-11-08 14:00:00,26.3,26.33,26.26,26.33,166,100,0
2023-11-08 15:00:00,26.33,26.47,26.27,26.45,261,100,0
2023-11-08 16:00:00,26.45,26.54,26.41,26.43,370,100,0
