time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,11.91,11.95,11.84,11.95,31,1100,0
2023-11-03 12:00:00,11.86,11.9,11.86,11.86,29,1500,0
2023-11-03 13:00:00,11.86,11.86,11.86,11.86,24,1600,0
2023-11-03 14:00:00,11.86,12.01,11.86,11.99,37,500,0
2023-11-03 15:00:00,11.99,12.07,11.98,12.04,55,400,0
2023-11-03 16:00:00,12.04,12.1,11.98,12.08,101,300,0
2023-11-03 17:00:00,12.08,12.11,12.0,12.0,46,300,0
2023-11-03 18:00:00,12.12,12.15,12.0,12.15,78,100,0
2023-11-03 19:00:00,12.05,12.15,12.03,12.06,33,100,0
2023-11-06 10:00:00,12.11,12.11,12.0,12.11,14,900,0
2023-11-06 11:00:00,12.11,12.11,12.11,12.11,1,1800,0
2023-11-06 13:00:00,12.12,12.13,12.12,12.13,17,500,0
2023-11-06 14:00:00,12.13,12.2,12.13,12.17,22,500,0
2023-11-06 15:00:00,12.2,12.25,12.16,12.25,42,200,0
2023-11-06 16:00:00,12.24,12.25,12.07,12.16,48,200,0
2023-11-06 17:00:00,12.16,12.16,12.01,12.04,64,400,0
2023-11-06 18:00:00,12.14,12.14,12.03,12.12,40,500,0
2023-11-07 10:00:00,12.08,12.09,12.05,12.09,26,1700,0
2023-11-07 11:00:00,12.06,12.08,12.05,12.05,17,1800,0
2023-11-07 12:00:00,12.08,12.1,12.05,12.08,51,200,0
2023-11-07 13:00:00,12.08,12.08,12.04,12.06,86,300,0
2023-11-07 14:00:00,12.07,12.07,12.05,12.06,83,400,0
2023-11-07 15:00:00,12.05,12.08,12.05,12.06,94,400,0
2023-11-07 16:00:00,12.07,12.09,12.0,12.05,102,200,0
2023-11-07 17:00:00,12.05,12.09,12.0,12.06,120,200,0
2023-11-07 18:00:00,12.05,12.07,12.03,12.07,57,400,0
2023-11-08 10:00:00,12.08,12.16,12.0,12.0,33,900,0
2023-11-08 11:00:00,12.0,12.08,12.0,12.08,6,1100,0
2023-11-08 12:00:00,12.08,12.08,12.03,12.03,24,1000,0
2023-11-08 13:00:00,12.03,12.12,12.03,12.11,36,700,0
2023-11-08 14:00:00,12.11,12.13,12.1,12.11,38,600,0
2023-11-08 15:00:00,12.11,12.13,12.11,12.12,68,400,0
2023-11-08 16:00:00,12.12,12.23,12.12,12.18,132,300,0
2023-11-08 17:00:00,12.2,12.23,12.14,12.15,77,400,0
2023-11-08 18:00:00,12.2,12.21,12.14,12.2,34,300,0
2023-11-09 10:00:00,12.08,12.08,12.08,12.08,12,1700,0
2023-11-09 11:00:00,12.08,12.08,12.08,12.08,3,1700,0
2023-11-09 12:00:00,12.14,12.26,12.14,12.26,98,100,0
2023-11-09 13:00:00,12.23,12.27,12.22,12.23,40,400,0
2023-11-09 14:00:00,12.24,12.27,12.16,12.27,59,500,0
2023-11-09 15:00:00,12.26,12.3,12.25,12.3,83,500,0
2023-11-09 16:00:00,12.3,12.31,12.19,12.25,78,500,0
2023-11-09 17:00:00,12.26,12.28,12.13,12.13,130,400,0
2023-11-09 18:00:00,12.25,12.26,12.13,12.25,20,700,0
2023-11-10 10:00:00,12.09,12.09,12.09,12.09,5,1800,0
2023-11-10 11:00:00,12.09,12.09,12.09,12.09,1,1700,0
2023-11-10 12:00:00,12.19,12.19,12.09,12.11,19,500,0
2023-11-10 13:00:00,12.11,12.12,12.11,12.11,84,500,0
2023-11-10 14:00:00,12.12,12.16,12.11,12.16,36,200,0
2023-11-10 15:00:00,12.15,12.19,12.13,12.18,38,300,0
2023-11-10 16:00:00,12.19,12.21,12.08,12.09,47,200,0
2023-11-10 17:00:00,12.0,12.22,12.0,12.22,70,200,0
2023-11-10 18:00:00,12.18,12.28,12.18,12.23,41,100,0
2023-11-13 11:00:00,12.18,12.18,12.18,12.18,8,1400,0
2023-11-13 12:00:00,12.25,12.31,12.21,12.21,7,700,0
2023-11-13 13:00:00,12.21,12.31,12.21,12.26,62,600,0
2023-11-13 14:00:00,12.27,12.28,12.25,12.27,39,900,0
2023-11-13 15:00:00,12.27,12.31,12.27,12.29,30,500,0
2023-11-13 16:00:00,12.3,12.31,12.27,12.3,86,400,0
2023-11-13 17:00:00,12.3,12.31,12.27,12.28,37,400,0
2023-11-13 18:00:00,12.31,12.34,12.2,12.29,43,300,0
2023-11-14 11:00:00,12.19,12.19,12.19,12.19,3,1900,0
2023-11-14 13:00:00,12.35,12.38,12.35,12.35,7,700,0
2023-11-14 14:00:00,12.35,12.4,12.34,12.36,54,300,0
2023-11-14 15:00:00,12.36,12.5,12.33,12.43,104,400,0
2023-11-14 16:00:00,12.44,12.54,12.43,12.46,84,200,0
2023-11-14 17:00:00,12.46,12.54,12.44,12.53,192,100,0
2023-11-14 18:00:00,12.53,12.57,12.5,12.54,41,400,0
2023-11-15 10:00:00,12.68,12.79,12.68,12.68,8,900,0
2023-11-15 11:00:00,12.68,12.82,12.68,12.79,33,600,0
2023-11-15 12:00:00,12.77,12.77,12.63,12.64,38,500,0
2023-11-15 13:00:00,12.64,12.78,12.64,12.76,49,300,0
2023-11-15 14:00:00,12.76,12.78,12.67,12.68,84,400,0
2023-11-15 15:00:00,12.78,12.79,12.67,12.7,99,300,0
2023-11-15 16:00:00,12.7,12.81,12.67,12.81,121,200,0
2023-11-15 17:00:00,12.82,12.83,12.8,12.81,117,500,0
2023-11-15 18:00:00,12.81,12.82,12.73,12.77,98,500,0
2023-11-16 10:00:00,12.7,12.7,12.7,12.7,6,1800,0
2023-11-16 11:00:00,12.7,12.7,12.7,12.7,8,1200,0
2023-11-16 12:00:00,12.7,12.75,12.7,12.75,48,700,0
2023-11-16 13:00:00,12.74,12.75,12.74,12.75,78,200,0
2023-11-16 14:00:00,12.75,12.75,12.69,12.7,60,200,0
2023-11-16 15:00:00,12.7,12.77,12.67,12.69,64,300,0
2023-11-16 16:00:00,12.69,12.74,12.64,12.69,45,400,0
2023-11-16 17:00:00,12.69,12.74,12.63,12.68,78,300,0
2023-11-16 18:00:00,12.63,12.73,12.62,12.64,35,300,0
2023-11-17 10:00:00,12.79,12.79,12.79,12.79,2,1700,0
2023-11-17 11:00:00,12.69,12.72,12.63,12.63,21,900,0
2023-11-17 12:00:00,12.72,12.81,12.71,12.8,42,100,0
2023-11-17 13:00:00,12.82,12.84,12.79,12.8,35,600,0
2023-11-17 14:00:00,12.8,12.8,12.79,12.8,20,500,0
2023-11-17 15:00:00,12.8,12.84,12.79,12.83,28,300,0
2023-11-17 16:00:00,12.83,12.84,12.73,12.73,65,400,0
2023-11-17 17:00:00,12.73,12.84,12.73,12.73,48,300,0
2023-11-17 18:00:00,12.73,12.86,12.68,12.84,28,200,0
2023-11-20 11:00:00,12.94,12.97,12.94,12.94,12,1100,0
2023-11-20 12:00:00,12.94,13.03,12.93,12.93,39,500,0
2023-11-20 13:00:00,12.93,12.97,12.93,12.97,35,300,0
2023-11-20 14:00:00,12.97,12.98,12.95,12.95,60,300,0
2023-11-20 15:00:00,12.97,13.02,12.95,12.98,86,400,0
2023-11-20 16:00:00,12.98,13.02,12.9,12.98,57,300,0
2023-11-20 17:00:00,13.0,13.07,12.9,13.02,103,300,0
2023-11-20 18:00:00,13.02,13.07,12.95,12.95,35,400,0
2023-11-21 12:00:00,12.99,12.99,12.99,12.99,1,500,0
2023-11-21 13:00:00,12.99,12.99,12.97,12.97,21,400,0
2023-11-21 14:00:00,12.97,12.98,12.96,12.96,43,400,0
2023-11-21 15:00:00,12.96,12.98,12.88,12.98,42,300,0
2023-11-21 16:00:00,12.97,12.98,12.88,12.95,128,200,0
2023-11-21 17:00:00,12.94,12.98,12.88,12.9,105,200,0
2023-11-21 18:00:00,12.92,12.92,12.88,12.91,57,300,0
2023-11-22 10:00:00,12.92,12.92,12.87,12.87,15,2000,0
2023-11-22 11:00:00,12.84,12.94,12.84,12.94,38,800,0
2023-11-22 12:00:00,12.94,12.99,12.94,12.99,64,300,0
2023-11-22 13:00:00,12.97,13.02,12.96,12.99,92,400,0
2023-11-22 14:00:00,12.99,13.01,12.85,12.96,127,300,0
2023-11-22 15:00:00,12.94,12.97,12.94,12.95,154,300,0
2023-11-22 16:00:00,12.96,12.99,12.81,12.87,50,300,0
2023-11-22 17:00:00,12.81,13.01,12.81,13.01,94,300,0
2023-11-22 18:00:00,12.91,13.0,12.9,12.98,37,400,0
2023-11-23 10:00:00,12.93,12.94,12.91,12.92,15,1600,0
2023-11-23 13:00:00,12.94,12.98,12.82,12.82,21,1000,0
2023-11-23 14:00:00,12.91,12.92,12.82,12.91,26,700,0
2023-11-23 15:00:00,12.91,12.91,12.82,12.82,26,700,0
2023-11-23 16:00:00,12.82,12.82,12.82,12.82,2,1600,0
2023-11-23 18:00:00,12.92,12.93,12.82,12.84,14,500,0
2023-11-24 12:00:00,12.81,12.84,12.81,12.84,29,800,0
2023-11-24 13:00:00,12.83,12.85,12.82,12.84,88,800,0
2023-11-24 14:00:00,12.84,12.85,12.83,12.85,22,800,0
2023-11-24 15:00:00,12.87,12.88,12.87,12.88,2,1700,0
2023-11-24 16:00:00,12.89,12.92,12.8,12.81,29,400,0
2023-11-24 17:00:00,12.8,12.92,12.8,12.83,106,400,0
2023-11-24 18:00:00,12.92,12.92,12.83,12.91,25,300,0
2023-11-27 11:00:00,12.86,12.87,12.86,12.87,39,1400,0
2023-11-27 12:00:00,12.9,12.94,12.9,12.92,44,700,0
2023-11-27 13:00:00,12.94,12.94,12.89,12.9,56,500,0
2023-11-27 14:00:00,12.89,12.91,12.88,12.88,86,500,0
2023-11-27 15:00:00,12.88,12.9,12.86,12.87,84,400,0
2023-11-27 16:00:00,12.86,12.91,12.79,12.81,83,200,0
2023-11-27 17:00:00,12.81,12.91,12.81,12.88,164,300,0
2023-11-27 18:00:00,12.88,12.91,12.81,12.86,35,500,0
2023-11-28 10:00:00,12.8,12.8,12.8,12.8,3,1400,0
2023-11-28 11:00:00,12.85,12.85,12.85,12.85,5,800,0
2023-11-28 12:00:00,12.85,12.85,12.85,12.85,2,1900,0
2023-11-28 13:00:00,12.87,12.87,12.77,12.87,14,500,0
2023-11-28 14:00:00,12.77,12.86,12.76,12.76,7,600,0
2023-11-28 15:00:00,12.86,12.86,12.76,12.76,10,600,0
2023-11-28 16:00:00,12.76,12.84,12.76,12.8,54,400,0
2023-11-28 17:00:00,12.8,12.85,12.75,12.85,114,500,0
2023-11-28 18:00:00,12.75,12.83,12.75,12.82,60,700,0
2023-11-29 10:00:00,12.7,12.77,12.66,12.77,17,1500,0
2023-11-29 11:00:00,12.77,12.87,12.64,12.85,80,200,0
2023-11-29 12:00:00,12.86,12.91,12.79,12.89,58,300,0
2023-11-29 13:00:00,12.89,12.91,12.88,12.89,53,300,0
2023-11-29 14:00:00,12.89,12.91,12.88,12.89,130,500,0
2023-11-29 15:00:00,12.88,12.9,12.87,12.87,100,500,0
2023-11-29 16:00:00,12.89,12.9,12.85,12.9,83,400,0
2023-11-29 17:00:00,12.89,12.9,12.85,12.86,216,500,0
2023-11-29 18:00:00,12.85,12.93,12.85,12.89,61,300,0
2023-11-30 12:00:00,12.9,12.9,12.9,12.9,1,1000,0
2023-11-30 13:00:00,12.93,12.98,12.91,12.97,24,600,0
2023-11-30 14:00:00,12.98,12.98,12.96,12.97,82,600,0
2023-11-30 15:00:00,12.97,13.0,12.97,12.98,90,500,0
