time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,27.44,27.62,27.32,27.54,228,200,0
2023-11-03 12:00:00,27.56,27.66,27.46,27.6,196,200,0
2023-11-03 13:00:00,27.64,27.64,27.54,27.58,244,200,0
2023-11-03 14:00:00,27.62,27.72,27.54,27.68,156,200,0
2023-11-03 15:00:00,27.68,27.78,27.58,27.72,209,200,0
2023-11-03 16:00:00,27.7,27.96,27.64,27.9,324,200,0
2023-11-03 17:00:00,27.94,28.0,27.78,27.86,327,200,0
2023-11-03 18:00:00,27.86,27.9,27.74,27.82,260,200,0
2023-11-03 19:00:00,27.84,27.86,27.76,27.82,71,200,0
2023-11-06 10:00:00,28.02,28.04,27.66,28.02,277,200,0
2023-11-06 11:00:00,28.0,28.08,27.84,27.92,202,200,0
2023-11-06 12:00:00,27.88,28.04,27.84,27.9,171,200,0
2023-11-06 13:00:00,27.9,27.96,27.82,27.84,140,200,0
2023-11-06 14:00:00,27.84,27.94,27.84,27.92,74,200,0
2023-11-06 15:00:00,27.92,27.98,27.84,27.96,175,200,0
2023-11-06 16:00:00,27.96,28.0,27.72,27.74,246,200,0
2023-11-06 17:00:00,27.78,27.82,27.72,27.76,261,200,0
2023-11-06 18:00:00,27.76,27.76,27.58,27.58,67,200,0
2023-11-07 10:00:00,28.18,28.22,27.9,28.02,328,200,0
2023-11-07 11:00:00,27.9,28.24,27.9,28.18,258,200,0
2023-11-07 12:00:00,28.18,28.38,28.16,28.32,203,200,0
2023-11-07 13:00:00,28.2,28.32,28.02,28.12,139,200,0
2023-11-07 14:00:00,28.1,28.16,28.0,28.06,203,200,0
2023-11-07 15:00:00,28.06,28.1,28.0,28.04,123,200,0
2023-11-07 16:00:00,28.04,28.14,27.82,28.02,256,200,0
2023-11-07 17:00:00,28.0,28.06,27.88,28.0,223,200,0
2023-11-07 18:00:00,27.92,28.02,27.92,27.98,68,200,0
2023-11-08 10:00:00,27.84,27.84,27.48,27.78,249,200,0
2023-11-08 11:00:00,27.76,27.86,27.7,27.74,210,200,0
2023-11-08 12:00:00,27.86,27.86,27.72,27.86,187,200,0
2023-11-08 13:00:00,27.8,27.86,27.74,27.78,163,200,0
2023-11-08 14:00:00,27.78,27.92,27.74,27.9,120,200,0
