time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,13.06,13.24,12.97,13.23,127,300,0
2023-11-03 12:00:00,13.23,13.24,13.1,13.14,46,300,0
2023-11-03 13:00:00,13.06,13.14,13.06,13.06,41,200,0
2023-11-03 14:00:00,13.06,13.07,13.0,13.04,36,300,0
2023-11-03 15:00:00,13.04,13.19,13.04,13.1,79,300,0
2023-11-03 16:00:00,13.1,13.21,13.09,13.17,122,200,0
2023-11-03 17:00:00,13.2,13.21,13.07,13.11,103,100,0
2023-11-03 18:00:00,13.11,13.17,13.04,13.06,112,200,0
2023-11-03 19:00:00,13.1,13.1,13.02,13.06,35,100,0
2023-11-06 10:00:00,13.05,13.13,13.01,13.05,71,300,0
2023-11-06 11:00:00,13.08,13.11,12.94,12.96,96,400,0
2023-11-06 12:00:00,13.02,13.04,12.96,13.01,62,200,0
2023-11-06 13:00:00,13.01,13.03,12.91,12.97,82,200,0
2023-11-06 14:00:00,12.97,13.01,12.95,12.98,93,200,0
2023-11-06 15:00:00,12.98,13.01,12.94,12.96,71,200,0
2023-11-06 16:00:00,12.96,13.0,12.87,12.93,122,200,0
2023-11-06 17:00:00,12.93,12.93,12.81,12.86,117,200,0
2023-11-06 18:00:00,12.88,12.93,12.85,12.86,64,100,0
2023-11-07 10:00:00,12.72,12.93,12.72,12.83,106,600,0
2023-11-07 11:00:00,12.8,12.85,12.73,12.79,92,400,0
2023-11-07 12:00:00,12.79,12.91,12.76,12.83,81,300,0
2023-11-07 13:00:00,12.83,12.89,12.81,12.85,102,500,0
2023-11-07 14:00:00,12.85,12.95,12.85,12.93,58,600,0
2023-11-07 15:00:00,12.94,12.97,12.84,12.84,98,300,0
2023-11-07 16:00:00,12.92,12.97,12.84,12.92,103,200,0
2023-11-07 17:00:00,12.93,13.03,12.88,13.0,171,200,0
2023-11-07 18:00:00,13.0,13.02,12.94,13.0,49,200,0
2023-11-08 10:00:00,12.84,13.0,12.82,12.91,108,600,0
2023-11-08 11:00:00,12.95,13.0,12.86,12.94,81,400,0
2023-11-08 12:00:00,12.9,13.01,12.86,12.94,76,400,0
2023-11-08 13:00:00,12.99,13.01,12.91,12.98,63,300,0
2023-11-08 14:00:00,12.98,13.03,12.93,13.03,65,400,0
2023-11-08 15:00:00,12.97,13.1,12.96,13.07,73,400,0
2023-11-08 16:00:00,13.07,13.18,13.07,13.18,71,300,0
2023-11-08 17:00:00,13.17,13.2,13.05,13.15,99,100,0
2023-11-08 18:00:00,13.16,13.24,13.13,13.23,38,200,0
2023-11-09 10:00:00,12.95,12.98,12.86,12.94,37,400,0
2023-11-09 11:00:00,12.94,12.98,12.74,12.81,113,200,0
2023-11-09 12:00:00,12.78,12.8,12.67,12.75,62,200,0
2023-11-09 13:00:00,12.79,12.89,12.67,12.88,95,200,0
2023-11-09 14:00:00,12.88,12.91,12.73,12.84,94,200,0
2023-11-09 15:00:00,12.86,12.88,12.78,12.82,80,100,0
2023-11-09 16:00:00,12.81,12.97,12.81,12.97,110,100,0
2023-11-09 17:00:00,12.95,12.97,12.87,12.97,121,100,0
2023-11-09 18:00:00,12.94,13.02,12.94,13.01,43,100,0
2023-11-10 10:00:00,12.89,12.93,12.71,12.73,134,400,0
2023-11-10 11:00:00,12.73,12.84,12.73,12.81,96,400,0
2023-11-10 12:00:00,12.78,12.85,12.73,12.8,67,200,0
2023-11-10 13:00:00,12.77,12.81,12.68,12.73,73,200,0
2023-11-10 14:00:00,12.7,12.74,12.63,12.65,88,300,0
