time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,6.554,6.704,6.554,6.678,349,40,0
2023-11-03 12:00:00,6.68,6.704,6.596,6.628,290,20,0
2023-11-03 13:00:00,6.628,6.658,6.58,6.612,189,20,0
2023-11-03 14:00:00,6.618,6.622,6.574,6.594,186,20,0
2023-11-03 15:00:00,6.588,6.698,6.568,6.698,222,20,0
2023-11-03 16:00:00,6.696,6.758,6.638,6.746,268,20,0
2023-11-03 17:00:00,6.746,6.758,6.696,6.714,285,20,0
2023-11-03 18:00:00,6.716,6.724,6.678,6.678,217,20,0
2023-11-03 19:00:00,6.708,6.708,6.644,6.672,116,20,0
2023-11-06 10:00:00,6.706,6.726,6.6,6.65,314,40,0
2023-11-06 11:00:00,6.652,6.682,6.6,6.622,145,20,0
2023-11-06 12:00:00,6.63,6.636,6.584,6.618,85,20,0
2023-11-06 13:00:00,6.62,6.64,6.584,6.638,129,40,0
2023-11-06 14:00:00,6.632,6.654,6.604,6.652,91,40,0
2023-11-06 15:00:00,6.644,6.668,6.638,6.66,145,20,0
2023-11-06 16:00:00,6.66,6.67,6.58,6.62,177,40,0
2023-11-06 17:00:00,6.594,6.622,6.526,6.564,225,20,0
2023-11-06 18:00:00,6.564,6.572,6.554,6.558,85,20,0
2023-11-07 10:00:00,6.562,6.594,6.52,6.574,262,60,0
2023-11-07 11:00:00,6.566,6.582,6.5600000000000005,6.574,171,60,0
2023-11-07 12:00:00,6.572,6.624,6.568,6.586,187,20,0
2023-11-07 13:00:00,6.598,6.598,6.55,6.562,187,40,0
2023-11-07 14:00:00,6.568,6.59,6.5600000000000005,6.58,148,40,0
2023-11-07 15:00:00,6.574,6.594,6.574,6.582,117,40,0
2023-11-07 16:00:00,6.584,6.594,6.5600000000000005,6.58,193,40,0
2023-11-07 17:00:00,6.58,6.608,6.552,6.608,257,20,0
2023-11-07 18:00:00,6.608,6.61,6.564,6.58,142,20,0
2023-11-08 10:00:00,6.484,6.518,6.458,6.514,224,40,0
2023-11-08 11:00:00,6.494,6.508,6.454,6.494,154,40,0
2023-11-08 12:00:00,6.48,6.504,6.442,6.498,136,40,0
2023-11-08 13:00:00,6.498,6.524,6.48,6.502,125,40,0
2023-11-08 14:00:00,6.502,6.516,6.486,6.49,170,40,0
2023-11-08 15:00:00,6.486,6.554,6.486,6.534,134,40,0
2023-11-08 16:00:00,6.54,6.604,6.524,6.588,184,20,0
2023-11-08 17:00:00,6.558,6.6,6.55,6.552,188,20,0
2023-11-08 18:00:00,6.556,6.5600000000000005,6.53,6.538,85,20,0
2023-11-09 10:00:00,6.552,6.5600000000000005,6.47,6.488,246,40,0
2023-11-09 11:00:00,6.5,6.52,6.468,6.516,148,40,0
2023-11-09 12:00:00,6.518,6.602,6.486,6.584,166,40,0
2023-11-09 13:00:00,6.578,6.604,6.578,6.594,111,40,0
2023-11-09 14:00:00,6.598,6.6,6.568,6.57,178,20,0
2023-11-09 15:00:00,6.584,6.6,6.552,6.586,233,20,0
2023-11-09 16:00:00,6.586,6.61,6.552,6.598,311,40,0
2023-11-09 17:00:00,6.598,6.602,6.534,6.564,260,20,0
