time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,1.33,1.33,1.326,1.326,4,200,0
2023-11-03 12:00:00,1.326,1.34,1.326,1.34,8,100,0
2023-11-03 14:00:00,1.332,1.332,1.332,1.332,1,180,0
2023-11-03 15:00:00,1.336,1.336,1.33,1.332,17,140,0
2023-11-03 16:00:00,1.336,1.336,1.332,1.336,9,140,0
2023-11-03 17:00:00,1.334,1.336,1.334,1.336,4,140,0
2023-11-03 18:00:00,1.336,1.336,1.332,1.332,4,140,0
2023-11-03 19:00:00,1.332,1.336,1.332,1.332,20,140,0
2023-11-06 11:00:00,1.332,1.332,1.332,1.332,2,180,0
2023-11-06 12:00:00,1.332,1.332,1.332,1.332,1,180,0
2023-11-06 13:00:00,1.332,1.332,1.332,1.332,6,160,0
2023-11-06 14:00:00,1.332,1.334,1.332,1.332,13,140,0
2023-11-06 15:00:00,1.332,1.342,1.332,1.34,9,60,0
2023-11-06 16:00:00,1.34,1.342,1.34,1.342,5,60,0
2023-11-06 17:00:00,1.344,1.344,1.336,1.336,7,40,0
2023-11-06 18:00:00,1.336,1.336,1.336,1.336,7,120,0
2023-11-07 10:00:00,1.336,1.336,1.336,1.336,5,120,0
2023-11-07 11:00:00,1.336,1.336,1.336,1.336,1,120,0
2023-11-07 12:00:00,1.336,1.336,1.336,1.336,2,180,0
2023-11-07 13:00:00,1.336,1.336,1.336,1.336,2,180,0
2023-11-07 14:00:00,1.336,1.336,1.336,1.336,2,180,0
2023-11-07 15:00:00,1.334,1.334,1.332,1.334,15,100,0
2023-11-07 16:00:00,1.334,1.334,1.332,1.332,11,120,0
2023-11-07 17:00:00,1.332,1.332,1.332,1.332,2,160,0
2023-11-07 18:00:00,1.332,1.332,1.332,1.332,1,160,0
2023-11-08 12:00:00,1.332,1.332,1.332,1.332,4,80,0
2023-11-08 13:00:00,1.332,1.332,1.332,1.332,3,80,0
2023-11-08 14:00:00,1.332,1.332,1.332,1.332,21,40,0
2023-11-08 15:00:00,1.332,1.332,1.332,1.332,5,40,0
2023-11-08 16:00:00,1.312,1.316,1.312,1.312,8,120,0
2023-11-08 17:00:00,1.312,1.32,1.312,1.316,24,80,0
2023-11-08 18:00:00,1.312,1.316,1.3,1.3,9,140,0
2023-11-09 14:00:00,1.3,1.3,1.3,1.3,3,320,0
2023-11-09 15:00:00,1.3,1.3,1.3,1.3,10,320,0
2023-11-09 16:00:00,1.3,1.3,1.3,1.3,8,320,0
2023-11-09 17:00:00,1.3,1.3,1.3,1.3,5,40,0
2023-11-09 18:00:00,1.3,1.3,1.28,1.28,8,40,0
2023-11-10 10:00:00,1.28,1.28,1.28,1.28,4,240,0
2023-11-10 11:00:00,1.28,1.28,1.28,1.28,5,100,0
2023-11-10 12:00:00,1.28,1.28,1.28,1.28,2,100,0
2023-11-10 13:00:00,1.284,1.284,1.28,1.284,4,60,0
2023-11-10 14:00:00,1.288,1.288,1.288,1.288,5,20,0
2023-11-13 13:00:00,1.276,1.276,1.276,1.276,9,80,0
2023-11-13 14:00:00,1.276,1.276,1.276,1.276,5,40,0
2023-11-13 16:00:00,1.276,1.276,1.276,1.276,6,40,0
2023-11-13 17:00:00,1.276,1.276,1.276,1.276,10,80,0
2023-11-13 18:00:00,1.276,1.276,1.258,1.274,5,80,0
2023-11-14 10:00:00,1.26,1.26,1.26,1.26,5,240,0
2023-11-14 11:00:00,1.26,1.26,1.26,1.26,7,240,0
2023-11-14 12:00:00,1.27,1.27,1.27,1.27,2,140,0
2023-11-14 13:00:00,1.27,1.27,1.26,1.26,4,140,0
2023-11-14 14:00:00,1.262,1.27,1.26,1.262,13,40,0
2023-11-14 15:00:00,1.262,1.272,1.262,1.272,9,40,0
2023-11-14 16:00:00,1.272,1.272,1.272,1.272,3,40,0
2023-11-14 17:00:00,1.272,1.272,1.264,1.272,8,40,0
2023-11-14 18:00:00,1.272,1.276,1.272,1.274,10,20,0
2023-11-15 10:00:00,1.268,1.268,1.268,1.268,1,240,0
2023-11-15 11:00:00,1.268,1.27,1.268,1.27,5,220,0
2023-11-15 12:00:00,1.29,1.304,1.27,1.304,18,0,0
2023-11-15 13:00:00,1.292,1.322,1.292,1.322,21,0,0
2023-11-15 14:00:00,1.322,1.322,1.322,1.322,5,0,0
2023-11-15 16:00:00,1.356,1.356,1.332,1.348,14,80,0
2023-11-15 17:00:00,1.334,1.348,1.334,1.346,16,160,0
2023-11-15 18:00:00,1.346,1.346,1.336,1.336,5,180,0
2023-11-16 10:00:00,1.31,1.31,1.31,1.31,4,540,0
2023-11-16 11:00:00,1.31,1.312,1.31,1.312,6,520,0
2023-11-16 12:00:00,1.312,1.312,1.312,1.312,1,520,0
2023-11-16 13:00:00,1.312,1.312,1.312,1.312,4,520,0
2023-11-16 14:00:00,1.312,1.312,1.312,1.312,10,520,0
2023-11-16 15:00:00,1.312,1.312,1.294,1.294,6,360,0
2023-11-16 16:00:00,1.294,1.294,1.294,1.294,2,360,0
2023-11-16 18:00:00,1.282,1.282,1.282,1.282,2,480,0
2023-11-17 12:00:00,1.27,1.27,1.27,1.27,1,600,0
2023-11-17 13:00:00,1.27,1.282,1.27,1.282,8,80,0
2023-11-17 14:00:00,1.282,1.282,1.282,1.282,3,140,0
2023-11-17 15:00:00,1.282,1.282,1.282,1.282,7,80,0
2023-11-17 16:00:00,1.282,1.282,1.28,1.28,3,80,0
2023-11-17 17:00:00,1.282,1.282,1.272,1.272,9,80,0
2023-11-17 18:00:00,1.272,1.272,1.268,1.268,5,60,0
2023-11-20 17:00:00,1.264,1.264,1.264,1.264,4,0,0
2023-11-20 18:00:00,1.264,1.264,1.264,1.264,2,0,0
2023-11-21 18:00:00,1.172,1.176,1.172,1.174,3,200,0
2023-11-22 11:00:00,1.168,1.168,1.168,1.168,2,240,0
2023-11-22 12:00:00,1.168,1.168,1.168,1.168,11,220,0
2023-11-22 13:00:00,1.168,1.168,1.168,1.168,6,220,0
2023-11-22 14:00:00,1.168,1.168,1.168,1.168,11,220,0
2023-11-22 16:00:00,1.18,1.186,1.18,1.186,10,40,0
2023-11-22 17:00:00,1.184,1.186,1.184,1.186,7,0,0
2023-11-22 18:00:00,1.18,1.18,1.166,1.166,2,60,0
2023-11-23 10:00:00,1.18,1.18,1.18,1.18,6,60,0
2023-11-23 11:00:00,1.18,1.18,1.18,1.18,12,0,0
2023-11-23 12:00:00,1.18,1.18,1.176,1.18,7,0,0
2023-11-23 13:00:00,1.18,1.18,1.18,1.18,1,0,0
2023-11-23 14:00:00,1.158,1.158,1.158,1.158,3,180,0
2023-11-23 16:00:00,1.158,1.158,1.158,1.158,8,120,0
2023-11-23 17:00:00,1.158,1.16,1.158,1.158,32,120,0
2023-11-23 18:00:00,1.158,1.162,1.158,1.16,14,100,0
2023-11-24 12:00:00,1.16,1.176,1.16,1.176,4,120,0
2023-11-24 13:00:00,1.176,1.176,1.176,1.176,5,80,0
2023-11-24 14:00:00,1.18,1.18,1.176,1.18,10,40,0
2023-11-24 15:00:00,1.178,1.18,1.176,1.18,6,40,0
2023-11-24 16:00:00,1.18,1.18,1.18,1.18,1,40,0
2023-11-24 17:00:00,1.184,1.184,1.182,1.182,4,0,0
2023-11-27 10:00:00,1.18,1.18,1.18,1.18,3,180,0
2023-11-27 11:00:00,1.184,1.19,1.182,1.19,7,80,0
2023-11-27 14:00:00,1.196,1.196,1.196,1.196,2,20,0
2023-11-27 15:00:00,1.196,1.198,1.19,1.198,6,0,0
2023-11-27 16:00:00,1.196,1.198,1.19,1.19,5,0,0
2023-11-29 10:00:00,1.24,1.24,1.224,1.238,9,60,0
2023-11-29 11:00:00,1.238,1.238,1.226,1.232,15,80,0
2023-11-29 12:00:00,1.232,1.24,1.23,1.24,17,60,0
2023-11-29 13:00:00,1.24,1.24,1.23,1.236,16,60,0
2023-11-29 14:00:00,1.236,1.24,1.23,1.23,49,40,0
2023-11-29 15:00:00,1.236,1.236,1.23,1.23,17,100,0
2023-11-29 16:00:00,1.23,1.23,1.23,1.23,2,160,0
2023-11-29 17:00:00,1.23,1.23,1.23,1.23,5,160,0
2023-11-30 11:00:00,1.254,1.266,1.254,1.254,16,100,0
2023-11-30 12:00:00,1.254,1.266,1.254,1.266,2,100,0
2023-11-30 13:00:00,1.266,1.272,1.266,1.272,6,80,0
2023-11-30 14:00:00,1.272,1.272,1.272,1.272,4,80,0
2023-11-30 15:00:00,1.272,1.272,1.254,1.254,14,80,0
2023-11-30 16:00:00,1.256,1.256,1.252,1.252,38,180,0
2023-11-30 17:00:00,1.252,1.254,1.252,1.252,16,160,0
2023-11-30 18:00:00,1.252,1.258,1.242,1.258,11,100,0
2023-12-01 11:00:00,1.254,1.254,1.254,1.254,3,220,0
2023-12-01 15:00:00,1.254,1.254,1.254,1.254,2,220,0
2023-12-01 16:00:00,1.254,1.254,1.254,1.254,3,220,0
2023-12-01 17:00:00,1.26,1.262,1.26,1.262,5,140,0
2023-12-01 18:00:00,1.26,1.26,1.26,1.26,1,160,0
2023-12-04 13:00:00,1.266,1.276,1.266,1.276,7,180,0
2023-12-04 14:00:00,1.276,1.276,1.276,1.276,3,180,0
2023-12-04 16:00:00,1.274,1.274,1.27,1.27,5,200,0
2023-12-04 17:00:00,1.27,1.27,1.27,1.27,1,240,0
2023-12-04 18:00:00,1.262,1.266,1.248,1.266,7,0,0
2023-12-05 11:00:00,1.266,1.266,1.266,1.266,1,140,0
2023-12-05 15:00:00,1.27,1.27,1.27,1.27,1,100,0
2023-12-05 16:00:00,1.266,1.266,1.266,1.266,1,140,0
2023-12-05 17:00:00,1.266,1.266,1.26,1.266,4,120,0
2023-12-05 18:00:00,1.266,1.266,1.266,1.266,2,120,0
2023-12-06 14:00:00,1.26,1.26,1.26,1.26,1,120,0
2023-12-06 17:00:00,1.26,1.26,1.26,1.26,2,60,0
2023-12-07 17:00:00,1.242,1.25,1.242,1.25,7,100,0
2023-12-07 18:00:00,1.248,1.248,1.226,1.23,7,100,0
2023-12-08 10:00:00,1.23,1.23,1.23,1.23,1,320,0
2023-12-08 11:00:00,1.23,1.23,1.23,1.23,1,320,0
2023-12-08 14:00:00,1.23,1.23,1.23,1.23,1,320,0
2023-12-08 15:00:00,1.23,1.23,1.222,1.222,5,160,0
2023-12-08 16:00:00,1.222,1.222,1.222,1.222,3,140,0
2023-12-08 17:00:00,1.222,1.222,1.222,1.222,6,80,0
2023-12-08 18:00:00,1.222,1.222,1.128,1.192,19,0,0
2023-12-11 16:00:00,1.162,1.162,1.162,1.162,1,260,0
2023-12-11 17:00:00,1.162,1.162,1.162,1.162,4,180,0
2023-12-11 18:00:00,1.162,1.172,1.156,1.156,3,220,0
2023-12-12 10:00:00,1.17,1.17,1.17,1.17,3,240,0
2023-12-12 11:00:00,1.17,1.17,1.17,1.17,1,300,0
2023-12-12 15:00:00,1.18,1.18,1.17,1.172,3,200,0
2023-12-12 16:00:00,1.17,1.172,1.17,1.172,2,240,0
2023-12-12 17:00:00,1.17,1.176,1.17,1.176,3,200,0
2023-12-13 12:00:00,1.174,1.174,1.174,1.174,3,160,0
2023-12-13 13:00:00,1.174,1.174,1.174,1.174,2,140,0
2023-12-13 14:00:00,1.174,1.174,1.174,1.174,5,140,0
2023-12-13 15:00:00,1.174,1.174,1.174,1.174,6,120,0
