time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,1.93,2.06,1.93,2.04,65,100,0
2023-11-03 12:00:00,2.06,2.07,2.0,2.01,56,100,0
2023-11-03 13:00:00,2.02,2.02,1.97,1.99,59,100,0
2023-11-03 14:00:00,1.98,2.0,1.975,2.0,33,100,0
2023-11-03 15:00:00,2.0,2.05,1.985,2.04,30,200,0
2023-11-03 16:00:00,2.04,2.09,2.02,2.07,91,100,0
2023-11-03 17:00:00,2.08,2.09,2.03,2.08,43,100,0
2023-11-03 18:00:00,2.06,2.08,2.06,2.08,18,200,0
2023-11-03 19:00:00,2.08,2.08,2.07,2.07,6,200,0
2023-11-06 10:00:00,2.08,2.14,2.06,2.14,53,200,0
2023-11-06 11:00:00,2.14,2.14,2.1,2.1,56,200,0
2023-11-06 12:00:00,2.11,2.11,2.08,2.1,15,300,0
2023-11-06 13:00:00,2.11,2.11,2.07,2.07,35,300,0
2023-11-06 14:00:00,2.05,2.07,2.03,2.04,36,300,0
2023-11-06 15:00:00,2.05,2.05,2.02,2.02,43,200,0
2023-11-06 16:00:00,2.02,2.06,2.02,2.04,42,200,0
2023-11-06 17:00:00,2.04,2.07,2.03,2.05,71,100,0
2023-11-06 18:00:00,2.05,2.07,2.03,2.03,34,200,0
2023-11-07 10:00:00,2.03,2.05,2.02,2.05,40,200,0
2023-11-07 11:00:00,2.04,2.05,2.02,2.05,20,200,0
2023-11-07 12:00:00,2.05,2.05,2.01,2.03,37,100,0
2023-11-07 13:00:00,2.03,2.03,1.965,1.995,51,100,0
2023-11-07 14:00:00,1.995,1.995,1.96,1.96,23,200,0
2023-11-07 15:00:00,1.965,1.995,1.96,1.975,47,150,0
2023-11-07 16:00:00,1.975,2.0,1.97,2.0,60,150,0
2023-11-07 17:00:00,2.0,2.01,1.985,2.01,29,200,0
2023-11-07 18:00:00,2.01,2.01,1.975,1.975,27,200,0
2023-11-08 10:00:00,1.96,1.97,1.935,1.97,45,350,0
2023-11-08 11:00:00,1.97,1.995,1.965,1.98,49,230,0
2023-11-08 12:00:00,1.995,2.01,1.98,2.0,29,220,0
2023-11-08 13:00:00,1.995,2.01,1.978,2.01,30,220,0
2023-11-08 14:00:00,2.002,2.012,1.997,2.002,80,200,0
2023-11-08 15:00:00,2.004,2.032,2.0,2.02,51,160,0
2023-11-08 16:00:00,2.02,2.05,2.02,2.04,25,160,0
2023-11-08 17:00:00,2.04,2.06,2.028,2.03,50,140,0
2023-11-08 18:00:00,2.04,2.056,2.008,2.008,26,180,0
2023-11-09 10:00:00,2.012,2.04,2.004,2.02,49,380,0
2023-11-09 11:00:00,2.004,2.032,1.984,1.986,31,340,0
2023-11-09 12:00:00,1.985,2.038,1.984,2.032,58,340,0
2023-11-09 13:00:00,2.028,2.072,2.026,2.07,63,240,0
2023-11-09 14:00:00,2.058,2.072,2.058,2.062,63,280,0
2023-11-09 15:00:00,2.062,2.094,2.05,2.076,94,180,0
2023-11-09 16:00:00,2.08,2.08,2.05,2.056,53,180,0
2023-11-09 17:00:00,2.058,2.06,2.014,2.032,93,80,0
2023-11-09 18:00:00,2.032,2.054,2.014,2.054,49,140,0
2023-11-10 10:00:00,2.022,2.022,1.939,1.976,97,200,0
2023-11-10 11:00:00,1.976,1.995,1.967,1.975,90,150,0
2023-11-10 12:00:00,1.972,1.981,1.969,1.969,59,220,0
2023-11-10 13:00:00,1.97,1.986,1.96,1.97,53,200,0
2023-11-10 14:00:00,1.97,1.975,1.96,1.975,35,200,0
2023-11-10 15:00:00,1.974,1.975,1.932,1.972,110,110,0
2023-11-10 16:00:00,1.961,1.994,1.961,1.971,51,160,0
2023-11-10 17:00:00,1.972,1.972,1.954,1.963,103,140,0
2023-11-10 18:00:00,1.963,1.981,1.961,1.97,35,120,0
2023-11-13 10:00:00,1.983,2.032,1.98,2.008,76,300,0
2023-11-13 11:00:00,2.004,2.032,2.004,2.024,67,100,0
2023-11-13 12:00:00,2.022,2.03,2.0,2.0,136,100,0
2023-11-13 13:00:00,2.0,2.0,1.977,1.987,74,80,0
2023-11-13 14:00:00,2.002,2.002,1.975,1.983,105,120,0
2023-11-13 15:00:00,1.983,1.998,1.971,1.972,112,140,0
2023-11-13 16:00:00,1.971,1.988,1.961,1.986,73,30,0
2023-11-13 17:00:00,1.961,1.976,1.94,1.944,145,30,0
2023-11-13 18:00:00,1.947,1.96,1.939,1.942,71,100,0
2023-11-14 10:00:00,1.951,2.024,1.951,2.024,118,200,0
2023-11-14 11:00:00,2.002,2.024,1.993,2.002,87,100,0
2023-11-14 12:00:00,2.004,2.022,1.959,1.995,90,100,0
2023-11-14 13:00:00,1.97,1.996,1.942,1.955,96,120,0
2023-11-14 14:00:00,1.957,1.987,1.955,1.978,104,130,0
2023-11-14 15:00:00,1.98,2.042,1.96,2.042,191,100,0
2023-11-14 16:00:00,2.054,2.078,2.008,2.062,147,100,0
2023-11-14 17:00:00,2.05,2.076,2.048,2.066,96,120,0
2023-11-14 18:00:00,2.054,2.108,2.052,2.092,92,120,0
