time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,68.0,71.1,67.98,70.74,77,7200,0
2023-11-03 12:00:00,70.74,71.4,69.74,71.4,85,5800,0
2023-11-03 13:00:00,71.4,71.4,69.94,70.96,27,4600,0
2023-11-03 14:00:00,70.52,70.54,69.64,69.66,34,4600,0
2023-11-03 15:00:00,70.18,71.06,69.66,70.04,63,6200,0
2023-11-03 16:00:00,70.24,72.62,70.04,71.28,73,6400,0
2023-11-03 17:00:00,72.6,72.78,71.04,71.74,88,3000,0
2023-11-03 18:00:00,71.74,72.5,71.58,72.08,51,4600,0
2023-11-03 19:00:00,72.08,72.5,71.28,72.3,29,2000,0
2023-11-06 10:00:00,70.72,72.36,70.56,71.7,61,7800,0
2023-11-06 11:00:00,71.7,71.8,70.42,70.84,49,6400,0
2023-11-06 12:00:00,71.06,71.6,70.72,70.86,49,2400,0
2023-11-06 13:00:00,71.0,71.6,70.72,71.6,41,3000,0
2023-11-06 14:00:00,71.4,71.6,70.96,71.18,42,1400,0
2023-11-06 15:00:00,71.18,71.18,69.42,70.26,70,3200,0
2023-11-06 16:00:00,70.66,71.08,69.42,69.8,105,5600,0
2023-11-06 17:00:00,69.84,70.44,69.22,69.4,76,2400,0
2023-11-06 18:00:00,69.42,69.7,69.14,69.14,37,1400,0
2023-11-07 10:00:00,68.28,69.12,68.28,69.1,20,13000,0
2023-11-07 11:00:00,69.14,69.88,68.28,68.5,85,5200,0
2023-11-07 12:00:00,69.72,69.88,68.28,68.5,82,5200,0
2023-11-07 13:00:00,68.5,68.72,67.82,68.28,53,7400,0
2023-11-07 14:00:00,67.92,69.34,67.92,68.12,99,7400,0
2023-11-07 15:00:00,68.06,68.72,68.06,68.42,71,4800,0
2023-11-07 16:00:00,68.46,69.68,68.46,69.68,67,4400,0
2023-11-07 17:00:00,69.26,69.88,68.44,69.54,99,3600,0
2023-11-07 18:00:00,69.7,69.86,68.86,68.98,61,4000,0
2023-11-08 10:00:00,68.4,68.6,68.4,68.4,15,23000,0
2023-11-08 11:00:00,68.4,69.1,68.4,69.1,12,18000,0
2023-11-08 12:00:00,68.4,69.72,68.4,69.2,41,6800,0
2023-11-08 13:00:00,69.28,69.5,69.14,69.5,12,6800,0
2023-11-08 14:00:00,69.5,69.5,68.56,68.96,49,4000,0
2023-11-08 15:00:00,69.0,69.28,68.82,68.94,45,4600,0
2023-11-08 16:00:00,68.94,69.44,68.84,69.3,56,4800,0
2023-11-08 17:00:00,69.04,69.48,68.0,68.6,42,3800,0
2023-11-08 18:00:00,68.6,68.84,67.76,67.76,33,2200,0
2023-11-09 10:00:00,67.32,67.54,67.32,67.36,84,7800,0
2023-11-09 11:00:00,67.34,67.74,66.52,66.98,98,2600,0
2023-11-09 12:00:00,66.8,67.4,66.8,67.28,76,5000,0
2023-11-09 13:00:00,67.28,68.36,67.28,68.2,35,2400,0
2023-11-09 14:00:00,68.2,68.94,67.58,68.9,55,3800,0
2023-11-09 15:00:00,68.22,69.66,68.02,69.62,79,3400,0
2023-11-09 16:00:00,69.2,70.76,68.62,69.42,79,4400,0
2023-11-09 17:00:00,69.42,70.76,69.2,69.46,128,1800,0
2023-11-09 18:00:00,69.54,70.22,69.3,69.66,74,3400,0
2023-11-10 10:00:00,68.74,68.88,66.32,67.2,145,5400,0
2023-11-10 11:00:00,67.46,67.9,66.92,67.18,63,4800,0
2023-11-10 12:00:00,66.94,67.9,66.92,67.88,47,3200,0
2023-11-10 13:00:00,67.88,67.88,66.8,67.34,46,2400,0
2023-11-10 14:00:00,67.32,67.58,66.8,67.54,56,2400,0
2023-11-10 15:00:00,67.4,68.9,67.4,68.58,51,4000,0
2023-11-10 16:00:00,68.88,69.06,66.98,68.06,89,4000,0
2023-11-10 17:00:00,68.04,68.28,67.06,68.28,70,3400,0
2023-11-10 18:00:00,67.82,68.36,67.48,68.32,41,4200,0
2023-11-13 10:00:00,67.76,68.36,67.2,68.0,45,7200,0
2023-11-13 11:00:00,68.02,68.18,67.8,68.18,24,5800,0
2023-11-13 12:00:00,68.18,68.46,67.72,68.46,29,4600,0
2023-11-13 13:00:00,68.54,69.36,68.4,68.9,49,3800,0
2023-11-13 14:00:00,68.92,68.92,68.54,68.92,22,3400,0
2023-11-13 15:00:00,68.6,68.92,68.3,68.8,33,3400,0
2023-11-13 16:00:00,68.48,69.92,68.48,68.54,91,3800,0
2023-11-13 17:00:00,69.1,69.22,67.74,68.06,90,3200,0
2023-11-13 18:00:00,68.08,68.44,67.76,68.44,24,3200,0
2023-11-14 10:00:00,68.58,68.58,67.12,67.74,77,6000,0
2023-11-14 11:00:00,67.14,70.06,67.14,69.34,149,5800,0
2023-11-14 12:00:00,69.34,70.52,68.9,70.52,100,5800,0
2023-11-14 13:00:00,70.54,70.98,69.84,70.98,138,4200,0
2023-11-14 14:00:00,70.94,71.16,70.46,70.58,77,2400,0
2023-11-14 15:00:00,70.62,74.04,69.82,74.04,227,1400,0
2023-11-14 16:00:00,74.08,75.08,71.76,72.54,314,3000,0
2023-11-14 17:00:00,74.14,75.34,67.0,73.48,152,0,0
2023-11-14 18:00:00,73.48,74.08,71.04,73.66,69,2000,0
2023-11-15 10:00:00,74.42,77.82,74.42,76.98,140,6200,0
2023-11-15 11:00:00,77.2,77.76,75.0,75.0,163,7600,0
2023-11-15 12:00:00,75.0,77.74,75.0,76.52,63,6200,0
2023-11-15 13:00:00,76.52,78.2,76.5,78.2,50,5400,0
2023-11-15 14:00:00,77.74,79.0,77.08,77.16,57,4800,0
2023-11-15 15:00:00,77.32,77.34,75.12,77.3,97,3200,0
2023-11-15 16:00:00,76.5,77.34,75.12,76.5,95,1000,0
2023-11-15 17:00:00,76.66,77.44,76.44,77.0,158,1800,0
2023-11-15 18:00:00,76.9,77.12,76.06,76.42,81,1600,0
2023-11-16 10:00:00,75.1,75.5,74.8,75.5,53,5000,0
2023-11-16 11:00:00,75.5,75.82,74.8,75.22,80,4000,0
2023-11-16 12:00:00,75.22,75.54,73.86,74.9,69,4400,0
2023-11-16 13:00:00,75.12,75.3,73.16,75.2,101,6800,0
2023-11-16 14:00:00,75.14,75.3,74.24,74.24,74,2000,0
2023-11-16 15:00:00,74.24,75.5,73.16,75.0,77,2600,0
2023-11-16 16:00:00,75.0,75.14,74.5,74.74,50,2800,0
2023-11-16 17:00:00,74.52,74.88,73.16,74.08,76,1400,0
2023-11-16 18:00:00,74.36,74.7,72.94,73.5,43,2200,0
2023-11-17 10:00:00,73.8,76.78,73.8,76.0,54,6000,0
2023-11-17 11:00:00,76.14,76.7,75.42,76.14,50,5800,0
2023-11-17 12:00:00,76.14,77.42,75.48,76.84,75,6200,0
2023-11-17 13:00:00,76.88,76.88,75.76,76.04,49,4000,0
2023-11-17 14:00:00,76.54,76.74,75.82,76.54,59,4000,0
2023-11-17 15:00:00,76.54,76.9,76.44,76.54,39,3200,0
2023-11-17 16:00:00,76.54,77.36,76.54,77.36,112,2200,0
2023-11-17 17:00:00,76.84,77.8,76.44,77.4,143,2400,0
2023-11-17 18:00:00,77.4,78.48,77.1,78.4,52,2600,0
2023-11-20 10:00:00,79.12,79.12,77.66,77.66,67,5400,0
2023-11-20 11:00:00,78.88,78.88,77.54,77.54,51,4000,0
2023-11-20 12:00:00,78.32,78.86,77.5,78.34,130,4000,0
2023-11-20 13:00:00,78.34,78.42,78.02,78.02,21,5000,0
2023-11-20 14:00:00,78.02,78.1,77.32,77.74,38,2200,0
2023-11-20 15:00:00,77.54,78.1,77.32,77.54,33,4000,0
2023-11-20 16:00:00,77.76,79.3,77.76,78.92,69,3400,0
2023-11-20 17:00:00,78.92,79.3,78.2,78.74,75,3400,0
2023-11-20 18:00:00,78.74,78.74,77.86,78.26,53,2200,0
2023-11-21 10:00:00,77.6,79.02,77.6,78.1,52,12800,0
2023-11-21 11:00:00,78.52,78.52,76.8,77.82,58,7400,0
2023-11-21 12:00:00,77.82,78.28,76.7,78.0,123,4000,0
2023-11-21 13:00:00,78.0,78.74,78.0,78.4,38,3200,0
2023-11-21 14:00:00,78.4,78.78,78.4,78.62,49,2600,0
2023-11-21 15:00:00,78.4,79.06,76.14,77.04,66,2600,0
2023-11-21 16:00:00,77.94,77.94,75.72,77.1,42,3600,0
2023-11-21 17:00:00,77.1,77.1,75.24,75.76,100,4000,0
2023-11-21 18:00:00,75.76,76.86,75.12,75.42,59,2600,0
2023-11-22 10:00:00,75.32,75.54,74.48,75.12,31,6400,0
2023-11-22 11:00:00,75.26,75.9,74.48,75.02,72,4600,0
2023-11-22 12:00:00,75.02,75.62,75.02,75.62,22,5000,0
2023-11-22 13:00:00,75.28,76.52,75.26,76.46,50,5000,0
2023-11-22 14:00:00,76.6,77.18,76.44,77.18,62,4000,0
2023-11-22 15:00:00,77.22,77.46,76.28,77.12,49,5000,0
