time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,1.294,1.358,1.294,1.352,65,40,0
2023-11-03 12:00:00,1.348,1.352,1.316,1.324,69,40,0
2023-11-03 13:00:00,1.324,1.328,1.318,1.322,29,100,0
2023-11-03 14:00:00,1.324,1.326,1.318,1.326,32,40,0
2023-11-03 15:00:00,1.322,1.348,1.322,1.336,54,40,0
2023-11-03 16:00:00,1.34,1.35,1.332,1.35,103,60,0
2023-11-03 17:00:00,1.35,1.35,1.33,1.334,31,80,0
2023-11-03 18:00:00,1.332,1.34,1.32,1.322,53,20,0
2023-11-03 19:00:00,1.322,1.332,1.322,1.332,14,60,0
2023-11-06 10:00:00,1.31,1.332,1.31,1.332,13,180,0
2023-11-06 11:00:00,1.318,1.332,1.318,1.32,23,40,0
2023-11-06 12:00:00,1.318,1.33,1.318,1.326,19,60,0
2023-11-06 13:00:00,1.326,1.328,1.318,1.328,13,60,0
2023-11-06 14:00:00,1.328,1.328,1.322,1.328,12,60,0
2023-11-06 15:00:00,1.324,1.328,1.32,1.328,12,60,0
2023-11-06 16:00:00,1.322,1.324,1.304,1.304,72,20,0
2023-11-06 17:00:00,1.322,1.324,1.304,1.32,44,40,0
2023-11-06 18:00:00,1.32,1.326,1.298,1.306,25,40,0
2023-11-07 10:00:00,1.318,1.33,1.31,1.31,31,40,0
2023-11-07 11:00:00,1.324,1.326,1.31,1.326,14,100,0
2023-11-07 12:00:00,1.326,1.336,1.326,1.326,28,40,0
2023-11-07 13:00:00,1.33,1.33,1.31,1.32,37,60,0
2023-11-07 14:00:00,1.32,1.324,1.312,1.318,41,40,0
2023-11-07 15:00:00,1.322,1.324,1.322,1.324,31,40,0
2023-11-07 16:00:00,1.324,1.326,1.31,1.324,72,40,0
2023-11-07 17:00:00,1.32,1.332,1.31,1.328,101,40,0
2023-11-07 18:00:00,1.328,1.33,1.324,1.326,22,60,0
2023-11-08 10:00:00,1.306,1.33,1.276,1.33,51,100,0
2023-11-08 11:00:00,1.33,1.332,1.31,1.316,43,80,0
2023-11-08 12:00:00,1.314,1.322,1.314,1.318,27,60,0
2023-11-08 13:00:00,1.318,1.322,1.314,1.318,27,60,0
2023-11-08 14:00:00,1.32,1.324,1.318,1.318,65,60,0
2023-11-08 15:00:00,1.32,1.326,1.306,1.322,47,40,0
2023-11-08 16:00:00,1.334,1.344,1.318,1.318,64,40,0
2023-11-08 17:00:00,1.328,1.344,1.318,1.322,93,40,0
2023-11-08 18:00:00,1.32,1.326,1.32,1.324,43,20,0
2023-11-09 10:00:00,1.316,1.316,1.296,1.304,22,280,0
2023-11-09 11:00:00,1.304,1.328,1.3,1.326,42,60,0
2023-11-09 12:00:00,1.324,1.336,1.324,1.332,28,80,0
2023-11-09 13:00:00,1.332,1.342,1.332,1.34,31,60,0
2023-11-09 14:00:00,1.34,1.346,1.328,1.34,31,80,0
2023-11-09 15:00:00,1.34,1.348,1.338,1.342,56,60,0
2023-11-09 16:00:00,1.342,1.346,1.342,1.344,18,40,0
2023-11-09 17:00:00,1.344,1.344,1.328,1.328,67,40,0
2023-11-09 18:00:00,1.328,1.334,1.328,1.33,31,40,0
2023-11-10 10:00:00,1.32,1.32,1.294,1.31,75,60,0
2023-11-10 11:00:00,1.308,1.314,1.304,1.314,28,60,0
2023-11-10 12:00:00,1.31,1.314,1.304,1.31,16,60,0
2023-11-10 13:00:00,1.304,1.31,1.304,1.31,36,60,0
2023-11-10 14:00:00,1.304,1.314,1.304,1.314,20,60,0
2023-11-10 15:00:00,1.31,1.318,1.31,1.318,43,60,0
2023-11-10 16:00:00,1.316,1.32,1.31,1.312,69,40,0
2023-11-10 17:00:00,1.32,1.324,1.312,1.32,74,20,0
2023-11-10 18:00:00,1.32,1.324,1.316,1.324,28,20,0
2023-11-13 10:00:00,1.306,1.336,1.306,1.336,17,140,0
2023-11-13 11:00:00,1.33,1.342,1.33,1.336,34,80,0
2023-11-13 12:00:00,1.336,1.336,1.332,1.332,8,80,0
2023-11-13 13:00:00,1.334,1.334,1.308,1.308,15,80,0
2023-11-13 14:00:00,1.322,1.324,1.308,1.308,24,60,0
2023-11-13 15:00:00,1.324,1.324,1.308,1.322,9,60,0
2023-11-13 16:00:00,1.322,1.334,1.308,1.324,36,60,0
2023-11-13 17:00:00,1.32,1.338,1.31,1.334,47,40,0
2023-11-13 18:00:00,1.334,1.336,1.32,1.32,19,40,0
2023-11-14 10:00:00,1.296,1.35,1.296,1.348,60,40,0
2023-11-14 11:00:00,1.342,1.348,1.342,1.344,23,40,0
2023-11-14 12:00:00,1.346,1.348,1.328,1.346,36,40,0
2023-11-14 13:00:00,1.34,1.35,1.328,1.35,34,40,0
2023-11-14 14:00:00,1.344,1.354,1.33,1.344,24,40,0
2023-11-14 15:00:00,1.344,1.378,1.338,1.376,72,40,0
2023-11-14 16:00:00,1.372,1.384,1.35,1.35,100,20,0
2023-11-14 17:00:00,1.35,1.382,1.35,1.376,76,20,0
2023-11-14 18:00:00,1.372,1.378,1.364,1.364,32,20,0
2023-11-15 10:00:00,1.378,1.434,1.378,1.416,89,40,0
2023-11-15 11:00:00,1.416,1.434,1.398,1.398,86,80,0
2023-11-15 12:00:00,1.404,1.406,1.394,1.396,36,80,0
2023-11-15 13:00:00,1.396,1.4,1.39,1.398,40,20,0
2023-11-15 14:00:00,1.392,1.4,1.388,1.39,12,40,0
2023-11-15 15:00:00,1.396,1.4,1.384,1.388,40,40,0
2023-11-15 16:00:00,1.388,1.39,1.378,1.384,57,20,0
2023-11-15 17:00:00,1.382,1.392,1.378,1.388,70,40,0
2023-11-15 18:00:00,1.386,1.388,1.36,1.366,61,40,0
2023-11-16 10:00:00,1.362,1.376,1.346,1.362,45,320,0
2023-11-16 11:00:00,1.366,1.376,1.352,1.366,87,60,0
2023-11-16 12:00:00,1.372,1.378,1.364,1.366,44,40,0
2023-11-16 13:00:00,1.364,1.376,1.354,1.362,19,60,0
2023-11-16 14:00:00,1.368,1.372,1.35,1.362,47,60,0
2023-11-16 15:00:00,1.364,1.37,1.356,1.37,24,80,0
2023-11-16 16:00:00,1.37,1.374,1.368,1.372,35,80,0
2023-11-16 17:00:00,1.372,1.376,1.362,1.362,74,40,0
2023-11-16 18:00:00,1.366,1.376,1.364,1.364,42,60,0
2023-11-17 10:00:00,1.36,1.39,1.356,1.382,138,120,0
2023-11-17 11:00:00,1.38,1.396,1.38,1.388,39,60,0
2023-11-17 12:00:00,1.392,1.404,1.39,1.394,43,60,0
2023-11-17 13:00:00,1.396,1.396,1.38,1.38,36,60,0
2023-11-17 14:00:00,1.382,1.39,1.374,1.374,41,40,0
2023-11-17 15:00:00,1.374,1.376,1.36,1.374,12,80,0
2023-11-17 16:00:00,1.376,1.378,1.354,1.37,47,40,0
2023-11-17 17:00:00,1.372,1.382,1.354,1.376,43,40,0
2023-11-17 18:00:00,1.378,1.38,1.37,1.38,32,40,0
2023-11-20 10:00:00,1.362,1.38,1.356,1.364,132,140,0
2023-11-20 11:00:00,1.368,1.378,1.368,1.378,24,80,0
