time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,6.39,6.455,6.365,6.45,80,50,0
2023-11-03 12:00:00,6.45,6.455,6.425,6.445,35,50,0
2023-11-03 13:00:00,6.425,6.445,6.42,6.43,53,50,0
2023-11-03 14:00:00,6.43,6.44,6.42,6.43,38,50,0
2023-11-03 15:00:00,6.42,6.435,6.41,6.435,46,50,0
2023-11-03 16:00:00,6.42,6.45,6.41,6.445,71,50,0
2023-11-03 17:00:00,6.44,6.445,6.39,6.43,95,50,0
2023-11-03 18:00:00,6.43,6.435,6.39,6.405,91,50,0
2023-11-03 19:00:00,6.39,6.405,6.37,6.395,30,100,0
2023-11-06 10:00:00,6.33,6.395,6.32,6.37,93,100,0
2023-11-06 11:00:00,6.37,6.39,6.355,6.37,72,100,0
2023-11-06 12:00:00,6.375,6.385,6.355,6.38,48,50,0
2023-11-06 13:00:00,6.355,6.365,6.35,6.35,31,150,0
2023-11-06 14:00:00,6.35,6.37,6.34,6.365,51,100,0
2023-11-06 15:00:00,6.365,6.4,6.335,6.35,71,50,0
2023-11-06 16:00:00,6.375,6.41,6.335,6.375,128,50,0
2023-11-06 17:00:00,6.36,6.39,6.345,6.36,109,100,0
2023-11-06 18:00:00,6.365,6.365,6.34,6.355,37,50,0
2023-11-07 10:00:00,6.275,6.34,6.275,6.32,81,100,0
2023-11-07 11:00:00,6.325,6.345,6.32,6.34,69,50,0
2023-11-07 12:00:00,6.33,6.365,6.33,6.345,67,50,0
2023-11-07 13:00:00,6.345,6.37,6.285,6.33,102,100,0
2023-11-07 14:00:00,6.315,6.34,6.285,6.305,127,150,0
2023-11-07 15:00:00,6.315,6.33,6.285,6.285,185,100,0
2023-11-07 16:00:00,6.295,6.365,6.285,6.34,177,50,0
2023-11-07 17:00:00,6.34,6.39,6.315,6.385,173,100,0
2023-11-07 18:00:00,6.385,6.385,6.345,6.365,83,50,0
2023-11-08 10:00:00,6.26,6.33,6.23,6.33,115,100,0
2023-11-08 11:00:00,6.32,6.355,6.32,6.345,61,50,0
2023-11-08 12:00:00,6.35,6.355,6.325,6.33,68,50,0
2023-11-08 13:00:00,6.33,6.365,6.325,6.365,51,50,0
2023-11-08 14:00:00,6.355,6.395,6.355,6.395,86,50,0
2023-11-08 15:00:00,6.395,6.47,6.375,6.46,108,50,0
2023-11-08 16:00:00,6.445,6.52,6.445,6.52,98,50,0
2023-11-08 17:00:00,6.515,6.52,6.475,6.48,120,50,0
2023-11-08 18:00:00,6.51,6.515,6.475,6.515,61,50,0
2023-11-09 10:00:00,6.49,6.625,6.49,6.59,236,150,0
2023-11-09 11:00:00,6.585,6.625,6.415,6.49,215,150,0
2023-11-09 12:00:00,6.49,6.555,6.435,6.535,136,100,0
2023-11-09 13:00:00,6.535,6.555,6.52,6.535,123,50,0
2023-11-09 14:00:00,6.535,6.565,6.525,6.565,89,100,0
2023-11-09 15:00:00,6.565,6.62,6.555,6.585,106,50,0
2023-11-09 16:00:00,6.61,6.625,6.565,6.59,150,100,0
2023-11-09 17:00:00,6.595,6.615,6.52,6.565,171,100,0
2023-11-09 18:00:00,6.54,6.565,6.52,6.54,76,50,0
2023-11-10 10:00:00,6.445,6.49,6.415,6.44,173,150,0
2023-11-10 11:00:00,6.44,6.465,6.415,6.445,135,50,0
2023-11-10 12:00:00,6.455,6.465,6.39,6.395,128,50,0
2023-11-10 13:00:00,6.395,6.42,6.38,6.4,106,100,0
2023-11-10 14:00:00,6.4,6.415,6.38,6.395,96,50,0
2023-11-10 15:00:00,6.395,6.415,6.36,6.41,107,50,0
2023-11-10 16:00:00,6.395,6.42,6.37,6.375,112,50,0
2023-11-10 17:00:00,6.365,6.4,6.315,6.35,130,50,0
