time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,1.44,1.462,1.44,1.46,10,80,0
2023-11-03 12:00:00,1.462,1.462,1.45,1.45,30,80,0
2023-11-03 13:00:00,1.45,1.454,1.45,1.452,8,220,0
2023-11-03 15:00:00,1.456,1.456,1.452,1.452,6,220,0
2023-11-03 16:00:00,1.452,1.462,1.452,1.46,76,60,0
2023-11-03 17:00:00,1.46,1.462,1.458,1.458,173,80,0
2023-11-03 18:00:00,1.46,1.462,1.458,1.46,87,60,0
2023-11-03 19:00:00,1.462,1.464,1.448,1.46,31,60,0
2023-11-06 10:00:00,1.456,1.476,1.456,1.47,14,160,0
2023-11-06 11:00:00,1.47,1.474,1.466,1.472,21,260,0
2023-11-06 12:00:00,1.468,1.474,1.466,1.47,12,260,0
2023-11-06 13:00:00,1.47,1.476,1.47,1.47,6,220,0
2023-11-06 14:00:00,1.47,1.484,1.47,1.484,11,120,0
2023-11-06 15:00:00,1.484,1.484,1.484,1.484,3,120,0
2023-11-06 16:00:00,1.484,1.488,1.474,1.486,34,40,0
2023-11-06 17:00:00,1.484,1.486,1.48,1.482,54,40,0
2023-11-06 18:00:00,1.486,1.49,1.478,1.484,25,40,0
2023-11-07 10:00:00,1.456,1.476,1.452,1.476,34,100,0
2023-11-07 11:00:00,1.474,1.476,1.466,1.476,38,40,0
2023-11-07 12:00:00,1.476,1.48,1.474,1.48,21,40,0
2023-11-07 13:00:00,1.48,1.48,1.48,1.48,10,100,0
2023-11-07 14:00:00,1.48,1.482,1.48,1.482,34,80,0
2023-11-07 15:00:00,1.48,1.484,1.48,1.484,70,40,0
2023-11-07 16:00:00,1.482,1.484,1.482,1.482,50,40,0
2023-11-07 17:00:00,1.482,1.484,1.482,1.482,30,40,0
2023-11-07 18:00:00,1.48,1.484,1.48,1.48,27,60,0
2023-11-08 10:00:00,1.47,1.472,1.46,1.47,19,300,0
2023-11-08 11:00:00,1.47,1.476,1.47,1.47,26,260,0
2023-11-08 12:00:00,1.47,1.47,1.47,1.47,1,320,0
2023-11-08 13:00:00,1.468,1.47,1.468,1.47,5,300,0
