time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,2.723,2.751,2.723,2.744,271,10,0
2023-11-03 12:00:00,2.744,2.754,2.74,2.751,212,10,0
2023-11-03 13:00:00,2.754,2.755,2.745,2.748,152,10,0
2023-11-03 14:00:00,2.749,2.753,2.746,2.752,128,10,0
2023-11-03 15:00:00,2.751,2.762,2.749,2.758,224,10,0
2023-11-03 16:00:00,2.758,2.771,2.757,2.77,252,10,0
2023-11-03 17:00:00,2.767,2.769,2.753,2.757,272,10,0
2023-11-03 18:00:00,2.757,2.76,2.746,2.747,212,10,0
2023-11-03 19:00:00,2.748,2.752,2.746,2.748,91,10,0
2023-11-06 10:00:00,2.752,2.754,2.74,2.747,351,10,0
2023-11-06 11:00:00,2.752,2.752,2.729,2.733,227,10,0
2023-11-06 12:00:00,2.734,2.739,2.731,2.734,181,10,0
2023-11-06 13:00:00,2.734,2.753,2.731,2.75,132,10,0
2023-11-06 14:00:00,2.75,2.751,2.745,2.747,167,10,0
2023-11-06 15:00:00,2.748,2.755,2.745,2.754,186,10,0
2023-11-06 16:00:00,2.754,2.759,2.751,2.752,229,10,0
2023-11-06 17:00:00,2.753,2.757,2.75,2.751,259,10,0
2023-11-06 18:00:00,2.751,2.756,2.75,2.754,96,10,0
2023-11-07 10:00:00,2.759,2.776,2.751,2.767,309,10,0
2023-11-07 11:00:00,2.767,2.78,2.764,2.765,264,10,0
2023-11-07 12:00:00,2.774,2.778,2.76,2.775,247,10,0
2023-11-07 13:00:00,2.774,2.776,2.769,2.769,149,10,0
2023-11-07 14:00:00,2.77,2.775,2.769,2.775,162,10,0
2023-11-07 15:00:00,2.775,2.78,2.771,2.775,204,10,0
2023-11-07 16:00:00,2.775,2.781,2.771,2.781,215,10,0
2023-11-07 17:00:00,2.777,2.78,2.766,2.768,208,10,0
2023-11-07 18:00:00,2.769,2.769,2.761,2.765,105,10,0
2023-11-08 10:00:00,2.79,2.7960000000000003,2.76,2.7960000000000003,424,10,0
2023-11-08 11:00:00,2.797,2.798,2.754,2.764,317,10,0
2023-11-08 12:00:00,2.779,2.779,2.753,2.772,250,10,0
2023-11-08 13:00:00,2.773,2.781,2.768,2.773,182,10,0
2023-11-08 14:00:00,2.775,2.781,2.775,2.777,145,10,0
2023-11-08 15:00:00,2.779,2.781,2.772,2.778,153,10,0
2023-11-08 16:00:00,2.78,2.784,2.777,2.784,200,10,0
