time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,9.25,9.33,9.2,9.33,41,500,0
2023-11-03 12:00:00,9.33,9.33,9.31,9.31,21,400,0
2023-11-03 13:00:00,9.31,9.33,9.31,9.31,20,200,0
2023-11-03 14:00:00,9.31,9.31,9.31,9.31,18,200,0
2023-11-03 15:00:00,9.31,9.36,9.31,9.35,53,300,0
2023-11-03 16:00:00,9.36,9.41,9.35,9.4,79,300,0
2023-11-03 17:00:00,9.4,9.41,9.39,9.4,112,300,0
2023-11-03 18:00:00,9.4,9.4,9.39,9.4,31,200,0
2023-11-03 19:00:00,9.4,9.41,9.38,9.4,43,300,0
2023-11-06 10:00:00,9.31,9.31,9.26,9.27,6,1700,0
2023-11-06 11:00:00,9.4,9.4,9.26,9.4,5,1600,0
2023-11-06 12:00:00,9.4,9.4,9.4,9.4,2,1500,0
2023-11-06 13:00:00,9.4,9.42,9.4,9.42,6,600,0
2023-11-06 14:00:00,9.42,9.44,9.42,9.44,34,400,0
2023-11-06 15:00:00,9.44,9.47,9.43,9.45,43,200,0
2023-11-06 16:00:00,9.45,9.46,9.38,9.39,88,200,0
2023-11-06 17:00:00,9.39,9.39,9.37,9.39,96,200,0
2023-11-06 18:00:00,9.38,9.39,9.32,9.38,16,200,0
2023-11-07 10:00:00,9.25,9.36,9.21,9.35,45,1000,0
2023-11-07 11:00:00,9.35,9.39,9.35,9.39,66,600,0
2023-11-07 12:00:00,9.39,9.41,9.39,9.41,32,400,0
2023-11-07 13:00:00,9.41,9.41,9.39,9.39,30,400,0
2023-11-07 14:00:00,9.39,9.41,9.39,9.4,77,300,0
2023-11-07 15:00:00,9.4,9.41,9.4,9.41,41,200,0
2023-11-07 16:00:00,9.41,9.46,9.4,9.46,60,300,0
2023-11-07 17:00:00,9.46,9.47,9.43,9.46,82,200,0
2023-11-07 18:00:00,9.44,9.47,9.43,9.43,54,200,0
2023-11-08 10:00:00,9.34,9.46,9.33,9.46,21,700,0
2023-11-08 11:00:00,9.46,9.48,9.46,9.47,63,200,0
2023-11-08 12:00:00,9.47,9.48,9.46,9.47,53,600,0
2023-11-08 13:00:00,9.47,9.49,9.4,9.48,59,400,0
2023-11-08 14:00:00,9.48,9.51,9.4,9.51,52,400,0
2023-11-08 15:00:00,9.5,9.53,9.44,9.52,53,400,0
2023-11-08 16:00:00,9.52,9.54,9.46,9.52,131,300,0
2023-11-08 17:00:00,9.52,9.53,9.49,9.49,140,300,0
2023-11-08 18:00:00,9.49,9.51,9.48,9.49,71,300,0
2023-11-09 10:00:00,9.4,9.48,9.38,9.48,35,900,0
2023-11-09 11:00:00,9.46,9.49,9.41,9.49,51,700,0
2023-11-09 12:00:00,9.5,9.56,9.48,9.56,49,300,0
2023-11-09 13:00:00,9.56,9.56,9.55,9.56,26,400,0
2023-11-09 14:00:00,9.56,9.56,9.48,9.56,19,400,0
2023-11-09 15:00:00,9.57,9.57,9.56,9.57,28,400,0
2023-11-09 16:00:00,9.57,9.58,9.56,9.57,92,400,0
2023-11-09 17:00:00,9.57,9.58,9.53,9.54,119,400,0
2023-11-09 18:00:00,9.53,9.58,9.48,9.58,47,300,0
2023-11-10 10:00:00,9.48,9.48,9.35,9.35,20,1600,0
2023-11-10 11:00:00,9.41,9.46,9.35,9.46,26,600,0
2023-11-10 12:00:00,9.41,9.48,9.39,9.42,62,300,0
2023-11-10 13:00:00,9.44,9.45,9.42,9.45,82,300,0
2023-11-10 14:00:00,9.43,9.49,9.43,9.47,95,100,0
2023-11-10 15:00:00,9.49,9.5,9.47,9.49,127,100,0
2023-11-10 16:00:00,9.49,9.52,9.46,9.52,142,200,0
2023-11-10 17:00:00,9.52,9.52,9.45,9.5,124,300,0
2023-11-10 18:00:00,9.5,9.52,9.49,9.52,41,300,0
2023-11-13 10:00:00,9.45,9.51,9.45,9.5,15,1100,0
2023-11-13 11:00:00,9.5,9.55,9.47,9.54,23,300,0
2023-11-13 12:00:00,9.55,9.56,9.54,9.56,24,200,0
2023-11-13 13:00:00,9.56,9.56,9.53,9.54,55,400,0
2023-11-13 14:00:00,9.54,9.54,9.53,9.54,31,500,0
2023-11-13 15:00:00,9.53,9.55,9.48,9.54,33,400,0
2023-11-13 16:00:00,9.55,9.55,9.52,9.53,131,400,0
2023-11-13 17:00:00,9.53,9.56,9.52,9.56,99,300,0
2023-11-13 18:00:00,9.56,9.59,9.54,9.58,30,300,0
2023-11-14 10:00:00,9.47,9.5,9.47,9.5,25,1600,0
2023-11-14 11:00:00,9.51,9.57,9.5,9.57,29,1200,0
2023-11-14 12:00:00,9.58,9.59,9.57,9.58,14,500,0
2023-11-14 13:00:00,9.59,9.59,9.57,9.58,26,500,0
2023-11-14 14:00:00,9.58,9.58,9.57,9.58,23,500,0
2023-11-14 15:00:00,9.58,9.74,9.58,9.69,159,300,0
2023-11-14 16:00:00,9.69,9.76,9.69,9.76,121,200,0
2023-11-14 17:00:00,9.76,9.85,9.75,9.84,58,100,0
2023-11-14 18:00:00,9.84,9.85,9.83,9.84,18,300,0
2023-11-15 10:00:00,9.76,9.9,9.69,9.83,24,1000,0
2023-11-15 11:00:00,9.86,9.96,9.84,9.9,17,400,0
2023-11-15 12:00:00,9.89,9.96,9.89,9.96,8,400,0
2023-11-15 13:00:00,9.95,10.02,9.92,10.02,44,500,0
2023-11-15 14:00:00,10.02,10.02,9.97,10.0,21,200,0
2023-11-15 15:00:00,9.97,10.0,9.92,9.92,59,400,0
2023-11-15 16:00:00,9.98,10.02,9.92,9.98,149,200,0
2023-11-15 17:00:00,9.99,10.04,9.97,10.04,83,400,0
2023-11-15 18:00:00,10.0,10.04,10.0,10.0,29,400,0
2023-11-16 10:00:00,9.94,9.94,9.88,9.92,6,1600,0
2023-11-16 11:00:00,9.93,9.95,9.92,9.93,17,1300,0
2023-11-16 12:00:00,9.92,9.98,9.88,9.97,51,800,0
2023-11-16 13:00:00,9.98,9.98,9.97,9.98,24,600,0
2023-11-16 14:00:00,9.98,9.98,9.87,9.94,42,600,0
2023-11-16 15:00:00,9.94,9.96,9.92,9.94,49,300,0
2023-11-16 16:00:00,9.94,9.96,9.79,9.93,137,300,0
2023-11-16 17:00:00,9.93,9.94,9.89,9.91,94,200,0
2023-11-16 18:00:00,9.92,9.92,9.88,9.91,11,200,0
2023-11-17 10:00:00,9.92,10.0,9.91,9.93,35,800,0
2023-11-17 11:00:00,9.93,10.02,9.93,10.02,12,800,0
2023-11-17 12:00:00,10.02,10.02,10.02,10.02,15,400,0
2023-11-17 13:00:00,10.02,10.02,9.98,9.99,23,400,0
2023-11-17 15:00:00,9.99,9.99,9.98,9.98,36,300,0
2023-11-17 16:00:00,9.98,9.99,9.96,9.97,159,500,0
2023-11-17 17:00:00,9.97,9.99,9.92,9.97,127,400,0
2023-11-17 18:00:00,9.97,9.98,9.97,9.98,21,400,0
2023-11-20 10:00:00,9.92,9.94,9.88,9.88,9,1600,0
2023-11-20 11:00:00,9.88,9.96,9.87,9.91,20,600,0
2023-11-20 12:00:00,9.93,9.99,9.91,9.99,74,500,0
2023-11-20 13:00:00,9.98,9.99,9.91,9.99,39,300,0
2023-11-20 14:00:00,9.99,9.99,9.98,9.98,7,200,0
2023-11-20 15:00:00,9.98,9.98,9.97,9.98,37,200,0
2023-11-20 16:00:00,9.98,9.99,9.98,9.99,29,200,0
2023-11-20 17:00:00,9.98,10.0,9.97,9.98,46,200,0
2023-11-20 18:00:00,10.0,10.0,9.97,9.97,19,200,0
2023-11-21 10:00:00,9.95,10.02,9.91,9.92,21,1400,0
2023-11-21 11:00:00,9.94,9.97,9.91,9.97,72,700,0
2023-11-21 12:00:00,9.96,10.0,9.96,10.0,42,500,0
2023-11-21 13:00:00,10.0,10.02,10.0,10.02,10,400,0
2023-11-21 14:00:00,10.02,10.02,10.02,10.02,2,400,0
