time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,9.31,9.46,9.29,9.42,261,150,0
2023-11-03 12:00:00,9.425,9.46,9.34,9.37,191,50,0
2023-11-03 13:00:00,9.35,9.405,9.33,9.39,125,100,0
2023-11-03 14:00:00,9.395,9.425,9.355,9.415,120,100,0
2023-11-03 15:00:00,9.395,9.505,9.355,9.485,113,100,0
2023-11-03 16:00:00,9.485,9.56,9.47,9.545,114,100,0
2023-11-03 17:00:00,9.545,9.55,9.415,9.455,173,100,0
2023-11-03 18:00:00,9.44,9.485,9.4,9.46,158,100,0
2023-11-03 19:00:00,9.495,9.495,9.425,9.445,47,50,0
2023-11-06 10:00:00,9.51,9.52,9.29,9.34,249,150,0
2023-11-06 11:00:00,9.325,9.385,9.27,9.305,156,50,0
2023-11-06 12:00:00,9.33,9.355,9.27,9.325,147,100,0
2023-11-06 13:00:00,9.34,9.34,9.285,9.305,108,100,0
2023-11-06 14:00:00,9.305,9.31,9.27,9.275,63,50,0
2023-11-06 15:00:00,9.27,9.28,9.19,9.235,108,50,0
2023-11-06 16:00:00,9.225,9.25,9.085,9.13,246,50,0
2023-11-06 17:00:00,9.125,9.185,9.075,9.15,201,50,0
2023-11-06 18:00:00,9.15,9.165,9.105,9.125,83,50,0
2023-11-07 10:00:00,9.145,9.225,9.095,9.17,193,150,0
2023-11-07 11:00:00,9.175,9.255,9.165,9.24,128,100,0
2023-11-07 12:00:00,9.24,9.325,9.225,9.26,175,50,0
2023-11-07 13:00:00,9.26,9.26,9.165,9.195,113,50,0
2023-11-07 14:00:00,9.2,9.26,9.19,9.22,110,100,0
2023-11-07 15:00:00,9.225,9.285,9.2,9.235,132,100,0
2023-11-07 16:00:00,9.235,9.285,9.23,9.25,176,50,0
2023-11-07 17:00:00,9.25,9.29,9.23,9.28,209,100,0
2023-11-07 18:00:00,9.27,9.29,9.185,9.185,98,50,0
2023-11-08 10:00:00,9.105,9.295,9.105,9.275,224,100,0
2023-11-08 11:00:00,9.275,9.355,9.215,9.295,171,100,0
2023-11-08 12:00:00,9.295,9.36,9.295,9.35,133,100,0
2023-11-08 13:00:00,9.36,9.375,9.35,9.37,82,50,0
2023-11-08 14:00:00,9.375,9.41,9.35,9.405,107,50,0
2023-11-08 15:00:00,9.385,9.46,9.37,9.41,151,50,0
2023-11-08 16:00:00,9.425,9.435,9.34,9.4,214,50,0
2023-11-08 17:00:00,9.4,9.41,9.34,9.38,174,50,0
2023-11-08 18:00:00,9.38,9.405,9.37,9.4,97,50,0
2023-11-09 10:00:00,9.42,9.44,9.31,9.315,155,150,0
2023-11-09 11:00:00,9.32,9.41,9.3,9.315,128,150,0
2023-11-09 12:00:00,9.375,9.435,9.3,9.415,123,100,0
2023-11-09 13:00:00,9.405,9.445,9.385,9.42,90,100,0
2023-11-09 14:00:00,9.445,9.49,9.4,9.445,122,100,0
2023-11-09 15:00:00,9.49,9.55,9.445,9.505,144,100,0
2023-11-09 16:00:00,9.52,9.585,9.465,9.575,194,100,0
2023-11-09 17:00:00,9.575,9.585,9.5,9.56,234,50,0
2023-11-09 18:00:00,9.555,9.585,9.51,9.57,89,50,0
2023-11-10 10:00:00,9.505,9.505,9.365,9.49,236,150,0
2023-11-10 11:00:00,9.455,9.5,9.435,9.495,144,50,0
2023-11-10 12:00:00,9.47,9.52,9.47,9.495,155,50,0
2023-11-10 13:00:00,9.515,9.515,9.42,9.48,120,100,0
2023-11-10 14:00:00,9.48,9.53,9.42,9.505,154,50,0
2023-11-10 15:00:00,9.525,9.54,9.465,9.515,120,100,0
2023-11-10 16:00:00,9.495,9.575,9.495,9.55,167,50,0
2023-11-10 17:00:00,9.57,9.575,9.49,9.545,210,50,0
2023-11-10 18:00:00,9.55,9.59,9.49,9.565,95,50,0
2023-11-13 10:00:00,9.375,9.635,9.37,9.6,172,150,0
2023-11-13 11:00:00,9.6,9.64,9.57,9.59,133,100,0
2023-11-13 12:00:00,9.59,9.61,9.53,9.59,117,100,0
2023-11-13 13:00:00,9.585,9.61,9.54,9.55,90,100,0
2023-11-13 14:00:00,9.56,9.58,9.53,9.555,94,100,0
2023-11-13 15:00:00,9.53,9.57,9.53,9.545,107,100,0
2023-11-13 16:00:00,9.555,9.585,9.53,9.535,177,50,0
2023-11-13 17:00:00,9.56,9.595,9.53,9.57,198,50,0
2023-11-13 18:00:00,9.57,9.58,9.55,9.575,72,50,0
2023-11-14 10:00:00,9.43,9.54,9.425,9.5,143,150,0
2023-11-14 11:00:00,9.465,9.6,9.455,9.58,148,100,0
2023-11-14 12:00:00,9.58,9.6,9.51,9.57,113,100,0
2023-11-14 13:00:00,9.565,9.575,9.51,9.55,95,100,0
2023-11-14 14:00:00,9.55,9.585,9.52,9.56,122,50,0
2023-11-14 15:00:00,9.56,9.87,9.51,9.87,242,100,0
2023-11-14 16:00:00,9.87,9.96,9.77,9.93,257,50,0
2023-11-14 17:00:00,9.905,10.03,9.84,10.03,284,50,0
2023-11-14 18:00:00,10.04,10.05,9.995,10.03,68,100,0
2023-11-15 10:00:00,10.04,10.23,10.01,10.23,211,200,0
2023-11-15 11:00:00,10.24,10.25,10.01,10.06,197,100,0
2023-11-15 12:00:00,10.04,10.08,10.03,10.05,91,100,0
2023-11-15 13:00:00,10.05,10.09,10.03,10.08,61,100,0
2023-11-15 14:00:00,10.09,10.09,9.99,10.06,85,100,0
2023-11-15 15:00:00,9.995,10.06,9.94,10.0,175,50,0
2023-11-15 16:00:00,10.0,10.0,9.9,9.93,181,50,0
2023-11-15 17:00:00,9.96,9.99,9.86,9.93,238,50,0
2023-11-15 18:00:00,9.915,9.94,9.83,9.855,113,50,0
2023-11-16 10:00:00,9.78,9.985,9.78,9.93,144,50,0
2023-11-16 11:00:00,9.93,9.945,9.76,9.805,164,100,0
2023-11-16 12:00:00,9.81,9.865,9.79,9.835,133,100,0
2023-11-16 13:00:00,9.835,9.855,9.81,9.845,96,100,0
2023-11-16 14:00:00,9.845,9.855,9.795,9.8,102,50,0
2023-11-16 15:00:00,9.805,9.86,9.8,9.85,135,100,0
2023-11-16 16:00:00,9.825,9.86,9.77,9.785,252,50,0
2023-11-16 17:00:00,9.785,9.84,9.735,9.78,258,50,0
2023-11-16 18:00:00,9.78,9.8,9.715,9.715,82,50,0
2023-11-17 10:00:00,9.785,9.845,9.72,9.785,157,150,0
2023-11-17 11:00:00,9.8,9.88,9.775,9.83,192,100,0
2023-11-17 12:00:00,9.86,9.905,9.805,9.885,171,100,0
2023-11-17 13:00:00,9.885,9.905,9.81,9.855,145,50,0
2023-11-17 14:00:00,9.865,9.885,9.855,9.87,116,100,0
2023-11-17 15:00:00,9.87,9.915,9.83,9.885,169,100,0
2023-11-17 16:00:00,9.885,9.93,9.815,9.86,246,50,0
2023-11-17 17:00:00,9.865,9.92,9.815,9.9,253,50,0
2023-11-17 18:00:00,9.895,9.91,9.85,9.89,68,50,0
2023-11-20 10:00:00,9.915,9.915,9.82,9.835,164,150,0
2023-11-20 11:00:00,9.87,9.905,9.82,9.895,127,50,0
2023-11-20 12:00:00,9.895,9.895,9.805,9.875,90,100,0
2023-11-20 13:00:00,9.875,9.885,9.8,9.8,132,100,0
2023-11-20 14:00:00,9.8,9.855,9.795,9.815,79,100,0
2023-11-20 15:00:00,9.815,9.84,9.765,9.82,117,50,0
2023-11-20 16:00:00,9.8,9.84,9.75,9.825,154,50,0
2023-11-20 17:00:00,9.79,9.83,9.765,9.785,130,50,0
2023-11-20 18:00:00,9.785,9.8,9.765,9.79,60,50,0
2023-11-21 10:00:00,9.765,9.83,9.735,9.76,139,100,0
2023-11-21 11:00:00,9.79,9.795,9.71,9.71,122,100,0
2023-11-21 12:00:00,9.71,9.75,9.705,9.715,111,50,0
2023-11-21 13:00:00,9.705,9.725,9.69,9.69,87,50,0
2023-11-21 14:00:00,9.69,9.72,9.675,9.68,113,50,0
