time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,7.606,7.74,7.6,7.708,235,160,0
2023-11-03 12:00:00,7.696,7.74,7.672,7.718,190,80,0
2023-11-03 13:00:00,7.718,7.726,7.689999999999999,7.702,120,80,0
2023-11-03 14:00:00,7.689999999999999,7.746,7.689999999999999,7.744,133,40,0
2023-11-03 15:00:00,7.742,7.818,7.718,7.786,140,80,0
2023-11-03 16:00:00,7.792,7.86,7.76,7.836,295,60,0
2023-11-03 17:00:00,7.84,7.86,7.762,7.802,180,80,0
2023-11-03 18:00:00,7.792,7.814,7.748,7.748,203,60,0
2023-11-03 19:00:00,7.752,7.76,7.72,7.732,67,40,0
2023-11-06 10:00:00,7.736,7.758,7.582,7.646,203,120,0
2023-11-06 11:00:00,7.638,7.662,7.582,7.594,162,140,0
2023-11-06 12:00:00,7.616,7.648,7.582,7.62,126,120,0
2023-11-06 13:00:00,7.612,7.634,7.562,7.616,151,80,0
2023-11-06 14:00:00,7.616,7.646,7.582,7.622,143,120,0
2023-11-06 15:00:00,7.622,7.632,7.616,7.632,56,40,0
2023-11-06 16:00:00,7.634,7.652,7.528,7.59,198,100,0
2023-11-06 17:00:00,7.59,7.59,7.482,7.5,236,60,0
2023-11-06 18:00:00,7.5,7.512,7.454,7.48,109,60,0
2023-11-07 10:00:00,7.368,7.49,7.368,7.444,242,180,0
2023-11-07 11:00:00,7.46,7.512,7.426,7.46,187,100,0
2023-11-07 12:00:00,7.474,7.508,7.458,7.47,164,100,0
2023-11-07 13:00:00,7.468,7.487999999999999,7.438,7.44,84,80,0
2023-11-07 14:00:00,7.442,7.456,7.41,7.422,130,60,0
2023-11-07 15:00:00,7.416,7.468,7.41,7.428,124,60,0
2023-11-07 16:00:00,7.454,7.476,7.422,7.462,147,60,0
2023-11-07 17:00:00,7.462,7.487999999999999,7.422,7.474,336,40,0
2023-11-07 18:00:00,7.487999999999999,7.496,7.44,7.476,158,40,0
2023-11-08 10:00:00,7.31,7.412,7.222,7.392,364,160,0
2023-11-08 11:00:00,7.392,7.408,7.374,7.402,81,60,0
2023-11-08 12:00:00,7.408,7.408,7.336,7.374,173,40,0
2023-11-08 13:00:00,7.37,7.39,7.354,7.368,101,60,0
2023-11-08 14:00:00,7.368,7.386,7.334,7.36,111,40,0
2023-11-08 15:00:00,7.36,7.376,7.322,7.334,145,40,0
2023-11-08 16:00:00,7.332,7.432,7.332,7.422,115,80,0
2023-11-08 17:00:00,7.422,7.432,7.384,7.402,190,40,0
2023-11-08 18:00:00,7.396,7.414,7.38,7.38,103,40,0
2023-11-09 10:00:00,7.334,7.42,7.284,7.354,227,120,0
2023-11-09 11:00:00,7.354,7.416,7.342,7.382,133,120,0
2023-11-09 12:00:00,7.356,7.442,7.35,7.42,139,100,0
2023-11-09 13:00:00,7.42,7.442,7.374,7.386,104,60,0
2023-11-09 14:00:00,7.404,7.43,7.374,7.43,80,80,0
2023-11-09 15:00:00,7.434,7.484,7.42,7.484,108,80,0
2023-11-09 16:00:00,7.466,7.512,7.436,7.458,215,60,0
2023-11-09 17:00:00,7.458,7.51,7.378,7.398,211,20,0
2023-11-09 18:00:00,7.398,7.418,7.384,7.398,87,20,0
2023-11-10 10:00:00,7.392,7.408,7.33,7.364,219,140,0
2023-11-10 11:00:00,7.352,7.38,7.332,7.356,103,80,0
2023-11-10 12:00:00,7.346,7.362,7.292,7.3,104,100,0
2023-11-10 13:00:00,7.3,7.338,7.3,7.338,78,140,0
2023-11-10 14:00:00,7.338,7.338,7.304,7.33,104,120,0
2023-11-10 15:00:00,7.306,7.376,7.3,7.35,92,80,0
2023-11-10 16:00:00,7.35,7.384,7.32,7.356,224,100,0
2023-11-10 17:00:00,7.376,7.376,7.302,7.342,194,60,0
2023-11-10 18:00:00,7.344,7.376,7.324,7.364,107,80,0
2023-11-13 10:00:00,7.352,7.424,7.294,7.376,316,180,0
2023-11-13 11:00:00,7.376,7.408,7.348,7.374,141,180,0
