time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,14.42,14.79,14.41,14.78,140,400,0
2023-11-03 12:00:00,14.78,14.79,14.7,14.72,62,400,0
2023-11-03 13:00:00,14.71,14.72,14.62,14.7,74,200,0
2023-11-03 14:00:00,14.65,14.72,14.65,14.71,63,200,0
2023-11-03 15:00:00,14.7,14.83,14.63,14.81,72,300,0
2023-11-03 16:00:00,14.74,14.87,14.72,14.79,119,300,0
2023-11-03 17:00:00,14.79,14.86,14.77,14.82,94,200,0
2023-11-03 18:00:00,14.82,14.84,14.79,14.83,62,100,0
2023-11-03 19:00:00,14.81,14.84,14.74,14.78,37,100,0
2023-11-06 10:00:00,14.83,14.83,14.71,14.74,13,700,0
2023-11-06 11:00:00,14.71,14.77,14.7,14.77,63,300,0
2023-11-06 12:00:00,14.69,14.82,14.69,14.78,37,300,0
2023-11-06 13:00:00,14.78,14.79,14.74,14.79,35,300,0
2023-11-06 14:00:00,14.79,14.81,14.72,14.75,45,200,0
2023-11-06 15:00:00,14.75,14.81,14.72,14.77,65,200,0
2023-11-06 16:00:00,14.8,14.86,14.66,14.8,84,200,0
2023-11-06 17:00:00,14.67,14.77,14.64,14.76,98,200,0
2023-11-06 18:00:00,14.73,14.83,14.73,14.79,45,200,0
2023-11-07 10:00:00,14.93,14.93,14.76,14.89,59,1300,0
2023-11-07 11:00:00,14.85,14.95,14.85,14.91,58,300,0
2023-11-07 12:00:00,14.89,14.96,14.87,14.87,46,600,0
2023-11-07 13:00:00,14.84,14.96,14.71,14.74,88,300,0
2023-11-07 14:00:00,14.74,14.79,14.69,14.79,42,300,0
2023-11-07 15:00:00,14.79,14.83,14.64,14.77,74,200,0
2023-11-07 16:00:00,14.78,14.79,14.59,14.71,118,200,0
2023-11-07 17:00:00,14.61,14.71,14.53,14.67,131,200,0
2023-11-07 18:00:00,14.67,14.67,14.56,14.6,71,200,0
2023-11-08 10:00:00,14.61,14.73,14.55,14.69,51,800,0
2023-11-08 11:00:00,14.68,14.77,14.68,14.7,37,600,0
2023-11-08 12:00:00,14.7,14.8,14.62,14.73,46,400,0
2023-11-08 13:00:00,14.8,14.8,14.69,14.74,40,500,0
2023-11-08 14:00:00,14.7,14.76,14.7,14.72,44,500,0
2023-11-08 15:00:00,14.74,14.88,14.71,14.85,75,400,0
2023-11-08 16:00:00,14.83,15.05,14.83,15.05,126,300,0
2023-11-08 17:00:00,15.01,15.02,14.9,14.98,82,200,0
2023-11-08 18:00:00,14.95,14.96,14.84,14.88,39,100,0
2023-11-09 10:00:00,14.75,14.79,14.74,14.74,6,1500,0
2023-11-09 11:00:00,14.79,14.79,14.7,14.72,25,700,0
2023-11-09 12:00:00,14.7,14.99,14.7,14.92,77,600,0
2023-11-09 13:00:00,14.91,14.99,14.91,14.98,29,500,0
2023-11-09 14:00:00,14.99,15.08,14.98,15.04,23,200,0
2023-11-09 15:00:00,15.06,15.17,15.03,15.1,74,200,0
2023-11-09 16:00:00,15.14,15.18,14.98,14.98,81,400,0
2023-11-09 17:00:00,14.99,15.11,14.93,14.94,102,200,0
2023-11-09 18:00:00,15.0,15.05,14.94,14.97,54,200,0
2023-11-10 10:00:00,14.96,15.04,14.87,15.0,114,900,0
2023-11-10 11:00:00,15.0,15.0,14.93,14.95,35,800,0
2023-11-10 12:00:00,14.98,14.98,14.79,14.8,128,400,0
2023-11-10 13:00:00,14.86,14.88,14.8,14.85,37,500,0
2023-11-10 14:00:00,14.81,14.94,14.8,14.85,48,300,0
2023-11-10 15:00:00,14.88,14.97,14.84,14.93,61,300,0
2023-11-10 16:00:00,14.92,15.03,14.92,14.96,98,300,0
2023-11-10 17:00:00,14.95,15.01,14.92,15.01,39,300,0
2023-11-10 18:00:00,14.92,15.06,14.92,15.04,35,300,0
2023-11-13 10:00:00,14.97,15.07,14.96,15.01,23,700,0
2023-11-13 11:00:00,15.0,15.09,14.95,15.03,44,400,0
2023-11-13 12:00:00,15.0,15.09,14.95,15.04,48,500,0
2023-11-13 13:00:00,14.99,15.07,14.99,15.04,22,600,0
2023-11-13 14:00:00,15.09,15.09,14.99,14.99,42,500,0
2023-11-13 15:00:00,15.0,15.06,14.97,15.03,45,400,0
2023-11-13 16:00:00,15.06,15.19,15.0,15.15,49,400,0
2023-11-13 17:00:00,15.14,15.22,15.1,15.21,96,200,0
2023-11-13 18:00:00,15.19,15.2,15.1,15.15,43,200,0
2023-11-14 10:00:00,15.24,15.29,15.1,15.12,80,900,0
2023-11-14 11:00:00,15.16,15.28,15.16,15.28,29,300,0
2023-11-14 12:00:00,15.3,15.3,15.19,15.23,28,300,0
2023-11-14 13:00:00,15.21,15.24,15.18,15.21,49,300,0
2023-11-14 14:00:00,15.19,15.23,15.13,15.14,43,300,0
2023-11-14 15:00:00,15.14,15.38,15.04,15.34,118,200,0
2023-11-14 16:00:00,15.34,15.47,15.2,15.44,128,200,0
2023-11-14 17:00:00,15.44,15.58,15.38,15.53,107,100,0
2023-11-14 18:00:00,15.53,15.57,15.49,15.55,31,100,0
2023-11-15 10:00:00,15.58,15.7,15.51,15.68,97,500,0
2023-11-15 11:00:00,15.69,15.77,15.51,15.58,90,500,0
2023-11-15 12:00:00,15.52,15.61,15.47,15.52,65,300,0
2023-11-15 13:00:00,15.53,15.61,15.51,15.57,75,300,0
2023-11-15 14:00:00,15.57,15.6,15.5,15.6,52,300,0
2023-11-15 15:00:00,15.6,15.64,15.48,15.57,93,400,0
2023-11-15 16:00:00,15.59,15.65,15.51,15.58,92,200,0
2023-11-15 17:00:00,15.53,15.65,15.53,15.62,100,200,0
2023-11-15 18:00:00,15.64,15.64,15.52,15.53,59,200,0
2023-11-16 12:00:00,15.42,15.45,15.42,15.45,9,800,0
2023-11-16 13:00:00,15.45,15.45,15.23,15.28,49,400,0
2023-11-16 14:00:00,15.29,15.34,15.19,15.19,39,200,0
2023-11-16 15:00:00,15.19,15.34,15.19,15.34,48,300,0
2023-11-16 16:00:00,15.34,15.39,15.19,15.27,111,100,0
2023-11-16 17:00:00,15.27,15.31,15.11,15.13,148,200,0
