time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,0.7668,0.779,0.7668,0.7772,778,2,0
2023-11-03 12:00:00,0.7772,0.7823,0.7745,0.7806,758,1,0
2023-11-03 13:00:00,0.7804,0.782,0.7785,0.7797,546,1,0
2023-11-03 14:00:00,0.7796,0.7813,0.7782,0.7795,607,1,0
2023-11-03 15:00:00,0.7804,0.7809,0.7763,0.7787,631,1,0
2023-11-03 16:00:00,0.7787,0.7861,0.7769,0.7844,1022,1,0
2023-11-03 17:00:00,0.7847,0.7853,0.7802,0.7816,929,1,0
2023-11-03 18:00:00,0.7817,0.784,0.7807,0.7832,690,1,0
2023-11-03 19:00:00,0.7833,0.7847,0.7824,0.7845,299,1,0
2023-11-06 10:00:00,0.7868,0.7873,0.7768,0.78,836,1,0
2023-11-06 11:00:00,0.7799,0.7813,0.7751,0.7806,642,1,0
2023-11-06 12:00:00,0.7803,0.7843,0.7771,0.7835,578,1,0
2023-11-06 13:00:00,0.7835,0.7851,0.7781,0.7851,517,1,0
2023-11-06 14:00:00,0.7848,0.7857,0.7806,0.7856,490,1,0
2023-11-06 15:00:00,0.7856,0.7877,0.7835,0.7872,666,1,0
2023-11-06 16:00:00,0.7874,0.7888,0.7823,0.7855,786,1,0
2023-11-06 17:00:00,0.7856,0.789,0.7823,0.7887,724,1,0
2023-11-06 18:00:00,0.7888,0.7898,0.7869,0.7894,275,1,0
2023-11-07 10:00:00,0.7818,0.7868,0.7758,0.7854,765,1,0
2023-11-07 11:00:00,0.7851,0.7882,0.7799,0.7831,656,1,0
2023-11-07 12:00:00,0.7831,0.786,0.7795,0.7846,525,1,0
2023-11-07 13:00:00,0.7841,0.7853,0.7825,0.7829,426,1,0
2023-11-07 14:00:00,0.783,0.786,0.78,0.7853,482,1,0
2023-11-07 15:00:00,0.7855,0.7877,0.7829,0.7846,434,1,0
2023-11-07 16:00:00,0.7846,0.7884,0.78,0.783,608,1,0
2023-11-07 17:00:00,0.783,0.7837,0.78,0.7811,604,1,0
2023-11-07 18:00:00,0.7811,0.7828,0.78,0.7826,265,1,0
2023-11-08 10:00:00,0.776,0.7786,0.77,0.7768,651,2,0
2023-11-08 11:00:00,0.7773,0.7786,0.77,0.7725,465,2,0
2023-11-08 12:00:00,0.774,0.7755,0.77,0.7738,454,1,0
2023-11-08 13:00:00,0.774,0.7776,0.7717,0.7759,415,2,0
2023-11-08 14:00:00,0.7744,0.7763,0.7667,0.7715,474,1,0
2023-11-08 15:00:00,0.7708,0.7726,0.7644,0.769,493,1,0
2023-11-08 16:00:00,0.7691,0.7723,0.7668,0.7713,629,1,0
2023-11-08 17:00:00,0.7716,0.7721,0.768,0.7688,514,1,0
2023-11-08 18:00:00,0.7689,0.7713,0.7663,0.7695,216,1,0
2023-11-09 10:00:00,0.7719,0.7732,0.765,0.765,793,2,0
2023-11-09 11:00:00,0.765,0.769,0.7628,0.7651,524,2,0
2023-11-09 12:00:00,0.7651,0.7672,0.7594,0.7667,612,1,0
2023-11-09 13:00:00,0.7666,0.7689,0.765,0.7673,476,1,0
2023-11-09 14:00:00,0.7673,0.7698,0.7564,0.7698,403,2,0
2023-11-09 15:00:00,0.7682,0.7717,0.7661,0.769,467,1,0
2023-11-09 16:00:00,0.769,0.7742,0.7678,0.7723,722,1,0
2023-11-09 17:00:00,0.7727,0.7728,0.77,0.7728,705,1,0
2023-11-09 18:00:00,0.7728,0.7743,0.7715,0.7736,332,1,0
2023-11-10 10:00:00,0.776,0.7792,0.7718,0.7772,963,3,0
2023-11-10 11:00:00,0.7772,0.7776,0.7704,0.7759,590,2,0
2023-11-10 12:00:00,0.7758,0.7758,0.7676,0.7701,706,1,0
2023-11-10 13:00:00,0.7699,0.7717,0.7649,0.77,597,2,0
2023-11-10 14:00:00,0.7701,0.771,0.7649,0.7707,624,1,0
2023-11-10 15:00:00,0.7708,0.7725,0.7669,0.768,587,1,0
2023-11-10 16:00:00,0.768,0.7702,0.7632,0.7665,681,1,0
2023-11-10 17:00:00,0.766,0.7667,0.76,0.7633,606,1,0
