time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,11.81,12.07,11.72,12.05,121,200,0
2023-11-03 12:00:00,11.99,12.07,11.94,11.97,94,200,0
2023-11-03 13:00:00,11.98,11.99,11.84,11.92,76,100,0
2023-11-03 14:00:00,11.82,11.92,11.79,11.83,71,200,0
2023-11-03 15:00:00,11.83,11.97,11.8,11.94,108,200,0
2023-11-03 16:00:00,11.95,12.13,11.9,12.11,155,100,0
2023-11-03 17:00:00,11.98,12.16,11.98,12.11,140,200,0
2023-11-03 18:00:00,12.11,12.13,12.01,12.05,103,200,0
2023-11-03 19:00:00,12.07,12.08,11.97,11.99,53,100,0
2023-11-06 10:00:00,11.94,12.05,11.91,11.94,92,300,0
2023-11-06 11:00:00,11.94,12.0,11.91,11.96,64,200,0
2023-11-06 12:00:00,11.95,11.98,11.9,11.96,65,200,0
2023-11-06 13:00:00,11.93,11.97,11.9,11.96,52,200,0
2023-11-06 14:00:00,11.93,11.96,11.89,11.95,52,200,0
2023-11-06 15:00:00,11.95,11.95,11.87,11.88,51,200,0
2023-11-06 16:00:00,11.91,11.91,11.75,11.75,99,200,0
2023-11-06 17:00:00,11.77,11.87,11.73,11.8,105,100,0
2023-11-06 18:00:00,11.77,11.8,11.73,11.78,54,100,0
2023-11-07 10:00:00,11.72,11.96,11.71,11.82,128,200,0
2023-11-07 11:00:00,11.82,11.83,11.7,11.73,93,100,0
2023-11-07 12:00:00,11.75,11.8,11.7,11.79,83,100,0
2023-11-07 13:00:00,11.76,11.79,11.68,11.71,44,100,0
2023-11-07 14:00:00,11.68,11.73,11.68,11.7,52,100,0
2023-11-07 15:00:00,11.68,11.7,11.63,11.67,100,100,0
2023-11-07 16:00:00,11.66,11.93,11.63,11.91,157,100,0
2023-11-07 17:00:00,11.84,12.02,11.84,11.96,139,100,0
2023-11-07 18:00:00,11.96,12.02,11.89,11.92,63,100,0
2023-11-08 10:00:00,11.81,11.96,11.81,11.96,80,300,0
2023-11-08 11:00:00,11.96,11.99,11.88,11.9,90,100,0
2023-11-08 12:00:00,11.89,11.89,11.85,11.85,53,100,0
2023-11-08 13:00:00,11.85,11.87,11.84,11.84,33,200,0
2023-11-08 14:00:00,11.83,11.86,11.78,11.86,58,100,0
2023-11-08 15:00:00,11.86,11.87,11.81,11.85,51,200,0
2023-11-08 16:00:00,11.85,12.02,11.84,12.0,128,100,0
2023-11-08 17:00:00,11.98,12.02,11.88,11.96,111,100,0
2023-11-08 18:00:00,11.92,11.94,11.83,11.89,54,100,0
2023-11-09 10:00:00,11.86,12.22,11.86,11.96,124,300,0
2023-11-09 11:00:00,11.96,12.0,11.83,11.95,64,300,0
2023-11-09 12:00:00,11.93,12.12,11.93,12.05,89,200,0
2023-11-09 13:00:00,12.09,12.14,12.03,12.14,86,300,0
2023-11-09 14:00:00,12.14,12.17,12.11,12.15,51,200,0
2023-11-09 15:00:00,12.15,12.18,12.1,12.18,116,200,0
2023-11-09 16:00:00,12.18,12.27,12.13,12.24,87,100,0
2023-11-09 17:00:00,12.24,12.26,12.13,12.24,118,100,0
2023-11-09 18:00:00,12.24,12.35,12.22,12.33,69,100,0
2023-11-10 10:00:00,12.2,12.27,12.11,12.21,188,300,0
2023-11-10 11:00:00,12.21,12.34,12.16,12.3,111,300,0
2023-11-10 12:00:00,12.3,12.34,12.22,12.31,107,100,0
2023-11-10 13:00:00,12.31,12.35,12.28,12.35,60,200,0
2023-11-10 14:00:00,12.35,12.39,12.33,12.38,85,200,0
2023-11-10 15:00:00,12.38,12.49,12.33,12.45,88,200,0
2023-11-10 16:00:00,12.49,12.49,12.38,12.41,88,200,0
2023-11-10 17:00:00,12.4,12.47,12.31,12.38,124,100,0
2023-11-10 18:00:00,12.38,12.43,12.34,12.41,39,100,0
2023-11-13 10:00:00,12.28,12.44,12.28,12.42,96,200,0
2023-11-13 11:00:00,12.48,12.51,12.4,12.46,76,100,0
2023-11-13 12:00:00,12.44,12.47,12.37,12.43,67,200,0
2023-11-13 13:00:00,12.44,12.47,12.35,12.38,60,100,0
2023-11-13 14:00:00,12.38,12.39,12.35,12.39,50,100,0
2023-11-13 15:00:00,12.38,12.44,12.33,12.4,61,100,0
2023-11-13 16:00:00,12.4,12.4,12.31,12.36,97,100,0
2023-11-13 17:00:00,12.37,12.42,12.36,12.39,92,100,0
2023-11-13 18:00:00,12.38,12.42,12.36,12.39,52,100,0
2023-11-14 10:00:00,12.44,12.52,12.31,12.48,84,200,0
2023-11-14 11:00:00,12.52,12.64,12.45,12.61,87,100,0
2023-11-14 12:00:00,12.61,12.69,12.61,12.69,43,300,0
2023-11-14 13:00:00,12.69,12.78,12.69,12.78,44,200,0
2023-11-14 14:00:00,12.78,12.88,12.74,12.85,76,100,0
2023-11-14 15:00:00,12.85,12.99,12.81,12.95,168,100,0
2023-11-14 16:00:00,12.97,13.02,12.94,12.99,125,100,0
