time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,33.17,33.17,32.83,32.98,280,100,0
2023-11-03 12:00:00,32.99,33.05,32.6,32.71,308,100,0
2023-11-03 13:00:00,32.76,32.8,32.41,32.42,260,100,0
2023-11-03 14:00:00,32.42,32.57,32.17,32.29,327,100,0
2023-11-03 15:00:00,32.23,32.5,32.17,32.45,289,100,0
2023-11-03 16:00:00,32.45,32.67,32.31,32.58,345,100,0
2023-11-03 17:00:00,32.59,32.65,32.39,32.47,389,100,0
2023-11-03 18:00:00,32.47,32.58,32.4,32.44,331,100,0
2023-11-03 19:00:00,32.5,32.51,32.34,32.41,124,100,0
2023-11-06 10:00:00,32.56,32.82,32.47,32.57,236,100,0
2023-11-06 11:00:00,32.57,32.72,32.54,32.72,222,100,0
2023-11-06 12:00:00,32.74,32.82,32.63,32.8,225,100,0
2023-11-06 13:00:00,32.8,32.82,32.65,32.7,211,100,0
2023-11-06 14:00:00,32.7,32.78,32.6,32.77,177,100,0
2023-11-06 15:00:00,32.72,32.84,32.68,32.78,269,100,0
2023-11-06 16:00:00,32.78,32.85,32.63,32.65,290,100,0
2023-11-06 17:00:00,32.65,32.95,32.48,32.95,311,100,0
2023-11-06 18:00:00,32.94,32.97,32.86,32.95,133,100,0
2023-11-07 10:00:00,32.75,32.95,32.59,32.93,319,100,0
2023-11-07 11:00:00,32.7,32.92,32.56,32.57,295,100,0
2023-11-07 12:00:00,32.57,32.78,32.52,32.74,220,100,0
2023-11-07 13:00:00,32.75,32.78,32.54,32.66,178,100,0
2023-11-07 14:00:00,32.63,32.73,32.62,32.71,207,100,0
2023-11-07 15:00:00,32.68,32.78,32.64,32.72,201,100,0
2023-11-07 16:00:00,32.73,32.87,32.6,32.87,324,100,0
2023-11-07 17:00:00,32.86,33.04,32.72,33.0,321,100,0
2023-11-07 18:00:00,32.92,33.02,32.86,32.91,157,100,0
2023-11-08 10:00:00,32.91,33.28,32.89,33.2,272,100,0
2023-11-08 11:00:00,33.2,33.29,32.91,33.01,246,100,0
2023-11-08 12:00:00,32.98,33.11,32.91,33.1,195,100,0
2023-11-08 13:00:00,33.04,33.15,32.94,33.08,159,100,0
2023-11-08 14:00:00,32.97,33.15,32.94,33.05,158,100,0
2023-11-08 15:00:00,33.05,33.08,32.86,32.92,166,100,0
2023-11-08 16:00:00,32.86,33.09,32.86,33.03,263,100,0
2023-11-08 17:00:00,33.05,33.09,32.91,32.94,284,100,0
2023-11-08 18:00:00,32.95,32.96,32.84,32.9,118,100,0
2023-11-09 10:00:00,32.66,32.96,32.66,32.74,339,100,0
2023-11-09 11:00:00,32.75,32.88,32.69,32.84,236,100,0
2023-11-09 12:00:00,32.87,32.93,32.81,32.91,195,100,0
2023-11-09 13:00:00,32.92,33.0,32.84,32.94,174,100,0
2023-11-09 14:00:00,32.95,33.05,32.86,33.05,160,100,0
2023-11-09 15:00:00,33.03,33.14,33.0,33.1,196,100,0
2023-11-09 16:00:00,33.1,33.15,32.92,33.01,270,100,0
2023-11-09 17:00:00,33.01,33.08,32.96,32.99,297,100,0
2023-11-09 18:00:00,32.99,33.1,32.96,33.05,167,100,0
2023-11-10 10:00:00,32.69,32.78,32.42,32.67,402,100,0
2023-11-10 11:00:00,32.62,32.68,32.44,32.44,228,100,0
2023-11-10 12:00:00,32.44,32.53,32.23,32.31,250,100,0
2023-11-10 13:00:00,32.32,32.49,32.27,32.37,260,100,0
2023-11-10 14:00:00,32.44,32.48,32.28,32.46,230,100,0
2023-11-10 15:00:00,32.48,32.59,32.36,32.56,307,100,0
2023-11-10 16:00:00,32.51,32.62,32.49,32.59,343,100,0
2023-11-10 17:00:00,32.59,32.63,32.37,32.48,337,100,0
2023-11-10 18:00:00,32.49,32.63,32.46,32.6,159,100,0
2023-11-13 10:00:00,32.8,32.84,32.62,32.69,297,100,0
2023-11-13 11:00:00,32.8,32.85,32.63,32.81,303,100,0
2023-11-13 12:00:00,32.82,32.91,32.78,32.81,201,100,0
2023-11-13 13:00:00,32.81,33.02,32.78,32.98,258,100,0
2023-11-13 14:00:00,33.0,33.02,32.76,32.9,257,100,0
2023-11-13 15:00:00,32.86,32.95,32.76,32.83,225,100,0
2023-11-13 16:00:00,32.83,32.87,32.75,32.82,302,100,0
2023-11-13 17:00:00,32.83,32.97,32.73,32.86,350,100,0
2023-11-13 18:00:00,32.83,32.9,32.68,32.84,173,100,0
2023-11-14 10:00:00,32.58,32.8,32.49,32.76,297,100,0
2023-11-14 11:00:00,32.76,32.93,32.68,32.84,263,100,0
2023-11-14 12:00:00,32.84,32.91,32.71,32.76,180,100,0
2023-11-14 13:00:00,32.9,32.9,32.75,32.86,207,100,0
2023-11-14 14:00:00,32.8,32.94,32.75,32.87,239,100,0
2023-11-14 15:00:00,32.87,33.16,32.71,33.01,334,100,0
2023-11-14 16:00:00,33.02,33.2,32.92,33.14,375,100,0
2023-11-14 17:00:00,33.15,33.21,33.08,33.2,351,100,0
2023-11-14 18:00:00,33.16,33.26,33.14,33.24,125,100,0
2023-11-15 10:00:00,33.26,33.7,33.22,33.56,277,200,0
2023-11-15 11:00:00,33.56,33.76,33.45,33.59,241,100,0
2023-11-15 12:00:00,33.59,33.69,33.41,33.59,200,100,0
2023-11-15 13:00:00,33.58,33.68,33.5,33.67,209,100,0
2023-11-15 14:00:00,33.63,33.67,33.52,33.6,207,100,0
2023-11-15 15:00:00,33.64,33.79,33.6,33.72,255,100,0
2023-11-15 16:00:00,33.72,33.84,33.61,33.76,285,100,0
2023-11-15 17:00:00,33.81,33.92,33.76,33.9,279,100,0
2023-11-15 18:00:00,33.87,33.91,33.67,33.79,147,100,0
2023-11-16 10:00:00,33.66,33.66,33.42,33.55,260,100,0
2023-11-16 11:00:00,33.51,33.59,33.14,33.34,310,100,0
2023-11-16 12:00:00,33.33,33.37,33.14,33.19,220,100,0
2023-11-16 13:00:00,33.23,33.3,33.14,33.28,236,100,0
2023-11-16 14:00:00,33.26,33.3,33.05,33.14,218,100,0
2023-11-16 15:00:00,33.14,33.23,33.01,33.15,300,100,0
2023-11-16 16:00:00,33.16,33.2,32.99,33.05,324,100,0
2023-11-16 17:00:00,33.15,33.2,33.05,33.07,319,100,0
2023-11-16 18:00:00,33.08,33.1,33.02,33.05,152,100,0
2023-11-17 10:00:00,32.84,33.19,32.82,32.99,339,100,0
2023-11-17 11:00:00,33.0,33.18,32.82,33.18,258,100,0
2023-11-17 12:00:00,33.18,33.32,33.03,33.3,243,100,0
