time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,16.615,17.935,16.615,17.845,315,450,0
2023-11-03 12:00:00,17.92,17.945,17.42,17.715,365,450,0
2023-11-03 13:00:00,17.725,18.02,17.685,17.825,197,450,0
2023-11-03 14:00:00,17.825,18.05,17.73,17.91,271,300,0
2023-11-03 15:00:00,17.905,18.185,17.775,18.185,314,300,0
2023-11-03 16:00:00,17.905,18.435,17.835,18.28,363,250,0
2023-11-03 17:00:00,18.39,18.87,18.135,18.64,294,250,0
2023-11-03 18:00:00,18.76,18.87,18.285,18.44,232,300,0
2023-11-03 19:00:00,18.485,18.505,18.285,18.395,97,150,0
2023-11-06 10:00:00,18.255,19.075,18.255,18.61,299,350,0
2023-11-06 11:00:00,18.61,18.815,18.5,18.525,261,350,0
2023-11-06 12:00:00,18.525,18.775,18.5,18.705,197,350,0
2023-11-06 13:00:00,18.7,18.77,18.595,18.755,147,250,0
2023-11-06 14:00:00,18.755,18.95,18.64,18.925,170,250,0
2023-11-06 15:00:00,18.925,18.95,18.585,18.665,153,400,0
2023-11-06 16:00:00,18.62,18.72,18.135,18.135,246,350,0
2023-11-06 17:00:00,18.46,18.46,18.03,18.35,325,300,0
2023-11-06 18:00:00,18.345,18.37,18.165,18.35,130,250,0
2023-11-07 10:00:00,18.31,18.575,18.125,18.475,179,450,0
2023-11-07 11:00:00,18.455,18.51,18.175,18.385,175,200,0
2023-11-07 12:00:00,18.335,18.51,18.315,18.36,99,200,0
2023-11-07 13:00:00,18.4,18.46,18.215,18.37,150,350,0
2023-11-07 14:00:00,18.37,18.46,18.33,18.41,114,350,0
2023-11-07 15:00:00,18.445,18.46,18.25,18.325,136,300,0
2023-11-07 16:00:00,18.325,18.425,18.215,18.33,225,150,0
2023-11-07 17:00:00,18.325,18.425,18.265,18.35,249,100,0
2023-11-07 18:00:00,18.35,18.385,18.24,18.35,109,100,0
2023-11-08 10:00:00,18.05,18.245,17.795,18.16,250,800,0
2023-11-08 11:00:00,18.16,18.31,18.03,18.23,121,500,0
2023-11-08 12:00:00,18.2,18.345,18.155,18.315,68,500,0
2023-11-08 13:00:00,18.315,18.36,18.235,18.355,94,500,0
2023-11-08 14:00:00,18.355,18.46,18.235,18.37,137,300,0
2023-11-08 15:00:00,18.37,18.465,18.34,18.345,131,200,0
2023-11-08 16:00:00,18.395,18.56,18.255,18.435,207,200,0
2023-11-08 17:00:00,18.44,18.57,18.39,18.42,254,200,0
2023-11-08 18:00:00,18.42,18.54,18.19,18.3,136,150,0
2023-11-09 10:00:00,17.305,17.69,16.91,17.185,507,450,0
2023-11-09 11:00:00,17.23,17.615,16.91,17.445,385,350,0
2023-11-09 12:00:00,17.45,17.655,17.255,17.64,307,350,0
2023-11-09 13:00:00,17.555,17.735,17.28,17.395,300,350,0
2023-11-09 14:00:00,17.395,17.465,17.06,17.21,297,400,0
2023-11-09 15:00:00,17.215,17.385,17.155,17.25,170,350,0
2023-11-09 16:00:00,17.345,17.41,16.93,17.115,306,100,0
2023-11-09 17:00:00,17.115,17.125,16.805,16.985,356,300,0
2023-11-09 18:00:00,17.02,17.035,16.69,16.725,328,350,0
2023-11-10 10:00:00,16.325,16.325,15.955,16.05,298,800,0
2023-11-10 11:00:00,16.045,16.145,15.58,15.845,460,200,0
2023-11-10 12:00:00,15.84,15.995,15.725,15.89,326,250,0
2023-11-10 13:00:00,15.905,16.07,15.785,15.915,344,400,0
2023-11-10 14:00:00,15.915,16.125,15.785,16.03,260,350,0
2023-11-10 15:00:00,16.065,16.465,15.975,16.405,251,150,0
2023-11-10 16:00:00,16.405,16.465,16.175,16.265,320,200,0
2023-11-10 17:00:00,16.3,16.56,16.18,16.41,336,200,0
2023-11-10 18:00:00,16.52,16.695,16.365,16.65,195,150,0
2023-11-13 10:00:00,16.26,16.605,16.255,16.49,197,300,0
2023-11-13 11:00:00,16.49,17.145,16.37,17.055,265,300,0
2023-11-13 12:00:00,17.055,17.145,16.775,16.895,180,200,0
2023-11-13 13:00:00,16.93,17.1,16.75,17.02,170,200,0
2023-11-13 14:00:00,16.86,17.095,16.86,16.985,128,300,0
