time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,2.92,2.92,2.87,2.91,17,300,0
2023-11-03 12:00:00,2.91,2.91,2.905,2.905,134,300,0
2023-11-03 13:00:00,2.91,2.91,2.905,2.91,97,300,0
2023-11-03 14:00:00,2.905,2.91,2.905,2.91,32,300,0
2023-11-03 15:00:00,2.91,2.92,2.895,2.9,98,150,0
2023-11-03 16:00:00,2.9,2.92,2.87,2.91,94,150,0
2023-11-03 17:00:00,2.905,2.925,2.905,2.925,53,100,0
2023-11-03 18:00:00,2.925,2.93,2.905,2.93,41,100,0
2023-11-03 19:00:00,2.93,2.94,2.92,2.92,9,100,0
2023-11-06 10:00:00,2.925,2.925,2.9,2.9,62,200,0
2023-11-06 11:00:00,2.9,2.915,2.895,2.915,8,350,0
2023-11-06 12:00:00,2.895,2.915,2.895,2.895,4,350,0
2023-11-06 13:00:00,2.89,2.92,2.89,2.92,19,150,0
2023-11-06 14:00:00,2.925,2.925,2.925,2.925,10,100,0
2023-11-06 15:00:00,2.925,2.925,2.92,2.92,20,100,0
2023-11-06 16:00:00,2.92,2.925,2.9,2.9,87,150,0
2023-11-06 17:00:00,2.905,2.925,2.9,2.92,88,150,0
2023-11-06 18:00:00,2.915,2.925,2.9,2.91,70,100,0
2023-11-07 10:00:00,2.88,2.9,2.88,2.9,24,200,0
2023-11-07 11:00:00,2.9,2.91,2.885,2.91,37,200,0
2023-11-07 12:00:00,2.91,2.91,2.91,2.91,1,200,0
2023-11-07 14:00:00,2.91,2.91,2.91,2.91,2,150,0
2023-11-07 15:00:00,2.91,2.915,2.885,2.91,15,100,0
2023-11-07 16:00:00,2.91,2.915,2.885,2.905,31,100,0
2023-11-07 17:00:00,2.905,2.915,2.89,2.915,88,100,0
2023-11-07 18:00:00,2.91,2.93,2.885,2.91,30,100,0
2023-11-08 10:00:00,2.9,2.935,2.895,2.93,43,150,0
2023-11-08 11:00:00,2.935,2.935,2.925,2.925,7,150,0
2023-11-08 12:00:00,2.925,2.925,2.925,2.925,3,250,0
2023-11-08 14:00:00,2.925,2.925,2.925,2.925,10,250,0
2023-11-08 15:00:00,2.925,2.93,2.925,2.93,6,200,0
2023-11-08 16:00:00,2.93,2.95,2.915,2.945,34,100,0
2023-11-08 17:00:00,2.945,2.945,2.915,2.915,25,100,0
2023-11-08 18:00:00,2.935,2.935,2.915,2.925,18,100,0
2023-11-09 10:00:00,2.875,2.915,2.875,2.915,24,100,0
2023-11-09 11:00:00,2.915,2.915,2.895,2.9,11,150,0
2023-11-09 12:00:00,2.905,2.925,2.905,2.925,31,100,0
2023-11-09 13:00:00,2.92,2.925,2.92,2.925,9,150,0
2023-11-09 14:00:00,2.93,2.93,2.92,2.925,42,100,0
2023-11-09 15:00:00,2.93,2.935,2.925,2.935,37,100,0
2023-11-09 16:00:00,2.93,2.935,2.905,2.925,45,100,0
2023-11-09 17:00:00,2.925,2.925,2.885,2.885,80,100,0
2023-11-09 18:00:00,2.885,2.91,2.885,2.9,35,100,0
2023-11-10 10:00:00,2.88,2.885,2.855,2.88,45,200,0
2023-11-10 11:00:00,2.865,2.89,2.865,2.89,23,100,0
2023-11-10 12:00:00,2.89,2.89,2.89,2.89,9,100,0
2023-11-10 13:00:00,2.89,2.89,2.89,2.89,3,150,0
2023-11-10 14:00:00,2.895,2.91,2.895,2.91,16,50,0
2023-11-10 15:00:00,2.91,2.91,2.885,2.905,145,50,0
2023-11-10 16:00:00,2.905,2.91,2.875,2.885,53,50,0
2023-11-10 17:00:00,2.9,2.9,2.85,2.855,119,50,0
2023-11-10 18:00:00,2.87,2.88,2.855,2.88,30,100,0
2023-11-13 10:00:00,2.88,2.895,2.86,2.875,21,300,0
2023-11-13 11:00:00,2.875,2.895,2.865,2.875,15,300,0
2023-11-13 12:00:00,2.875,2.89,2.875,2.885,40,150,0
2023-11-13 13:00:00,2.885,2.89,2.885,2.89,16,250,0
2023-11-13 14:00:00,2.89,2.895,2.89,2.89,11,150,0
2023-11-13 15:00:00,2.89,2.895,2.885,2.895,26,150,0
2023-11-13 16:00:00,2.89,2.895,2.88,2.88,65,100,0
2023-11-13 17:00:00,2.88,2.885,2.88,2.88,29,100,0
2023-11-13 18:00:00,2.88,2.895,2.88,2.89,29,100,0
2023-11-14 10:00:00,2.895,2.905,2.885,2.885,41,150,0
2023-11-14 11:00:00,2.905,2.905,2.885,2.905,295,150,0
2023-11-14 12:00:00,2.885,2.905,2.885,2.905,320,200,0
2023-11-14 13:00:00,2.895,2.905,2.895,2.905,311,200,0
2023-11-14 14:00:00,2.895,2.905,2.895,2.895,303,150,0
2023-11-14 15:00:00,2.905,2.92,2.885,2.91,229,100,0
2023-11-14 16:00:00,2.91,2.92,2.905,2.92,40,100,0
2023-11-14 17:00:00,2.92,2.92,2.915,2.915,29,50,0
2023-11-14 18:00:00,2.915,2.925,2.915,2.925,30,50,0
2023-11-15 10:00:00,2.925,2.925,2.9,2.9,11,500,0
2023-11-15 11:00:00,2.9,2.925,2.9,2.925,5,300,0
2023-11-15 12:00:00,2.9,2.925,2.9,2.925,5,300,0
2023-11-15 13:00:00,2.925,2.93,2.9,2.925,20,100,0
2023-11-15 14:00:00,2.905,2.93,2.9,2.93,27,100,0
2023-11-15 15:00:00,2.93,2.935,2.91,2.91,94,200,0
2023-11-15 16:00:00,2.925,2.935,2.91,2.93,60,100,0
2023-11-15 17:00:00,2.93,2.95,2.93,2.945,22,100,0
2023-11-15 18:00:00,2.945,2.95,2.925,2.935,35,100,0
2023-11-16 10:00:00,2.885,2.915,2.865,2.895,70,300,0
